Name,Province,Fuel,Capacity,Status,Aggregated Units,ires_code,ires_label,isic_code,pypsa_carrier
An Khanh - Bac Giang,Bac Giang,Coal,650.0,pre-permit,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
An Khanh Phase 1,Thai Nguyen,Coal,100.0,operating,"Phase 1 Unit 1, Phase 1 Unit 2",0121,Hard coal,D3510,coal
An Khanh Phase 2,Thai Nguyen,Coal,300.0,cancelled,"Phase 2 Unit 1, Phase 2 Unit 2",0121,Hard coal,D3510,coal
Ba Ria,Ba Ria - Vung Tau,gas,1200.0,cancelled - inferred 4 y,2,0311,Natural gas,D3510,CCGT
Ba Ria,Ba Ria - Vung Tau,gas,389.0,operating,1,0311,Natural gas,D3510,CCGT
Bac Lieu,Bac Lieu,gas,3200.0,pre-construction,"CC1, CC2, CC3, CC4",0311,Natural gas,D3510,CCGT
Bao Dai,Bac Giang,Coal,600.0,cancelled,--,0121,Hard coal,D3510,coal
Binh Dinh,Binh Dinh,Coal,3200.0,cancelled,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Ca Mau,Ca Mau,gas,1500.0,cancelled,3,0311,Natural gas,D3510,CCGT
Ca Mau,Ca Mau,gas/oil,1500.0,operating,"1, 2",0311,Natural gas,D3510,CCGT
Ca Na,Ninh Thuan,gas,4500.0,cancelled,"2, 3, 4",0311,Natural gas,D3510,CCGT
Ca Na,Ninh Thuan,gas,1500.0,pre-construction,1,0311,Natural gas,D3510,CCGT
Cai Mep Ha,Ba Ria - Vung Tau,gas,6000.0,cancelled - inferred 4 y,1,0311,Natural gas,D3510,CCGT
Cai Trap Island,Hai Phong,gas,800.0,cancelled,1-1,0311,Natural gas,D3510,CCGT
Cai Trap Island,Hai Phong,gas,800.0,cancelled,1-2,0311,Natural gas,D3510,CCGT
Cam Pha Phase I,Quang Ninh,Coal,340.0,operating,Phase I,0121,Hard coal,D3510,coal
Cam Pha Phase II,Quang Ninh,Coal,340.0,operating,Phase II,0121,Hard coal,D3510,coal
Cam Pha Phase III,Quang Ninh,Coal,440.0,cancelled,"Phase III Unit 1, Phase III Unit 2",0121,Hard coal,D3510,coal
Can Duoc,Long An,Coal,1600.0,cancelled,--,0121,Hard coal,D3510,coal
Cao Ngan,Thai Nguyen,Coal,115.0,operating,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Chan May,Thua Thien Hue,gas,1500.0,announced,1-1,0311,Natural gas,D3510,CCGT
Cong Thanh,Thanh Hoa,Coal,660.0,cancelled,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Cong Thanh,Thanh Hoa,gas,600.0,pre-construction,1,0311,Natural gas,D3510,CCGT
Duc Giang - Lao Cai Chemical,Lao Cai,Coal,100.0,shelved,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Dung Quat,Quang Ngai,gas,2250.0,announced,"CC1, CC2, CC3",0311,Natural gas,D3510,CCGT
Dung Quat,Quang Ngai,Coal,1200.0,cancelled,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Dung Quat Phase I,Quang Ngai,Coal,2400.0,cancelled,Phase I,0121,Hard coal,D3510,coal
Dung Quat Phase II,Quang Ngai,Coal,2000.0,cancelled,Phase II,0121,Hard coal,D3510,coal
Duyen Hai,Tra Vinh,Coal,3690.0,operating,"Unit 1-1, Unit 1-2, Unit 2-1, Unit 2-2, Unit 3-1, Unit 3-2",0121,Hard coal,D3510,coal
Duyen Hai,Tra Vinh,Coal,688.0,operating,Unit 3 Extension,0121,Hard coal,D3510,coal
Embark-Quantum,Khanh Hoa,gas,6000.0,cancelled,1,0311,Natural gas,D3510,CCGT
Ganh Dau,Kien Giang,Coal,200.0,cancelled,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Ha Tinh,Ha Tinh,gas,600.0,cancelled,2-1,0311,Natural gas,D3510,CCGT
Ha Tinh,Ha Tinh,Coal,450.0,operating,"Unit 1, Unit 2, Unit 5",0121,Hard coal,D3510,coal
Ha Tinh,Ha Tinh,Coal,450.0,shelved,"Unit 10, Unit 6, Unit 7",0121,Hard coal,D3510,coal
Hai Duong,Hai Duong,Coal,1200.0,operating,"Unit 1, Unit 2",0121,Hard coal,D3510,coal
Hai Ha CHP,Quang Ninh,Coal,2100.0,shelved,"Unit 1, Unit 10, Unit 11, Unit 12, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6, Unit 7, Unit 8, Unit 9",0121,Hard coal,D3510,coal
Hai Lang,Quảng Trị,gas,1500.0,cancelled,1-2,0311,Natural gas,D3510,CCGT
Hai Lang,Quảng Trị,gas,1500.0,construction,1-1,0311,Natural gas,D3510,CCGT
Hai Phong Phase I,Hai Phong,Coal,600.0,operating,"Phase I Unit 1, Phase I Unit 2",0121,Hard coal,D3510,coal
