name,province,fuel,capacity_mwe,status,units_included,level,ires_code,ires_label,isic_code,pypsa_carrier
An Khánh - Bac Giang,Bac Giang,coal,650,4 permitted,An Khánh - Bac Giang,plant,0121,Hard coal,D3510,coal
An Khánh 1,Thai Nguyen,coal,116,6 operating,"An Khánh 1 Unit 1, An Khánh 1 Unit 2",plant,0121,Hard coal,D3510,coal
Bà Rịa GT,Bà Rịa-Vũng Tàu,gas,46,6 operating,Bà Rịa GT,plant,0311,Natural gas,D3510,CCGT
Bạc Liêu 1,Bạc Liêu,coal,1200,9 cancelled,"Bạc Liêu 1 Unit 1, Bạc Liêu 1 Unit 2",plant,0121,Hard coal,D3510,coal
Bảo Đài,,coal,600,9 cancelled,Bảo Đài,plant,0121,Hard coal,D3510,coal
Cam Pha 3,Quảng Ninh,coal,440,1 announced,"Cam Pha 3 Unit 1, Cam Pha 3 Unit 2",plant,0121,Hard coal,D3510,coal
Cao Ngạn,Thai Nguyen,coal,114,6 operating,"Cao Ngạn Unit 1, Cao Ngạn Unit 2",plant,0121,Hard coal,D3510,coal
Cong Thanh,Thanh Hóa,coal,600,9 cancelled,"Cong Thanh Unit 1, Cong Thanh Unit 2",plant,0121,Hard coal,D3510,coal
Cà Mau I,Cà Mau,gas,771,6 operating,Cà Mau I,plant,0311,Natural gas,D3510,CCGT
Cà Mau II,Cà Mau,gas,771,6 operating,Cà Mau II,plant,0311,Natural gas,D3510,CCGT
Cẩm Phả 1,Quảng Ninh,coal,340,6 operating,Cẩm Phả 1,plant,0121,Hard coal,D3510,coal
Cẩm Phả 2,Quảng Ninh,coal,340,6 operating,Cẩm Phả 2,plant,0121,Hard coal,D3510,coal
Dong Nai Formosa,Đồng Nai,coal,450,6 operating,"Dong Nai Formosa Unit 1, Dong Nai Formosa Unit 2, Dong Nai Formosa Unit 3",plant,0121,Hard coal,D3510,coal
Duc Giang - Lao Cai Chemical,Lao Cai,coal,100,2 proposed,"Duc Giang - Lao Cai Chemical Unit 1, Duc Giang - Lao Cai Chemical Unit 2",plant,0121,Hard coal,D3510,coal
Dung Quat Special Economic Zone (J-Power) Phase I,Quảng Ngãi,coal,2400,1 announced,Dung Quat Special Economic Zone (J-Power) Phase I,plant,0121,Hard coal,D3510,coal
Dung Quat Special Economic Zone (J-Power) Phase II,Quảng Ngãi,coal,2000,1 announced,Dung Quat Special Economic Zone (J-Power) Phase II,plant,0121,Hard coal,D3510,coal
Duyen Hai 1,Tra Vinh,coal,1244,6 operating,"Duyen Hai 1 Unit 1, Duyen Hai 1 Unit 2",plant,0121,Hard coal,D3510,coal
Duyen Hai 3,Tra Vinh,coal,1904,6 operating,"Duyen Hai 3 Extension, Duyen Hai 3 Unit 1, Duyen Hai 3 Unit 2",plant,0121,Hard coal,D3510,coal
Duyên Hải 2,Tra Vinh,coal,1200,6 operating,"Duyên Hải 2 Unit 1, Duyên Hải 2 Unit 2",plant,0121,Hard coal,D3510,coal
Formosa HT2,Hà Tĩnh,coal,650,1 announced,Formosa HT2,plant,0121,Hard coal,D3510,coal
Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh,coal,900,6 operating,"Ha Tinh Formosa Plastics Steel Complex Unit 1, Ha Tinh Formosa Plastics Steel Complex Unit 10, Ha Tinh Formosa Plastics Steel Complex Unit 2, Ha Tinh Formosa Plastics Steel Complex Unit 5, Ha Tinh Formosa Plastics Steel Complex Unit 6, Ha Tinh Formosa Plastics Steel Complex Unit 7",plant,0121,Hard coal,D3510,coal
Hai Duong,Hai Duong,coal,1200,6 operating,"Hai Duong Unit 1, Hai Duong Unit 2",plant,0121,Hard coal,D3510,coal
Hai Ha CHP Phase 1,Quảng Ninh,coal,150,2 proposed,"Hai Ha CHP Phase 1 Unit 1, Hai Ha CHP Phase 1 Unit 2, Hai Ha CHP Phase 1 Unit 3",plant,0121,Hard coal,D3510,coal
Hai Ha CHP Phase 2,Quảng Ninh,coal,750,2 proposed,"Hai Ha CHP Phase 2 Unit 1, Hai Ha CHP Phase 2 Unit 2, Hai Ha CHP Phase 2 Unit 3, Hai Ha CHP Phase 2 Unit 4, Hai Ha CHP Phase 2 Unit 5",plant,0121,Hard coal,D3510,coal
Hai Ha CHP Phase 3,Quảng Ninh,coal,600,2 proposed,"Hai Ha CHP Phase 3 Unit 1, Hai Ha CHP Phase 3 Unit 2",plant,0121,Hard coal,D3510,coal
Hai Ha CHP Phase 4,Quảng Ninh,coal,600,2 proposed,"Hai Ha CHP Phase 4 Unit 1, Hai Ha CHP Phase 4 Unit 2",plant,0121,Hard coal,D3510,coal
Hai Phong 1,Hải Phòng,coal,600,6 operating,"Hai Phong 1 Unit 1, Hai Phong 1 Unit 2",plant,0121,Hard coal,D3510,coal
Hai Phong 2,Hải Phòng,coal,600,6 operating,"Hai Phong 2 Unit 3, Hai Phong 2 Unit 4",plant,0121,Hard coal,D3510,coal
Hai Phong 3,Hải Phòng,coal,1200,2 proposed,"Hai Phong 3 Unit 1, Hai Phong 3 Unit 2",plant,0121,Hard coal,D3510,coal
Hải Phòng,Hải Phòng,gas,500,1 announced,Hải Phòng,plant,0311,Natural gas,D3510,CCGT
LNG Bà Rịa 2,Bà Rịa-Vũng Tàu,gas,1200,1 announced,LNG Bà Rịa 2,plant,0311,Natural gas,D3510,CCGT
LNG Bình Định,Bình Định,gas,5000,2 proposed,LNG Bình Định,plant,0311,Natural gas,D3510,CCGT
LNG Bạc Liêu,Bạc Liêu,gas,3200,3 added to PDP,LNG Bạc Liêu,plant,0311,Natural gas,D3510,CCGT
LNG Bến Tre,Bến Tre,gas,3000,2 proposed,LNG Bến Tre,plant,0311,Natural gas,D3510,CCGT
LNG Chân Mây,Huế,gas,4000,2 proposed,LNG Chân Mây,plant,0311,Natural gas,D3510,CCGT
LNG Cà Mau 1,Cà Mau,gas,1500,2 proposed,LNG Cà Mau 1,plant,0311,Natural gas,D3510,CCGT
LNG Cà Mau 2,Cà Mau,gas,1500,2 proposed,LNG Cà Mau 2,plant,0311,Natural gas,D3510,CCGT
LNG Cà Mau 3,Cà Mau,gas,1500,2 proposed,LNG Cà Mau 3,plant,0311,Natural gas,D3510,CCGT
