N,mode,entity_f1,coverage,precision,system_count
1,incremental,0.158,0.086,1.0,14
2,incremental,0.238,0.135,1.0,22
3,incremental,0.266,0.153,1.0,25
4,incremental,0.284,0.166,1.0,27
5,incremental,0.311,0.184,1.0,30
6,incremental,0.394,0.245,1.0,40
7,incremental,0.417,0.264,1.0,43
8,incremental,0.433,0.276,1.0,45
9,incremental,0.462,0.301,1.0,49
10,incremental,0.491,0.325,1.0,53
11,incremental,0.538,0.368,1.0,60
12,incremental,0.545,0.374,1.0,61
13,incremental,0.701,0.54,1.0,88
14,incremental,0.732,0.577,1.0,94
15,incremental,0.774,0.632,1.0,103
16,incremental,0.844,0.73,1.0,119
17,incremental,0.88,0.785,1.0,128
18,incremental,0.88,0.785,1.0,128
1,global,0.302,0.178,1.0,29
2,global,0.284,0.166,1.0,27
3,global,0.199,0.11,1.0,18
4,global,0.238,0.135,1.0,22
5,global,0.238,0.135,1.0,22
6,global,0.37,0.227,1.0,37
7,global,0.37,0.227,1.0,37
8,global,0.564,0.393,1.0,64
9,global,0.491,0.325,1.0,53
10,global,0.433,0.276,1.0,45
11,global,0.448,0.288,1.0,47
12,global,0.557,0.387,1.0,63
13,global,0.564,0.393,1.0,64
14,global,0.462,0.301,1.0,49
15,global,0.625,0.454,1.0,74
16,global,0.774,0.632,1.0,103
17,global,0.988,0.976,1.0,159
18,global,0.462,0.301,1.0,49
