name,fuel,status,cod,province,capacity_mwe,source_1,source_1_type,source_2,source_2_type,evidence_score,verified
Uông Bí,Coal,Operational,,Quảng Ninh,105,,none,,none,1,False
Uông Bí Extension 1,Coal,Operational,,Quảng Ninh,300,,none,,none,1,False
Uông Bí Extension 2,Coal,Operational,,Quảng Ninh,330,,none,,none,1,False
Pha Lai 1,Coal,Operational,,Hải Dương,440,,none,,none,1,False
Pha Lai 2,Coal,Operational,,Hải Dương,600,,none,,none,1,False
Ninh Bình,Coal,Operational,,Ninh Bình,100,,none,,none,1,False
Hải Phòng 1,Coal,Operational,,Hải Phòng,300,,none,,none,1,False
Quang Ninh 1,Coal,Operational,,Quảng Ninh,300,,none,,none,1,False
Na Duong,Coal,Operational,,Lạng Sơn,111,,none,,none,1,False
Cao Nhan,Coal,Operational,,Quảng Ninh,115,,none,,none,1,False
Cam Pha 1 & 2,Coal,Operational,,Quảng Ninh,600,,none,,none,1,False
Son Dong,Coal,Operational,,Quảng Ninh,220,,none,,none,1,False
Formosa Hà Tĩnh #2,Coal,Operational,,Hà Tĩnh,150,,none,,none,1,False
Mông Dương 1,Coal,Operational,,Quảng Ninh,1080,,none,,none,1,False
Mông Dương 2,Coal,Operational,,Quảng Ninh,1200,,none,,none,1,False
Vĩnh Tân 2,Coal,Operational,,Bình Thuận,1244,,none,,none,1,False
Duyên Hải 1,Coal,Operational,,Trà Vinh,1244,,none,,none,1,False
Duyên Hải 3,Coal,Operational,,Trà Vinh,1245,,none,,none,1,False
Nghi Sơn 1,Coal,Operational,,Thanh Hóa,600,,none,,none,1,False
Quang Ninh 2,Coal,Operational,,Quảng Ninh,600,,none,,none,1,False
Hải Phòng 2,Coal,Operational,,Hải Phòng,600,,none,,none,1,False
Thai Bình 1,Coal,Operational,,Thái Bình,600,,none,,none,1,False
Vĩnh Tân 4,Coal,Operational,,Bình Thuận,1200,,none,,none,1,False
Vĩnh Tân 1,Coal,Operational,,Bình Thuận,1200,,none,,none,1,False
Thăng Long #1,Coal,Operational,,Thanh Hóa,300,,none,,none,1,False
Thăng Long #2,Coal,Operational,,Thanh Hóa,300,,none,,none,1,False
Formosa Hà Tĩnh #5,Coal,Operational,,Hà Tĩnh,150,,none,,none,1,False
Formosa Hà Tĩnh #6 & #7,Coal,Operational,,Hà Tĩnh,300,,none,,none,1,False
Formosa Hà Tĩnh #10,Coal,Planned/Delayed,,Hà Tĩnh,150,,none,,none,1,False
Formosa Đồng Nai #3,Coal,Operational,,Đồng Nai,150,,none,,none,1,False
Vè Đan,Coal,Operational,,Quảng Ninh,60,,none,,none,1,False
Nghi Sơn 2,Coal,Under Construction,,Thanh Hóa,1200,,none,,none,1,False
Hải Dương 1 & 2,Coal,Under Construction,,Hải Dương,1200,,none,,none,1,False
Nam Định 1,Coal,Under Construction,,Nam Định,1200,,none,,none,1,False
Vũng Áng 2,Coal,Under Construction,,Hà Tĩnh,1200,,none,,none,1,False
Quảng Trạch 1,Coal,Under Construction,,Quảng Bình,1200,,none,,none,1,False
Vân Phong 1,Coal,Under Construction,,Khánh Hòa,1432,,none,,none,1,False
Long Phú 1,Coal,Under Construction,,Sóc Trăng,1200,,none,,none,1,False
Sông Hậu 1,Coal,Under Construction,,Hậu Giang,1200,,none,,none,1,False
Na Dương 2,Coal,Under Construction,,Lạng Sơn,110,,none,,none,1,False
Cẩm Phả 3,Coal,Planned/Delayed,,Quảng Ninh,440,,none,,none,1,False
Quỳnh Lập 1,Coal,Planned/Delayed,,Nghệ An,1200,,none,,none,1,False
Công Thanh,Coal,Planned/Delayed,,Thanh Hóa,600,,none,,none,1,False
An Khánh - Bắc Giang,Coal,Planned/Delayed,,Bắc Giang,650,,none,,none,1,False
Vĩnh Tân 3,Coal,Planned/Delayed,,Bình Thuận,1980,,none,,none,1,False
Quảng Trị,Coal,Planned/Delayed,,Quảng Trị,1320,,none,,none,1,False
Sông Hậu 2,Coal,Planned/Delayed,,Hậu Giang,2120,,none,,none,1,False
Long Phú 2,Coal,Planned/Delayed,,Sóc Trăng,1320,,none,,none,1,False
Long Phú 3,Coal,Planned/Delayed,,Sóc Trăng,1800,,none,,none,1,False
Long An 1,Coal,Planned/Delayed,,Long An,1200,,none,,none,1,False
Long An 2,Coal,Planned/Delayed,,Long An,1600,,none,,none,1,False
Vũng Áng 3,Coal,Planned/Delayed,,Hà Tĩnh,1200,,none,,none,1,False
Quỳnh Lập 2,Coal,Planned/Delayed,,Nghệ An,1200,,none,,none,1,False
Tân Phước 1,Coal,Planned/Delayed,,Tiền Giang,1200,,none,,none,1,False
Tân Phước 2,Coal,Planned/Delayed,,Tiền Giang,1200,,none,,none,1,False
Hải Phòng 3,Coal,Planned/Delayed,,Hải Phòng,1200,,none,,none,1,False
Quảng Ninh 3,Coal,Planned/Delayed,,Quảng Ninh,1200,,none,,none,1,False
Bạc Liêu 1,Coal,Planned/Delayed,,Bạc Liêu,1200,,none,,none,1,False
Quảng Trạch 2,Coal,Planned/Delayed,,Quảng Bình,1200,,none,,none,1,False
Bình Định 1,Coal,Planned/Delayed,,Bình Định,1200,,none,,none,1,False
Bình Định 2,Coal,Planned/Delayed,,Bình Định,2000,,none,,none,1,False
Kiên Lương 1,Coal,Cancelled/Replaced,,Kiên Giang,1200,,none,,none,1,False
Kiên Lương 2,Coal,Cancelled/Replaced,,Kiên Giang,1200,,none,,none,1,False
Kiên Lương 3,Coal,Cancelled/Replaced,,Kiên Giang,2000,,none,,none,1,False
Đồng phát Hải Hà 1,Coal,Planned/Delayed,,Quảng Ninh,300,,none,,none,1,False
