name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy nhiệt điện Phả Lại 1-2,Coal,Operational / Retired,1983 / 2001,Hải Dương,0,Global Energy Monitor,EVN PDP8,Units 1-4 retired/suspended; 5-6 operational.
Nhà máy nhiệt điện Uông Bí 1-2,Coal,Operational / Retired,1960s / 2000s,Quảng Ninh,0,Global Energy Monitor,EVN PDP8,Phase 1 (2×110) retired.
Nhà máy nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vĩnh Tân 1,Coal,Operational,2015,Bình Thuận,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vĩnh Tân 2,Coal,Operational,2015,Bình Thuận,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vĩnh Tân 3,Coal,Operational,2017,Bình Thuận,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vĩnh Tân 4,Coal,Operational,2017,Bình Thuận,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Duyên Hải 2,Coal,Under Construction,2024 (Exp.),Trà Vinh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Duyên Hải 3,Coal,Operational,2016,Trà Vinh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vũng Áng 2,Coal,Suspended,TBD,Hà Tĩnh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Nghi Sơn 1,Coal,Operational,2013,Thanh Hóa,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Nghi Sơn 2,Coal,Operational,2018,Thanh Hóa,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Quảng Ninh 1,Coal,Operational,2006,Quảng Ninh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Quảng Ninh 2,Coal,Operational,2010,Quảng Ninh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Quảng Ninh 3,Coal,Operational,2019,Quảng Ninh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Thái Bình 1,Coal,Operational,2018,Thái Bình,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Thái Bình 2,Coal,Operational,2020,Thái Bình,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Nam Định 1,Coal,Operational,2018,Nam Định,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Long Phú 1,Coal,Suspended,TBD,Sóc Trăng,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Sông Hậu 1,Coal,Planned,TBD,Hậu Giang,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Sông Hậu 2,Coal,Planned,TBD,Hậu Giang,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vân Phong 1,Coal,Under Construction,2024 (Exp.),Khánh Hòa,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Vân Phong 2,Coal,Planned,TBD,Khánh Hòa,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Quảng Trạch 1,Coal,Planned,TBD,Quảng Bình,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Quảng Trạch 2,Coal,Planned,TBD,Quảng Bình,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Kiên Lương 1-2,Coal,Suspended / Cancelled,TBD,Kiên Giang,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Phú Mỹ 1-4,Domestic Gas,Operational,1993–2006,Bà Rịa - Vũng Tàu,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Nhơn Trạch 1-2,Domestic Gas,Operational,2000s,Đồng Nai,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Nhơn Trạch 3-4,Imported LNG,Under Construction,2024 (Exp.),Đồng Nai,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Cà Mau 1-2,Domestic Gas,Operational,2000s,Cà Mau,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Ô Môn 1-2,Domestic Gas,Operational,2000s/2010s,Cần Thơ,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Ô Môn 3,Imported LNG,Planned,TBD,Cần Thơ,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Hiệp Phước,Domestic Gas,Operational,2000s,TP. Hồ Chí Minh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Bà Rịa,Domestic Gas,Operational,1990s,Bà Rịa - Vũng Tàu,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Thủ Đức,Domestic Gas,Operational,1990s,TP. Hồ Chí Minh,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Sơn Mỹ 1,Imported LNG,Planned,TBD,Ninh Thuận,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Sơn Mỹ 2,Imported LNG,Planned,TBD,Ninh Thuận,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện Hải Lăng,Imported LNG,Planned,TBD,Quảng Trị,0,Global Energy Monitor,EVN PDP8,
Nhà máy nhiệt điện LNG Nam Định 1,Imported LNG,Planned,TBD,Nam Định,0,Global Energy Monitor,EVN PDP8,
