name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operational,1983–1986,Hải Dương,0,"EVN Annual Report; PDP VII Revised (Decision 428/QĐ-TTg, 2016)",Global Energy Monitor – Vietnam,Soviet-era units; among oldest coal plants
Nhiệt điện Phả Lại 2,Coal,Operational,2001–2002,Hải Dương,0,EVN Annual Report,GEM Wiki – Pha Lai power station,Japanese ODA-funded (JBIC)
Nhiệt điện Uông Bí,Coal,Operational,1964–2014 (phased),Quảng Ninh,0,PDP VII Revised,GEM Wiki,One of Vietnam's oldest plants; expansion unit (330 MW) COD 2014
Nhiệt điện Uông Bí Mở rộng 2,Coal,Operational,2014,Quảng Ninh,0,EVN Annual Report 2014,,
Nhiệt điện Ninh Bình,Coal,Operational,1974 / 2008,Ninh Bình,0,PDP VII Revised,,Older 25 MW units below threshold; 100 MW unit added later
Nhiệt điện Quảng Ninh 1,Coal,Operational,2010–2011,Quảng Ninh,0,PDP VII Revised (Decision 428/QĐ-TTg),GEM Wiki – Quang Ninh,
Nhiệt điện Quảng Ninh 2,Coal,Operational,2012–2014,Quảng Ninh,0,PDP VII Revised,GEM Wiki,
Nhiệt điện Hải Phòng 1,Coal,Operational,2009–2010,Hải Phòng,0,PDP VII Revised,GEM Wiki – Hai Phong,
Nhiệt điện Hải Phòng 2,Coal,Operational,2013–2014,Hải Phòng,0,PDP VII Revised,GEM Wiki,
Nhiệt điện Mạo Khê,Coal,Operational,2013–2015,Quảng Ninh,0,PDP VII Revised,GEM Wiki – Mao Khe,Vinacomin (coal mining company) involvement
Nhiệt điện Cẩm Phả 1,Coal,Operational,2010–2011,Quảng Ninh,0,PDP VII Revised,GEM Wiki,Also referred to as Cam Pha TPC
Nhiệt điện Cẩm Phả 2,Coal,Operational,2014–2015,Quảng Ninh,0,PDP VII Revised,GEM Wiki,
Nhiệt điện Nghi Sơn 1,Coal,Operational,2013–2014,Thanh Hóa,0,PDP VII Revised,GEM Wiki – Nghi Son,
Nhiệt điện Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,0,"PDP VII Revised; PDP VIII (Decision 500/QĐ-TTg, 2023)",GEM Wiki – Nghi Son 2,BOT project; Japanese/Korean consortium
Nhiệt điện Vũng Áng 1,Coal,Operational,2014–2015,Hà Tĩnh,0,PDP VII Revised,GEM Wiki – Vung Ang 1,
Nhiệt điện Vũng Áng 2,Coal,Under construction,Expected ~2025–2026,Hà Tĩnh,0,"PDP VIII (Decision 500/QĐ-TTg, May 2023)",GEM Wiki – Vung Ang 2,Long-delayed BOT; financing challenges
Nhiệt điện Vĩnh Tân 1,Coal,Operational,2018–2019,Bình Thuận,0,PDP VII Revised,GEM Wiki – Vinh Tan 1,Chinese-invested BOT
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014–2015,Bình Thuận,0,PDP VII Revised,GEM Wiki – Vinh Tan 2,
Nhiệt điện Vĩnh Tân 3,Coal,Cancelled / Removed from PDP VIII,—,Bình Thuận,0,PDP VIII (Decision 500/QĐ-TTg),GEM Wiki – Vinh Tan 3,Removed from PDP VIII; previously planned as BOT
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2017–2019,Bình Thuận,0,PDP VII Revised,GEM Wiki – Vinh Tan 4,
Nhiệt điện Vĩnh Tân 4 Mở rộng,Coal,Operational,2020,Bình Thuận,0,PDP VII Revised,GEM Wiki,
Nhiệt điện Duyên Hải 1,Coal,Operational,2015–2016,Trà Vinh,0,PDP VII Revised,GEM Wiki – Duyen Hai,
Nhiệt điện Duyên Hải 2,Coal,Operational,2021,Trà Vinh,0,PDP VII Revised,GEM Wiki – Duyen Hai 2,Malaysian BOT investor
Nhiệt điện Duyên Hải 3,Coal,Operational,2017–2018,Trà Vinh,0,PDP VII Revised,GEM Wiki – Duyen Hai 3,
Nhiệt điện Duyên Hải 3 Mở rộng,Coal,Operational,2019,Trà Vinh,0,PDP VII Revised,GEM Wiki,
Nhiệt điện Thái Bình 1,Coal,Operational,2018,Thái Bình,0,PDP VII Revised,GEM Wiki – Thai Binh,
Nhiệt điện Thái Bình 2,Coal,Operational,2022–2023,Thái Bình,0,PDP VII Revised; PDP VIII,GEM Wiki – Thai Binh 2,Long-delayed; major cost overruns; corruption scandal
Nhiệt điện Sông Hậu 1,Coal,Operational,2020–2022,Hậu Giang,0,PDP VII Revised; PDP VIII,GEM Wiki – Song Hau 1,Significant delays
Nhiệt điện Sông Hậu 2,Coal,Cancelled / Converted to LNG in PDP VIII,—,Hậu Giang,0,PDP VIII (Decision 500/QĐ-TTg),GEM Wiki – Song Hau 2,Converted to LNG project in PDP VIII
Nhiệt điện Long Phú 1,Coal,Under construction (stalled),Originally ~2018; delayed indefinitely,Sóc Trăng,0,PDP VII Revised; PDP VIII,GEM Wiki – Long Phu 1,Stalled due to US sanctions on Power Machines (Russia); contractor issues
Nhiệt điện Long Phú 2,Coal,Cancelled,—,Sóc Trăng,0,PDP VIII,GEM Wiki – Long Phu 2,Removed from plans
Nhiệt điện Long Phú 3,Coal,Cancelled,—,Sóc Trăng,0,PDP VIII,GEM Wiki,Removed from PDP VIII
Nhiệt điện An Khánh – Bắc Giang,Coal,Operational,2017,Bắc Giang,0,MOIT records,GEM Wiki,Small coal IPP
Nhiệt điện Nông Sơn,Coal,Operational,2014,Quảng Nam,0,PDP VII Revised,,At threshold; domestic anthracite
Nhiệt điện Formosa Hà Tĩnh,Coal,Operational,2017,Hà Tĩnh,0,MOIT industrial records,GEM Wiki – Formosa Ha Tinh,Captive power for steel complex; some surplus sold to grid
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,PDP VII Revised,GEM Wiki – Mong Duong 1,
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,PDP VII Revised,GEM Wiki – Mong Duong 2,AES sold stake to POSCO; one of largest BOT coal plants
Nhiệt điện Thăng Long,Coal,Operational,2018,Quảng Ninh,0,PDP VII Revised,GEM Wiki – Thang Long,Private IPP
Nhiệt điện Hải Dương (BOT),Coal,Operational,2020–2021,Hải Dương,0,PDP VII Revised,GEM Wiki – Hai Duong,Malaysian-Chinese BOT
Nhiệt điện Vân Phong 1,Coal,Under construction,Expected ~2027,Khánh Hòa,0,PDP VIII (Decision 500/QĐ-TTg),GEM Wiki – Van Phong 1,One of last new coal BOTs proceeding
Nhiệt điện Nam Định 1,Coal,Cancelled / Converted to LNG in PDP VIII,—,Nam Định,0,PDP VIII,GEM Wiki,Converted to LNG in PDP VIII
Nhiệt điện Quảng Trị,Coal,Cancelled in PDP VIII,—,Quảng Trị,0,PDP VIII,GEM Wiki,Removed from plans
Nhiệt điện Quỳnh Lập 1,Coal,Cancelled / Suspended,—,Nghệ An,0,PDP VIII,GEM Wiki – Quynh Lap,Removed or suspended in PDP VIII
Nhiệt điện Quỳnh Lập 2,Coal,Cancelled,—,Nghệ An,0,PDP VIII,GEM Wiki,
Nhiệt điện Công Thanh,Coal,Cancelled / Suspended,—,Thanh Hóa,0,PDP VII Revised,GEM Wiki,Never reached financial close
Nhiệt điện Lục Nam,Coal,Planned → Cancelled,—,Bắc Giang,0,PDP VII Revised,,Small; removed from PDP VIII
