name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
**COAL FIRED**,,,,,0,,,
Nhà máy nhiệt điện Phả Lại 1,Coal,Operational,1986,Hải Dương,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,Oldest major coal plant; nearing retirement
Nhà máy nhiệt điện Phả Lại 2,Coal,Operational,2001,Hải Dương,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Uông Bí 2,Coal,Operational,2004,Quảng Ninh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Ninh Bình,Coal,Operational,1974,Ninh Bình,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,Oldest plant in Vietnam; nearing retirement
Nhà máy nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Vĩnh Tân 1,Coal,Operational,2014-2017,Bình Thuận,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Vĩnh Tân 2,Coal,Operational,2015,Bình Thuận,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Vĩnh Tân 4,Coal,Operational,2017,Bình Thuận,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Duyên Hải 3,Coal,Operational,2016,Trà Vinh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Nghi Sơn 1,Coal,Operational,2013,Thanh Hóa,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Nghi Sơn 2,Coal,Operational,2018,Thanh Hóa,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Quảng Ninh 1,Coal,Operational,2004,Quảng Ninh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Quảng Ninh 2,Coal,Operational,2012,Quảng Ninh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Quảng Ninh 3,Coal,Operational,2017,Quảng Ninh,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Nam Định 1,Coal,Operational,2011,Nam Định,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Thái Bình 2,Coal,Operational,2022,Thái Bình,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Hải Dương,Coal,Operational,2023,Hải Dương,0,"MOIT PDP8, Appendix I",EVN Project Portfolio,
Nhà máy nhiệt điện Long Phú 1,Coal,Under construction,2024 (est),Sóc Trăng,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,Delayed due to site clearance
Nhà máy nhiệt điện Sông Hậu 1,Coal,Under construction,2024 (est),Hậu Giang,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,Delayed due to site clearance
Nhà máy nhiệt điện Long Phú 2,Coal,Planned,2026 (est),Sóc Trăng,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,
Nhà máy nhiệt điện Sông Hậu 2,Coal,Planned,2026 (est),Hậu Giang,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,
Nhà máy nhiệt điện Kiên Lương 1,Coal,Planned,2027 (est),Kiên Giang,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,
Nhà máy nhiệt điện Bồ Đề 1,Coal,Planned,2027 (est),Bình Dương,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,
Nhà máy nhiệt điện Hải Phòng 3,Coal,Cancelled,N/A,Hải Phòng,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,Removed from PDP8
Nhà máy nhiệt điện Quảng Ninh 4,Coal,Cancelled,N/A,Quảng Ninh,0,"MOIT PDP8, Appendix II",EVN Project Portfolio,Removed from PDP8
**DOMESTIC GAS FIRED**,,,,,0,,,
Nhà máy nhiệt điện Phú Mỹ 1,Domestic gas,Operational,1998,Bà Rịa-Vũng Tàu,0,"MOIT PDP8, Appendix I",PV Power Portfolio,
Nhà máy nhiệt điện Phú Mỹ 2,Domestic gas,Operational,2002,Bà Rịa-Vũng Tàu,0,"MOIT PDP8, Appendix I",PV Power Portfolio,
