name,fuel,status,cod,province,capacity_mwe
Nha Be 1 Power Plant,Local Natural Gas,Operational,2004,Ho Chi Minh City,489
Nha Be 2 Power Plant,Local Natural Gas,Operational,2010,Ho Chi Minh City,468
Phu My 1 Power Plant,Local Natural Gas,Operational,1999,Baria-Vung Tau,0
Phu My 2.1 Power Plant,Local Natural Gas,Operational,2002,Baria-Vung Tau,0
Phu My 2.2 Power Plant,Local Natural Gas,Operational,2004,Baria-Vung Tau,0
Phu My 3 Power Plant,Local Natural Gas,Operational,2005,Baria-Vung Tau,0
Phu My 4 Power Plant,Local Natural Gas,Operational,2011,Baria-Vung Tau,482
O Mon 1 Power Plant,Coal,Operational,2008,Can Tho,724
O Mon 2 Power Plant,Coal,Operational,2011,Can Tho,724
O Mon 4 (Planned),Coal,Planned,2027,Can Tho,600
Duyen Hai 1 Power Plant,Coal,Operational,2015,Tra Vinh,1
Duyen Hai 2 (Planned),Coal,Planned,2025,Tra Vinh,1
Duyen Hai 3 and 4 Power Plant,Coal,Operational,-,Tra Vinh,0
Vinh Tan 1 Power Plant,Coal,Operational,2011,Binh Thuan,1
Vinh Tan 2 Power Plant,Coal,Operational,2014,Binh Thuan,1
Vinh Tan 3 Power Plant,Coal,Operational,2020,Binh Thuan,5
Vinh Tan 4 Power Plant,Coal,Operational,2023,Binh Thuan,1
Son Ha 1 Power Plant,Coal,Operational,2022,Quang Nam,1
Son Ha 2 (Proposed),Coal,Planned,2028,Quang Nam,1
Quang Ninh 1 Power Plant,Coal,Operational,1994,Quang Ninh,600
Quang Ninh 2 Power Plant,Coal,Operational,2013,Quang Ninh,600
Cam Pha Power Plant,Coal,Operational,1999,Quang Ninh,302
Kien Luong Power Plant,Coal,Operational,2015,Kien Giang,1
Long Phu 1 Power Plant,Coal,Operational,2020,Soc Trang,1
Long Phu 2 (Proposed),Coal,Planned,2030,Soc Trang,1
Thai Binh Thermal Power Plant,Coal,Operational,2017,Thai Binh,600
Mong Duong 1 Power Plant,Coal,Operational,2015,Quang Ninh,1
Mong Duong 2 Power Plant,Coal,Operational,2022,Quang Ninh,1
Uong Bi 1 Power Plant,Coal,Operational,1998,Hai Phong,110
Uong Bi 2 Power Plant,Coal,Operational,2021,Hai Phong,450
La Cam Thermal Power Plant,Coal,Operational,2015,Quang Tri,120
Dien Chau 1 Power Plant,Coal,Operational,2015,Nghe An,1
Dien Chau 2 (Planned),Coal,Planned,2030,Nghe An,1
Quynh Lap 1 Power Plant,Coal,Operational,2018,Nghia Binh,1
Quynh Hiep 1 Power Plant,Imported LNG,Under Construction,2026,Hai Phong,1
Can Tho LNG-to-Power Project,Imported LNG,Under Construction,2026,Can Tho,350
Long An LNG CCGT Project,Imported LNG,Under Construction,2028,Long An,2
Quang Ninh LNG CCGT Project,Imported LNG,Planned,2030,Quang Ninh,2
Binh Thuan LNG CCGT Project,Imported LNG,Planned,2031,Binh Thuan,2
O Mon CCGT Project,Imported LNG,Planned,2028,Can Tho,2
O Mon CCGT Extension (Phase 2),Imported LNG,Planned,2031,Can Tho,750
Binh Dinh LNG CCGT Project,Imported LNG,Planned,2032,Binh Dinh,2
Hoa Binh 1 Thermal Power Plant,Coal,Operational,1987,Lao Cai,480
Hoa Binh 2 Thermal Power Plant,Coal,Operational,1995,Lao Cai,480
Nghi Son 1 Power Plant,Coal,Operational,2013,Thanh Hoa,1
Nghi Son 2 Power Station (Proposed),Coal,Planned,2029,Thanh Hoa,1200
Thap Sao Power Plant,Coal,Operational,1999,Pha R,120
Soc Son Power Plant,Coal,Operational,1995,Hanoi,1
Pha Lai 1 Thermal Power Plant,Coal,Operational,1980-2005,Hai Duong,680
Pha Lai 2 Thermal Power Plant,Coal,Operational,2018,Hai Duong,600
Pha Lai 3Thermal Power Plant,Coal,Operational,2021,Hai Duong,600
Thi Vai 2 Power Plant,LNG-to-Power,Operational,2016,Baria-Vung Tau,750
Song Hau 1 Thermal Power Plant,Coal,Operational,2005,AHUNG,1
Vung Dau LNG Terminal,LNG Terminal,Operational,,Baria-Vung Tau,0
Gia Rai LNG Terminal,LNG Terminal,Planned,,Bac Lieu,0
Nghi Son LNG TerminalThanh Hoa,Planned,,,LNG Terminal,0
Hanoi 1 Thermal Power Plant,Coal,Operational,2010,Hanoi,450
Hanoi 2 Thermal Power Plant,Coal,Operational,2010,Hanoi,450
Mau Thanh Cong Power Plant,Coal,Planned,2029,Binh Dinh,1200
