name,fuel,status,cod,province,capacity_mwe
Uong Bai Thermal Power Plant Unit 1-7,Coal,Operational,1987,Quang Ninh,580
Uong Bai Thermal Power Plant Unit 8-8A,Coal/Switched to Gas,Operational,1990,Quang Ninh,150
Uong Bai 2 Power Plant (LNG),Gas - Imported LNG,Operational,2023,Quang Ninh,1500
Phu My 1 Power Plant,Gas - Imported LNG,Operational,1999,Ba Ria-Vung Tau,617
Phu My 2.1 Power Plant,Gas - Local,Operational,2001,Ba Ria-Vung Tau,630
Phu My 2.2 Power Plant,Gas - Local,Operational,1999,Ba Ria-Vung Tau,636
Phu My 2.3 Power Plant,Coal,Operational,2003,Ba Ria-Vung Tau,709
Phu My 2.4 Power Plant,Coal,Operational,2011,Ba Ria-Vung Tau,1200
Phu My 5 Power Plant,Coal,Under Construction,2023,Ba Ria-Vung Tau,1200
Thach An Power Plant,Gas - Imported LNG,Operational,2022,Kien Giang,498
Da Nang Power Plant (Combined Cycle),Gas - Imported LNG,Operational,2022,Da Nang,1200
Da Nang Power Station No. 2,Gas - Imported LNG,Operational,2023,Da Nang,1300
Vung Ang 1 Thermal Power Plant,Coal,Operational,2023,Quang Tri,1000
Vung Ang 2 Thermal Power Plant,Coal,Operational,2023,Quang Tri,800
Ngan Bay 2 Thermal Power Plant,Coal,Operational,2024,Quang Ninh,660
Ngan Bay 1 Thermal Power Plant,Coal,Operational,2004,Quang Ninh,885
Thang Long Commercial Power Plant,Coal,Operational,2020,Hai Phong,600
Quang Truong Thermal Power Plant,Coal,Operational,2021,Vinh Phuc,660
Dong Van Thermal Power Plant,Coal,Operational,2021,Ninh Binh,800
Vinh Tan 1 & 2 Power Plant,Coal,Operational,2020,Binh Thuan,1200
Hai Phong Power Plant,Coal,Operational,1995,Hai Phong,628
Vung Tau 1 & 2 Thermal Power Plant (Cancelled),Coal,Suspended/Cancelled,N/A,Vung Tau,1600
Quang Ninh Coal Power Plant,Coal,Suspended/Cancelled,N/A,Quang Ninh,2000
Tra Vinh GPP 1,Gas - Imported LNG,Operational,2018,Tra Vinh,700
Tra Vinh GPP 2,Gas - Imported LNG,Operational,2023,Tra Vinh,700
Hai Duong 2 Power Plant,Coal,Suspended/Cancelled,N/A,Hai Duong,2000
Quy Nhon Gas Power Plant,Gas - Locally Sourced,Operational,2023,Binh Dinh,600
Nghi Son Power Plant,Coal,Operational,2022,Thanh Hoa,366
Nhat Tan Thermal Power Plant,Coal,Operational,2020,Hai Phong,1605
Hiep Hoa Power Plant,Coal,Operational,2022,Binh Duong,600
Ha Tinh 1 Power Plant,Coal,Operational,2012,Ha Tinh,883
Bac Giang Power Plant,Coal,Suspended/Cancelled,N/A,Bac Giang,660
Lien Ket Power Plant (Thong Nhat),Coal,Suspended/Cancelled,N/A,Long An,0
Thong Nhat 1,Coal,Suspended/Cancelled,N/A,Dak Lak,0
Dong Nai 4 Power Plant,Coal,Suspended/Cancelled,N/A,Dong Nai,660
Thong Nhat 2,Coal,Suspended/Cancelled,N/A,Kien Giang,0
Can Tho Thermal Power Plant,Coal,Planned,2027,Kien Giang,1000
Can Gio Thermal Power Plant,Coal,Under Construction,2025,Binh Duong,1000
Tan Lap LNG Power Plant,Gas - Imported LNG,Under Construction,2024,Kien Giang,1000
Bac Lieu LNG Power Plant,Gas - Imported LNG,Planned,2025,Bac Lieu,1000
Quy Nhon LNG Terminal & Plant,Gas - Imported LNG,Under Construction,2024,Binh Dinh,600
Nha Trang Power Plant,Gas - Local,Operational,2022,Khanh Hoa,500
