name,fuel,status,cod,province,capacity_mwe
Uong Bi,Coal,Operational,1963 (expanded 2011),Quang Ninh,450.0
Na Duong,Coal,Operational,2004,Lang Son,110.0
Cao Ngan,Coal,Operational,2010,Thai Nguyen,115.0
Ninh Binh,Coal,Operational,1974 (refurbished),Ninh Binh,100.0
Pha Lai 1,Coal,Operational,1983,Hai Duong,440.0
Pha Lai 2,Coal,Operational,2003,Hai Duong,600.0
Thai Nguyen,Coal,Operational,1965 (refurbished),Thai Nguyen,160.0
Thai Nguyen 2,Coal,Stalled/Under review,TBD,Thai Nguyen,600.0
Phu My 1,Natural Gas (domestic),Operational,2002,Ba Ria–Vung Tau,1090.0
Phu My 2.1,Natural Gas (domestic),Operational,2003,Ba Ria–Vung Tau,450.0
Phu My 2.2,Natural Gas (domestic),Operational,2005,Ba Ria–Vung Tau,715.0
Phu My 3,Natural Gas (domestic),Operational,2004,Ba Ria–Vung Tau,740.0
Phu My 4,Natural Gas (domestic),Operational,2005,Ba Ria–Vung Tau,450.0
Ca Mau 1,Natural Gas (domestic),Operational,2008,Ca Mau,750.0
Ca Mau 2,Natural Gas (domestic),Operational,2009,Ca Mau,750.0
Nhon Trach 1,Natural Gas (domestic),Operational,2009,Dong Nai,450.0
Nhon Trach 2,Natural Gas (domestic),Operational,2011,Dong Nai,750.0
Nhon Trach 3,LNG (imported),Operational,2024,Dong Nai,750.0
Nhon Trach 4,LNG (imported),Operational,2024,Dong Nai,750.0
O Mon 1,Natural Gas (domestic),Operational,2009,Can Tho,660.0
O Mon 2,Natural Gas (domestic),Planned,~2026–2027,Can Tho,750.0
O Mon 3,LNG (imported),Planned,~2027–2028,Can Tho,750.0
O Mon 4,LNG (imported),Planned,~2027–2028,Can Tho,750.0
Tua Chua,Oil/Diesel,Operational,2007,Dien Bien,108.0
Quang Ninh 1,Coal,Operational,2011,Quang Ninh,600.0
Quang Ninh 2,Coal,Operational,2013,Quang Ninh,600.0
Hai Phong 1,Coal,Operational,2011,Hai Phong,600.0
Hai Phong 2,Coal,Operational,2013,Hai Phong,600.0
Mong Duong 1,Coal,Operational,2015,Quang Ninh,500.0
Mong Duong 2,Coal,Operational,2015,Quang Ninh,1080.0
Vinh Tan 1,Coal,Operational,2018,Binh Thuan,1200.0
Vinh Tan 2,Coal,Operational,2015,Binh Thuan,1244.0
Vinh Tan 4,Coal,Operational,2018,Binh Thuan,1200.0
Vinh Tan 4 MOE,Coal,Operational,2021,Binh Thuan,600.0
Vinh Tan 3,Coal,Planned/Uncertain,TBD,Binh Thuan,1980.0
Duyen Hai 1,Coal,Operational,2015,Tra Vinh,1245.0
Duyen Hai 3,Coal,Operational,2018,Tra Vinh,1245.0
Duyen Hai 3 MOE,Coal,Operational,2020,Tra Vinh,688.0
Duyen Hai 2,Coal,Cancelled/Suspended,N/A,Tra Vinh,1245.0
Thai Binh 1,Coal,Operational,2015,Thai Binh,600.0
Thai Binh 2,Coal,Operational,2023,Thai Binh,1200.0
Vung Ang 1,Coal,Operational,2015,Ha Tinh,1200.0
Vung Ang 2,Coal,Under construction,~2025,Ha Tinh,1200.0
Vung Ang 3,Coal,Cancelled,N/A,Ha Tinh,1980.0
Nghi Son 1,Coal,Operational,2017,Thanh Hoa,600.0
Nghi Son 2,Coal,Operational,2022,Thanh Hoa,1200.0
Song Hau 1,Coal,Operational,2023,Hau Giang,1200.0
Song Hau 2,Coal,Planned/Uncertain,TBD,Hau Giang,2000.0
Long Phu 1,Coal,Stalled,TBD,Soc Trang,1200.0
Long Phu 2,Coal,Cancelled,N/A,Soc Trang,1800.0
Long Phu 3,Coal,Cancelled,N/A,Soc Trang,1800.0
An Khanh–Bac Giang,Coal,Operational,2022,Bac Giang,650.0
Quang Trach 1,Coal,Under construction,~2025–2026,Quang Binh,1200.0
Quang Trach 2,Coal,Planned,TBD,Quang Binh,1200.0
Hai Duong,Coal,Operational,2016,Hai Duong,1200.0
Nam Dinh 1,Coal,Under construction,~2026,Nam Dinh,1200.0
Cong Thanh,Coal,Stalled,TBD,Thanh Hoa,600.0
Formosa Ha Tinh,Coal (captive),Operational,2017,Ha Tinh,650.0
Lee & Man,Coal (captive),Operational,~2020,Hau Giang,150.0
Son My 1,LNG (imported),Planned,~2027–2028,Binh Thuan,2250.0
Son My 2,LNG (imported),Planned,~2028–2030,Binh Thuan,2250.0
Bac Lieu LNG,LNG (imported),Planned,~2028,Bac Lieu,3200.0
Ca Na LNG,LNG (imported),Planned,TBD,Ninh Thuan,1500.0
Quang Ninh LNG,LNG (imported),Planned,TBD,Quang Ninh,1500.0
Hai Lang LNG,LNG (imported),Planned,TBD,Quang Tri,1500.0
Long An 1 LNG,LNG (imported),Planned,~2027–2028,Long An,1500.0
Long An 2 LNG,LNG (imported),Planned,~2028–2030,Long An,1500.0
Quang Trach LNG,LNG (imported),Planned,TBD,Quang Binh,1500.0
