name,fuel,status,cod,province,capacity_mwe
Uong Bi Thermal Power Plant,coal,operating,1963,Quang Ninh,0
Pha Lai Thermal Power Plant,coal,operating,1983,Hai Duong,0
Ninh Binh Thermal Power Plant,coal,operating,1974,Ninh Binh,0
Na Duong Thermal Power Plant,coal,operating,2004,Lang Son,0
Cao Ngan Thermal Power Plant,coal,operating,2007,Thai Nguyen,0
Mong Duong 1 Thermal Power Plant,coal,operating,2015,Quang Ninh,0
Mong Duong 2 Thermal Power Plant,coal,operating,2015,Quang Ninh,0
Cam Pha Thermal Power Plant,coal,operating,2011,Quang Ninh,0
Quang Ninh Thermal Power Plant,coal,operating,2014,Quang Ninh,0
Hai Phong Thermal Power Plant,coal,operating,2014,Hai Phong,0
Mao Khe Thermal Power Plant,coal,operating,2013,Quang Ninh,0
Thang Long Thermal Power Plant,coal,operating,2018,Quang Ninh,0
Vung Ang 1 Thermal Power Plant,coal,operating,2015,Ha Tinh,0
Vinh Tan 2 Thermal Power Plant,coal,operating,2014,Binh Thuan,0
Vinh Tan 4 Thermal Power Plant,coal,operating,2019,Binh Thuan,0
Vinh Tan 4 Expansion,coal,operating,2022,Binh Thuan,0
Duyen Hai 1 Thermal Power Plant,coal,operating,2015,Tra Vinh,0
Duyen Hai 3 Thermal Power Plant,coal,operating,2017,Tra Vinh,0
Duyen Hai 3 Expansion,coal,operating,2021,Tra Vinh,0
Long Phu 1 Thermal Power Plant,coal,under_construction,,Soc Trang,0
Song Hau 1 Thermal Power Plant,coal,operating,2022,Hau Giang,0
An Khanh–Bac Giang Thermal Power Plant,coal,operating,2015,Bac Giang,0
Vung Ang 2 Thermal Power Plant,coal,under_construction,2025,Ha Tinh,0
Quang Trach 1 Thermal Power Plant,coal,under_construction,2026,Quang Binh,0
Nghi Son 1 Thermal Power Plant,coal,operating,2013,Thanh Hoa,0
Nghi Son 2 Thermal Power Plant,coal,operating,2022,Thanh Hoa,0
Thai Binh 1 Thermal Power Plant,coal,operating,2018,Thai Binh,0
Thai Binh 2 Thermal Power Plant,coal,operating,2023,Thai Binh,0
Van Phong 1 Thermal Power Plant,coal,operating,2023,Khanh Hoa,0
Long An I Thermal Power Plant,imported_LNG,under_construction,2026,Long An,0
Long An II Thermal Power Plant,imported_LNG,under_construction,2027,Long An,0
Bac Lieu LNG Power Plant,imported_LNG,planned,2027,Bac Lieu,0
Son My 1 Power Plant,imported_LNG,planned,2028,Binh Thuan,0
Son My 2 Power Plant,imported_LNG,planned,2029,Binh Thuan,0
Nhon Trach 1 Power Plant,local_natural_gas,operating,2009,Dong Nai,0
Nhon Trach 2 Power Plant,local_natural_gas,operating,2011,Dong Nai,0
Nhon Trach 3 Power Plant,imported_LNG,under_construction,2025,Dong Nai,0
Nhon Trach 4 Power Plant,imported_LNG,under_construction,2025,Dong Nai,0
Phu My 1 Power Plant,local_natural_gas,operating,2002,Ba Ria-Vung Tau,0
Phu My 2.1 Power Plant,local_natural_gas,operating,2005,Ba Ria-Vung Tau,0
Phu My 2.2 Power Plant,local_natural_gas,operating,2005,Ba Ria-Vung Tau,0
Phu My 3 Power Plant,local_natural_gas,operating,2004,Ba Ria-Vung Tau,0
Phu My 4 Power Plant,local_natural_gas,operating,2004,Ba Ria-Vung Tau,0
Ba Ria Power Plant,local_natural_gas,operating,2000,Ba Ria-Vung Tau,0
Hiep Phuoc Power Plant,local_natural_gas,operating,2009,Ho Chi Minh City,0
Thu Duc Power Plant,local_natural_gas,operating,1966,Ho Chi Minh City,0
Ca Mau 1 Power Plant,local_natural_gas,operating,2007,Ca Mau,0
Ca Mau 2 Power Plant,local_natural_gas,operating,2008,Ca Mau,0
O Mon I Power Plant,local_natural_gas,operating,2015,Can Tho,0
O Mon II Power Plant,local_natural_gas,planned,2030,Can Tho,0
O Mon III Power Plant,local_natural_gas,planned,2030,Can Tho,0
O Mon IV Power Plant,local_natural_gas,planned,2031,Can Tho,0
Mien Dong 1 Power Plant,local_natural_gas,operating,2003,Ba Ria-Vung Tau,0
Mien Dong 2 Power Plant,local_natural_gas,operating,2016,Ba Ria-Vung Tau,0
Kien Giang 1-2 Power Plant,local_natural_gas,planned,2030,Kien Giang,0
Quang Ninh LNG Power Plant,imported_LNG,planned,2030,Quang Ninh,0
Hai Lang LNG Power Plant,imported_LNG,planned,2030,Quang Tri,0
Nghi Son LNG Power Plant,imported_LNG,planned,2030,Thanh Hoa,0
Quynh Lap LNG Power Plant,imported_LNG,planned,2030,Nghe An,0
Vung Ang 3 LNG Power Plant,imported_LNG,planned,2030,Ha Tinh,0
Hoang Mai LNG Power Plant,imported_LNG,planned,2031,Nghe An,0
Ca Na LNG Power Plant,imported_LNG,planned,2030,Ninh Thuan,0
Hiep Phuoc LNG Power Plant,imported_LNG,planned,2030,Ho Chi Minh City,0
Tra Vinh LNG Power Plant,imported_LNG,planned,2031,Tra Vinh,0
Binh Dai LNG Power Plant,imported_LNG,planned,2030,Ben Tre,0
Tien Hai LNG Power Plant,imported_LNG,planned,2030,Thai Binh,0
Dung Quat LNG Power Plant,imported_LNG,planned,2030,Quang Ngai,0
Van Phong 2 Thermal Power Plant,coal,planned,,Khanh Hoa,0
Quynh Lap 1 Thermal Power Plant,coal,planned,,Nghe An,0
Quynh Lap 2 Thermal Power Plant,coal,planned,,Nghe An,0
Vinh Tan 3 Thermal Power Plant,coal,planned,,Binh Thuan,0
Long Phu 2 Thermal Power Plant,coal,planned,,Soc Trang,0
Long Phu 3 Thermal Power Plant,coal,planned,,Soc Trang,0
Duyen Hai 2 Thermal Power Plant,coal,planned,,Tra Vinh,0
Thai Binh 3 Thermal Power Plant,coal,planned,,Thai Binh,0
Nam Dinh 1 Thermal Power Plant,coal,planned,,Nam Dinh,0
Song Hau 2 Thermal Power Plant,coal,planned,,Hau Giang,0
Song Hau 3 Thermal Power Plant,coal,planned,,Hau Giang,0
Quang Trach 2 Thermal Power Plant,coal,planned,,Quang Binh,0
Mien Trung 1 Thermal Power Plant,coal,planned,,Quang Tri,0
An Phuoc Thermal Power Plant,coal,planned,,Dong Nai,0
Thi Vai LNG Terminal,imported_LNG_terminal,operating,2023,Ba Ria-Vung Tau,0
Son My LNG Terminal,imported_LNG_terminal,under_construction,2027,Binh Thuan,0
Bac Lieu LNG Terminal,imported_LNG_terminal,planned,2027,Bac Lieu,0
Long An LNG Terminal,imported_LNG_terminal,under_construction,2026,Long An,0
Hai Lang LNG Terminal,imported_LNG_terminal,planned,2030,Quang Tri,0
Cai Mep LNG Terminal,imported_LNG_terminal,planned,2030,Ba Ria-Vung Tau,0
Hiep Phuoc LNG Terminal,imported_LNG_terminal,under_construction,2028,Ho Chi Minh City,0
