name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operational,1983–1986,Hải Dương,0,EVN Annual Report 2022 (evn.com.vn),GEM Coal Plant Tracker (globalenergymonitor.org/projects/global-coal-plant-tracker),Oldest major coal plant; aging units; retirement under discussion
Nhiệt điện Phả Lại 2,Coal,Operational,2001–2002,Hải Dương,0,EVN Annual Report 2022,GEM Coal Plant Tracker,BOT converted to EVN ownership
Nhiệt điện Uông Bí,Coal,Operational (partial retirement likely),1963 / 2004,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,Original 2×55 MW units very old; 2×150 MW expansion 2004
Nhiệt điện Uông Bí mở rộng 1,Coal,Operational,2010,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Uông Bí mở rộng 2,Coal,Operational,2016,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Ninh Bình,Coal,Operational,1974–1976,Ninh Bình,0,EVN Annual Report 2022,GEM Coal Plant Tracker,Aging plant; retirement discussions ongoing
Nhiệt điện Na Dương,Coal (lignite),Operational,2004,Lạng Sơn,0,GEM Coal Plant Tracker,Vinacomin Annual Report,Burns local lignite
Nhiệt điện Na Dương 2,Coal (lignite),Suspended/Uncertain,~2025 (delayed),Lạng Sơn,0,GEM Coal Plant Tracker,PDP8 Decision 500/QĐ-TTg 2023,Status uncertain under PDP8 coal phase-down
Nhiệt điện Cao Ngạn,Coal,Operational,2010,Thái Nguyên,0,GEM Coal Plant Tracker,EVN Annual Report 2022,
Nhiệt điện Cẩm Phả,Coal,Operational,2011–2012,Quảng Ninh,0,GEM Coal Plant Tracker,EVN Annual Report 2022,
Nhiệt điện Quảng Ninh 1,Coal,Operational,2011,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Quảng Ninh 2,Coal,Operational,2013–2014,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Hải Phòng 1,Coal,Operational,2011–2012,Hải Phòng,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Hải Phòng 2,Coal,Operational,2013–2014,Hải Phòng,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,GEM Coal Plant Tracker,EVN Annual Report 2022,Sometimes listed as 2×540 MW
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,GEM Coal Plant Tracker,AES Corp disclosures,US-Korean BOT; 25-year PPA with EVN
