name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operational,1983–1986 (units 1‑4); 2000–2001 (units 5‑6),Hải Dương,0,"PDP8, EVN annual report",–,"Units 5‑6 added later; total includes 220 MW from old units (two 110 MW units retired, but listed as >30 MW)"
Nhiệt điện Phả Lại 2,Coal,Operational,2001–2002,Hải Dương,0,"PDP8, EVN",–,Expansion of Pha Lai complex
Nhiệt điện Uông Bí,Coal,Operational,1998 (unit 1); 2005 (unit 2),Quảng Ninh,0,"PDP8, EVN",–,Older unit 1 (150 MW) still operational
Nhiệt điện Ninh Bình,Coal,Operational (modern units),1974 (old); 2007–2008 (new units),Ninh Bình,0,"PDP8, MoIT",–,Old 4×25 retired; current 2×300 units built 2007–2008
Nhiệt điện Hải Phòng,Coal,Operational,2011–2014,Hải Phòng,0,"PDP8, EVN",–,"Two phases: Phase I (2×300), Phase II (2×300)"
Nhiệt điện Quảng Ninh,Coal,Operational,2009–2010,Quảng Ninh,0,"PDP8, EVN",–,
Nhiệt điện Mông Dương,Coal,Operational,2013,Quảng Ninh,0,"PDP8, AES project info",–,"BOT project, transferred to EVN after 25 years"
Nhiệt điện Cẩm Phả,Coal,Operational,2009–2012,Quảng Ninh,0,PDP8,–,Two units 2×300 (600 MW) plus later unit 330 MW?; total reported 930 MW
Nhiệt điện Thái Bình,Coal,Operational,2017–2018,Thái Bình,0,"PDP8, EVN",–,
Nhiệt điện Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,0,"PDP8, EVN",–,
Nhiệt điện Hải Dương,Coal,Operational,2015,Hải Dương,0,PDP8,–,
Nhiệt điện Nghi Sơn 1,Coal,Operational,2018–2019,Thanh Hóa,0,"PDP8, EVN",–,
Nhiệt điện Nghi Sơn 2,Coal,Operational,2020–2021,Thanh Hóa,0,PDP8,–,Actually developed by Marubeni and EDF; commercial since 2021
Nhiệt điện Na Dương,Coal,Operational,2005,Lạng Sơn,0,PDP8,–,"Small coal plant, >30 MW"
Nhiệt điện An Thịnh,Coal,Operational,2008,Bắc Giang,0,PDP8,–,"Industrial park cogeneration, >30 MW"
Nhiệt điện Phấn Mễ 1,Coal,Operational,2010–2011?,Thái Nguyên,0,PDP8,–,
Nhiệt điện Nhân Trạch 1,Coal,Planned?,–,Bình Phước?,0,–,–,(Not a major coal plant; likely confused with gas)
Nhiệt điện Duyên Hải 1,Coal,Operational,2015–2016,Trà Vinh,0,"PDP8, EVN",–,Part of Duyen Hai power center
Nhiệt điện Duyên Hải 2,Coal,Operational,2018–2019,Trà Vinh,0,PDP8,–,BOT by Janakuasa? Actually EVN-owned
Nhiệt điện Duyên Hải 3,Coal,Under construction (units 1&2),2024–2025 (expected),Trà Vinh,0,"PDP8, MoIT",–,"Delayed, originally planned 2020"
Nhiệt điện Long Phú 1,Coal,Under construction,2024–2025?,Sóc Trăng,0,"PDP8, PV Power",–,
Nhiệt điện Long Phú 2,Coal,Planned (cancelled?),–,Sóc Trăng,0,PDP8,–,Possibly cancelled due to environmental concerns
Nhiệt điện Sông Hậu 1,Coal,Operational,2020–2021,Hậu Giang,0,"PDP8, EVN",–,
Nhiệt điện Sông Hậu 2,Coal,Under construction,2025–2026 (expected),Hậu Giang,0,PDP8,–,
Nhiệt điện Vĩnh Tân 1,Coal,Operational,2014–2015,Bình Thuận,0,"PDP8, EVN",–,
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2016–2017,Bình Thuận,0,"PDP8, EVN",–,
Nhiệt điện Vĩnh Tân 3,Coal,Operational,2018–2019,Bình Thuận,0,"PDP8, EVN",–,
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2020–2021,Bình Thuận,0,"PDP8, EVN",–,
Nhiệt điện Bình An,Coal,Cancelled,–,Bình Phước?,0,PDP8,–,Not built
Nhiệt điện Quảng Trị,Coal,Planned (suspended),–,Quảng Trị,0,PDP8,–,Suspended due to environmental opposition
Nhiệt điện Nam Định 1,Coal,Under construction,2025–2026,Nam Định,0,PDP8,–,
Nhiệt điện Nam Định 2,Coal,Planned,2027–2028,Nam Định,0,PDP8,–,
Nhiệt điện Quỳnh Lập,Coal,Operational,2019–2020,Nghệ An,0,PDP8,–,
Nhiệt điện Vũng Áng 2,Coal,Under construction,2025–2026,Hà Tĩnh,0,PDP8,–,"BOT project, delayed"
Nhiệt điện Hồng Hà,Coal,Planned?,–,Quảng Ninh?,0,PDP8,–,
Nhiệt điện Bến Tre,Coal,Cancelled,–,Bến Tre,0,PDP8,–,Cancelled due to climate goals
Gas – Phú Mỹ complex,Domestic gas,Operational (most),1997–2015,Bà Rịa – Vũng Tàu,0,PDP8,–,Includes multiple phases; Phu My 2.1 & 2.2 are CCGT
Gas – Nhơn Trạch complex,Domestic gas/LNG?,Operational (1 & 2); under construction (3),2009–2010 (1); 2013–2014 (2); 2024 (3),Đồng Nai,0,PDP8,–,Nhơn Trạch 3 designed for LNG
Gas – Cà Mau complex,Domestic gas,Operational,2010–2012,Cà Mau,0,PDP8,–,
Gas – Bà Rịa,Domestic gas,Operational,2015–2016?,Bà Rịa – Vũng Tàu,0,PDP8,–,
Gas – Ô Môn complex,Domestic gas,Operational (1&2); under construction (3),1998–2001 (1); 2002–2004 (2); 2025 (3 expected),Cần Thơ,0,PDP8,–,Ô Môn 3 is LNG-based
Gas – Thủ Đức (HCMC),Domestic gas,Retired?,–,Ho Chi Minh City,0,PDP8,–,"Older peakers, may be decommissioned"
LNG – Bắc Giang (LNG),Imported LNG,Planned,2027–2028,Bắc Giang,0,PDP8,–,
LNG – Hải Phòng (LNG),Imported LNG,Planned,2028–2029,Hải Phòng,0,PDP8,–,
LNG – Long Son,Imported LNG,Under construction,2025–2026,Bà Rịa – Vũng Tàu,0,PDP8,–,
LNG – Thái Bình 2 (LNG),Imported LNG,Planned,2028,Thái Bình,0,PDP8,–,
LNG – Quảng Ninh (LNG),Imported LNG,Cancelled (or converted to coal?),–,Quảng Ninh,0,PDP8,–,"Originally planned, replaced by coal?"
LNG – Bến Tre (LNG),Imported LNG,Planned,2030,Bến Tre,0,PDP8,–,
LNG – Khánh Hòa (LNG),Imported LNG,Planned,2030,Khánh Hòa,0,PDP8,–,
LNG – Sơn Mỹ,Imported LNG,Under construction (early phase),2026–2027,Bình Thuận,0,PDP8,–,
LNG – Bạc Liêu,Imported LNG,Planned (suspended),–,Bạc Liêu,0,PDP8,–,Suspended due to investor issues
Old gas – Hiệp Phước,Domestic gas,Operational?,2001,Ho Chi Minh City,0,PDP8,–,
Old coal – Hòn Gai,Coal,Retired,1975–1990s,Quảng Ninh,0,PDP8,–,Retired early 2000s
