name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
**Nhiệt điện Phả Lại**,Coal,Operational,1986–2002,Hải Dương,0,"PDP VII (2016), EVN Annual Report",Global Energy Monitor (2023),"Phase 1 (1986), Phase 2 (2002)"
**Nhiệt điện Uông Bí**,Coal,Operational,1975–2012,Quảng Ninh,0,"PDP VII, EVN",IEEFA (2021),Expanded in 2012
**Nhiệt điện Ninh Bình**,Coal,Operational,1974,Ninh Bình,0,"PDP VII, EVN",-,Retrofit planned
**Nhiệt điện Quảng Ninh**,Coal,Operational,2011–2013,Quảng Ninh,0,"PDP VII, EVN",Global Energy Monitor,-
**Nhiệt điện Mông Dương 1**,Coal,Operational,2015,Quảng Ninh,0,"PDP VII, AES Press Release",IEEFA (2020),-
**Nhiệt điện Mông Dương 2**,Coal,Operational,2015,Quảng Ninh,0,"PDP VII, AES",-,-
**Nhiệt điện Vĩnh Tân 2**,Coal,Operational,2014–2015,Bình Thuận,0,"PDP VII, EVN",Global Energy Monitor,-
**Nhiệt điện Vĩnh Tân 4**,Coal,Operational,2018,Bình Thuận,0,"PDP VII, EVN",IEEFA (2019),USC technology
**Nhiệt điện Duyên Hải 1**,Coal,Operational,2015–2016,Trà Vinh,0,"PDP VII, EVN",-,-
**Nhiệt điện Duyên Hải 3**,Coal,Operational,2020,Trà Vinh,0,"PDP VII, EVN",Global Energy Monitor,USC technology
**Nhiệt điện Nghi Sơn 1**,Coal,Operational,2013,Thanh Hóa,0,"PDP VII, Marubeni Press Release",-,-
**Nhiệt điện Nghi Sơn 2**,Coal,Operational,2020–2021,Thanh Hóa,0,"PDP VII, Marubeni",IEEFA (2021),-
**Nhiệt điện Hải Phòng 1**,Coal,Operational,2011,Hải Phòng,0,"PDP VII, EVN",-,-
**Nhiệt điện Hải Phòng 2**,Coal,Operational,2014,Hải Phòng,0,"PDP VII, EVN",Global Energy Monitor,-
**Nhiệt điện Sông Hậu 1**,Coal,Operational,2015–2016,Hậu Giang,0,"PDP VII, PVN",-,-
**Nhiệt điện Vũng Áng 1**,Coal,Operational,2015,Hà Tĩnh,0,"PDP VII, PVN",IEEFA (2020),-
**Nhiệt điện Vũng Áng 2**,Coal,Under construction,2025 (exp.),Hà Tĩnh,0,"PDP VIII (2023), PVN",Global Energy Monitor,Delayed; USC technology
**Nhiệt điện Quảng Trạch 1**,Coal,Under construction,2026 (exp.),Quảng Bình,0,"PDP VIII, PVN",-,USC technology
**Nhiệt điện Long Phú 1**,Coal,Suspended,-,Sóc Trăng,0,"PDP VII (revised), PVN",IEEFA (2022),Cancelled per PDP VIII
**Nhiệt điện Thái Bình 2**,Coal,Operational,2020,Thái Bình,0,"PDP VII, PVN",-,-
