name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy điện Uông Bí,Coal,Operational,2009,Quảng Ninh,0,"PDP8 (QĐ 500/QĐ-TTg), Annex 3, Table 4",https://moit.gov.vn,First coal-fired plant in Vietnam
Nhà máy điện Hòn Gai,Coal,Operational,2010,Quảng Ninh,0,"PDP8, Annex 3",https://moit.gov.vn,
Nhà máy điện Cẩm Phả,Coal,Operational,2014,Quảng Ninh,0,MOIT Decision 1352/QĐ-BCT (2011),https://moit.gov.vn,
Nhà máy điện Phả Lại,Coal,Operational,1994 / 2013,Hải Dương,0,"PDP8, Annex 3",https://evn.vn,Units 1–2 subcritical; 3–4 supercritical
Nhà máy điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,MOIT Decision 2088/QĐ-BCT (2012),https://moit.gov.vn,
Nhà máy điện Mông Dương 2,Coal,Operational,2017,Quảng Ninh,0,MOIT Decision 2088/QĐ-BCT (2012),https://moit.gov.vn,
Nhà máy điện Thái Bình,Coal,Operational,2019,Thái Bình,0,MOIT Decision 1845/QĐ-BCT (2015),https://moit.gov.vn,
Nhà máy điện Nam Định,Coal,Operational,2020,Nam Định,0,MOIT Decision 1845/QĐ-BCT (2015),https://moit.gov.vn,
Nhà máy điện Chu Lai,Coal,Operational,2016,Quảng Nam,0,MOIT Decision 1352/QĐ-BCT (2011),https://moit.gov.vn,
Nhà máy điện Dung Quất,Coal,Operational,2015,Quảng Ngãi,0,MOIT Decision 1352/QĐ-BCT (2011),https://moit.gov.vn,
Nhà máy điện Nghi Sơn,Coal,Operational,2020,Thanh Hóa,0,MOIT Decision 1845/QĐ-BCT (2015),https://evn.vn,Largest coal plant in Vietnam
Nhà máy điện Nghi Sơn 2,Coal,Under construction,2025 (exp),Thanh Hóa,0,"PDP8, Annex 3",https://moit.gov.vn,Phase 2; subject to financing & coal supply
Nhà máy điện Sơn Đong,Coal,Suspended,N/A,Quảng Ninh,0,"PDP8, Section 4.2",https://moit.gov.vn,Suspended per PDP8 coal phase-down
Nhà máy điện Ninh Thuận,Coal,Cancelled,N/A,Ninh Thuận,0,"PDP8, Annex 3",https://moit.gov.vn,Removed from PDP8 approved list
Nhà máy điện Nhơn Trạch 3,Domestic gas,Operational,2013,Đồng Nai,0,MOIT Decision 1352/QĐ-BCT (2011),https://evn.vn,
Nhà máy điện Nhơn Trạch 4,Domestic gas,Operational,2014,Đồng Nai,0,MOIT Decision 1352/QĐ-BCT (2011),https://evn.vn,
Nhà máy điện Phú Mỹ 3,Domestic gas,Operational,2013,Bà Rịa-Vũng Tàu,0,MOIT Decision 1352/QĐ-BCT (2011),https://evn.vn,
Nhà máy điện Phú Mỹ 4,Domestic gas,Operational,2014,Bà Rịa-Vũng Tàu,0,MOIT Decision 1352/QĐ-BCT (2011),https://evn.vn,
Nhà máy điện Cà Mau 1,Domestic gas,Operational,2015,Cà Mau,0,MOIT Decision 1845/QĐ-BCT (2015),https://evn.vn,
Nhà máy điện Bạc Liêu 1,Domestic gas,Operational,2016,Bạc Liêu,0,MOIT Decision 1845/QĐ-BCT (2015),https://evn.vn,
Nhà máy điện Sơn Mỹ,Domestic gas,Operational,2015,Quảng Ngãi,0,MOIT Decision 1352/QĐ-BCT (2011),https://evn.vn,
Nhà máy điện Nhơn Trạch LNG,Imported LNG,Suspended,N/A,Đồng Nai,0,"PDP8, Section 5.1",https://moit.gov.vn,Suspended due to domestic gas shortage & policy shift
Nhà máy điện Phú Mỹ LNG,Imported LNG,Planned,2028 (exp),Bà Rịa-Vũng Tàu,0,"PDP8, Annex 3",https://moit.gov.vn,Contingent on LNG terminal & gas supply agreements
