name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
EVN - Son La,Hydropower,Operating,,Điện,1600.0,,,
EVN - Hoa Binh,Hydropower,Operating,,Điện,1920.0,,,
EVN - Tuyen Quang,Hydropower,Operating,,Điện,342.0,,,
EVN - Quang Tri,Hydropower,Operating,,Điện,64.0,,,
EVN - Pleikrong,Hydropower,Operating,,Điện,100.0,,,
EVN - Ia Ly,Hydropower,Operating,,Điện,720.0,,,
EVN - Se San 3,Hydropower,Operating,,Điện,260.0,,,
EVN - Se San 4,Hydropower,Operating,,Điện,360.0,,,
EVN - Buon Tuar Srah,Hydropower,Operating,,Điện,86.0,,,
EVN - Buon Kuop,Hydropower,Operating,,Điện,280.0,,,
EVN - Srepok 3,Hydropower,Operating,,Điện,220.0,,,
EVN - Tri An,Hydropower,Operating,,Điện,420.0,,,
EVN - An Khe,Hydropower,Operating,,Điện,160.0,,,
EVN - Song Tranh 2,Hydropower,Operating,,Điện,190.0,,,
EVN - Dong Nai 3,Hydropower,Operating,,Điện,180.0,,,
EVN - Thac Ba,Hydropower,Operating,,Điện,120.0,,,
EVN - Vinh Son,Hydropower,Operating,,Điện,66.0,,,
EVN - Song Hinh,Hydropower,Operating,,Điện,70.0,,,
EVN - Thac Mo,Hydropower,Operating,,Điện,150.0,,,
EVN - A Vuong,Hydropower,Operating,,Điện,210.0,,,
EVN - Song Ba Ha,Hydropower,Operating,,Điện,220.0,,,
EVN - Se San 3A,Hydropower,Operating,,Điện,108.0,,,
EVN - Bac Binh,Hydropower,Operating,,Điện,33.0,,,
EVN - Da Nhim - Song Pha,Hydropower,Operating,,Điện,167.0,,,
EVN - Ham Thuan,Hydropower,Operating,,Điện,300.0,,,
EVN - Da Mi,Hydropower,Operating,,Điện,175.0,,,
EVN - Uong Bi,Coal,Operating,,Điện,105.0,,,
EVN - Uong Bi Extension II,Coal,Operating,,Điện,330.0,,,
EVN - Phai Lai I,Coal,Operating,,Điện,440.0,,,
EVN - Phai Lai II,Coal,Operating,,Điện,600.0,,,
EVN - Ninh Binh,Coal,Operating,,Điện,100.0,,,
EVN - Hai Phong I,Coal,Operating,,Điện,300.0,,,
EVN - Quang Ninh I,Coal,Operating,,Điện,300.0,,,
EVN - Thu Duc,Coal,Operating,,Điện,165.0,,,
EVN - Can Tho,Coal,Operating,,Điện,33.0,,,
EVN - O Mon I,Coal,Operating,,Điện,330.0,,,
EVN - Phu My I,Gas,Operating,,Điện,1090.0,,,
EVN - Phu My II.1,Gas,Operating,,Điện,900.0,,,
EVN - Phu My IV,Gas,Operating,,Điện,450.0,,,
EVN - Thu Duc,Gas,Operating,,Điện,128.0,,,
EVN - Can Tho,Gas,Operating,,Điện,150.0,,,
EVN - Ba Ria,Gas,Operating,,Điện,389.0,,,
EVN - Can Tho,Coal,Operating,,Điện,35.0,,,
EVN - O Mon I,Coal,Operating,,Điện,660.0,,,
EVN - Can Tho,Coal,Operating,,Điện,155.0,,,
