name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí,coal,operational,built,Quảng Ninh,105.0,,,
Uông Bí mở rộng II,coal,operational,built,Quảng Ninh,330.0,,,
Pha Lai I,coal,operational,built,Bắc Giang,440.0,,,
Pha Lai II,coal,operational,built,Bắc Giang,600.0,,,
Ninh Bình,coal,operational,built,Ninh Bình,100.0,,,
Hải Phòng I,coal,operational,built,Hải Phòng,300.0,,,
Quang Ninh I,coal,operational,built,Quảng Ninh,300.0,,,
Na Duong,coal,operational,built,Lạng Sơn,111.0,,,
Cao Nhan,coal,operational,built,Thái Nguyên,115.0,,,
Cam Pha,coal,operational,built,Quảng Ninh,600.0,,,
Son Dong,coal,operational,built,Quảng Ninh,220.0,,,
Formosa,coal,operational,built,Hà Tĩnh,150.0,,,
Quang Ninh 1,coal,operational,built,Quảng Ninh,600.0,,,
Quang Ninh 2,coal,operational,built,Quảng Ninh,600.0,,,
Duyen Hai 1,coal,operational,built,Trà Vinh,1244.0,,,
Duyen Hai 3,coal,operational,built,Trà Vinh,1245.0,,,
Nghi Son 1,coal,operational,built,Thanh Hóa,600.0,,,
Pha Lai 1,coal,operational,built,Bắc Giang,440.0,,,
Pha Lai 2,coal,operational,built,Bắc Giang,600.0,,,
Hải Phong 1,coal,operational,built,Hải Phòng,600.0,,,
Hải Phong 2,coal,operational,built,Hải Phòng,600.0,,,
Ninh Binh,coal,operational,built,Ninh Bình,100.0,,,
Vinh Tan 2,coal,operational,built,Bình Thuận,1244.0,,,
Mong Duong 1,coal,operational,built,Quảng Ninh,1080.0,,,
Thai Bình,coal,operational,built,Thái Bình,600.0,,,
Vinh Tan 4,coal,operational,built,Bình Thuận,1200.0,,,
Uong Bi extension 1,coal,operational,built,Quảng Ninh,300.0,,,
Uong Bi extension 2,coal,operational,built,Quảng Ninh,330.0,,,
Na Dương II,coal,planned,2019,Lạng Sơn,110.0,,,
Cẩm Phả III,coal,planned,2020,Quảng Ninh,440.0,,,
Công Thanh,coal,planned,2020,Thanh Hóa,600.0,,,
Hải Dương,coal,planned,2021,Hải Dương,600.0,,,
Nam Định I,coal,planned,2022,Nam Định,1200.0,,,
Quảng Trạch I,coal,planned,2022,Quảng Bình,1200.0,,,
Vĩnh Tân III,coal,planned,2024,Bình Thuận,660.0,,,
Vân Phong I,coal,planned,2024,Khánh Hòa,660.0,,,
Long Phú I,coal,planned,2019,Sóc Trăng,600.0,,,
Sông Hậu I,coal,planned,2019,Hậu Giang,1200.0,,,
Duyên Hải III mở rộng,coal,planned,2019,Trà Vinh,660.0,,,
Vĩnh Tân IV mở rộng,coal,planned,2019,Bình Thuận,600.0,,,
Vĩnh Tân I,coal,planned,2019,Bình Thuận,1200.0,,,
Thăng Long,coal,planned,2018,Hải Phòng,300.0,,,
An Khánh I,coal,planned,2012,Bắc Giang,100.0,,,
An Khánh II,coal,planned,2017,Bắc Giang,300.0,,,
Vũng Áng I,coal,planned,2013,Hà Tĩnh,1200.0,,,
Quảng Ninh II,coal,planned,2015,Quảng Ninh,600.0,,,
Mông Dương II,coal,planned,2015,Quảng Ninh,1200.0,,,
Lục Nam,coal,planned,2016,Bắc Giang,50.0,,,
Duyên Hải I,coal,planned,2015,Trà Vinh,1200.0,,,
Duyên Hải III,coal,planned,2016,Trà Vinh,1200.0,,,
Mông Dương I,coal,planned,2016,Quảng Ninh,1000.0,,,
Thái Bình I,coal,planned,2017,Thái Bình,600.0,,,
Nghi Sơn II,coal,planned,2022,Thanh Hóa,1200.0,,,
Vũng Áng II,coal,planned,2022,Hà Tĩnh,1200.0,,,
Long Phú II,coal,planned,2022,Sóc Trăng,1200.0,,,
Quỳnh Lập I,coal,planned,2023,Nghệ An,1200.0,,,
Quảng Trị,coal,planned,2024,Quảng Trị,1200.0,,,
Duyên Hải II,coal,planned,2022,Trà Vinh,1200.0,,,
Sông Hậu II,coal,planned,2023,Hậu Giang,2000.0,,,
Vũng Áng III,coal,planned,2025,Hà Tĩnh,1200.0,,,
Long An I,coal,planned,2025,Long An,1200.0,,,
Quảng Trạch II,coal,planned,2023,Quảng Bình,1200.0,,,
Long Phú III,coal,planned,2023,Sóc Trăng,1800.0,,,
Hải Phòng III,coal,planned,2026,Hải Phòng,1200.0,,,
Quỳnh Lập II,coal,planned,2028,Nghệ An,1200.0,,,
Phú Thọ,coal,planned,2024,Phú Thọ,600.0,,,
Kiên Lương II,coal,planned,2024,Kiên Giang,1200.0,,,
Nam Định II,coal,planned,2026,Nam Định,1200.0,,,
Bắc Giang,coal,planned,2026,Bắc Giang,600.0,,,
Than Bình Định I,coal,planned,2026,Bình Định,600.0,,,
Bạc Liêu I,coal,planned,2029,Bạc Liêu,1200.0,,,
Yên Hưng,coal,planned,2029,Quảng Ninh,1200.0,,,
Uông Bí III,coal,planned,2029,Quảng Ninh,1200.0,,,
Sông Hậu III,coal,planned,2029,Hậu Giang,2000.0,,,
Than Bình Định II,coal,planned,2029,Bình Định,2000.0,,,
Than An Giang,coal,planned,2029,An Giang,2000.0,,,
Than miền Bắc 1000MW,coal,planned,2030,,2000.0,,,
Than miền Nam 1000,coal,planned,2030,,5000.0,,,
Phú Mỹ I,Local Gas,Operational,Not specified (EVN 2017 report: operational),Bà Rịa–Vũng Tàu,1108.0,,,
Phú Mỹ II.1,Local Gas,Operational,Not specified (EVN 2017 report: operational),Bà Rịa–Vũng Tàu,896.0,,,
Phú Mỹ IV,Local Gas,Operational,Not specified (EVN 2017 report: operational),Bà Rịa–Vũng Tàu,458.0,,,
Thu Duc,Local Gas,Operational,Not specified (EVN 2017 report: operational),Ho Chi Minh City,114.0,,,
Cần Thơ,Local Gas,Operational,Not specified (GENCO 2 reported capacity 2017),Cần Thơ,150.0,,,
Ô Môn I,Local Gas,Operational,COD 2014 per PDP VII (Ô Môn I #2 330MW),Cần Thơ,660.0,,,
Ô Môn I*,Local Gas,Planned Conversion,2021-2030 (PDP VIII QH),Cần Thơ,660.0,,,
Ô Môn II,Local Gas,Planned,COD 2026 per Report 32; 2021-2030 per PDP VIII,Bạc Liêu / Cần Thơ,1050.0,,,
Ô Môn III,Local Gas,Planned,COD 2025 per Study E-542; 2021-2030 per PDP VIII,Bạc Liêu / Cần Thơ,1050.0,,,
Ô Môn IV,Local Gas,Planned,COD 2023 per Study E-542; 2021-2030 per PDP VIII,Bạc Liêu / Cần Tho,1050.0,,,
Nhơn Trạch 3&4,Local Gas / LNG,Planned,COD 2023-2024 per Report 32; 2021-2030 per PDP VIII,Đồng Nai,1624.0,,,
Kiên Giang I,Local Gas,Planned,COD 2021 per PDP 7A; Khó đáp ứng per Report 32,Kiên Giang,750.0,,,
Kiên Giang II,Local Gas,Planned,COD 2022 per PDP 7A; Sau 2030 per Report 32,Kiên Giang,750.0,,,
Miền Trung I,Local Gas,Planned,COD 2023 per PDP 7A; 2024-2025 per Report 32,Quảng Trị / Quảng Ngãi,750.0,,,
Miền Trung II,Local Gas,Planned,COD 2024 per PDP 7A; 2024-2025 per Report 32,Quảng Trị / Quảng Ngãi,750.0,,,
Dung Quất I,Local Gas,Planned,COD 2023 per PDP 7A; 2024 per Report 32,Quảng Ngãi,750.0,,,
Dung Quất II,Local Gas,Planned,COD 2024 per PDP 7A; 2026 per Report 32,Quảng Ngãi,750.0,,,
Dung Quất III,Local Gas,Planned,COD 2025 per Study E-542; 2024 per Report 32,Quảng Ngãi,750.0,,,
Sơn Mỹ II #1,Local Gas / LNG,Planned,COD 2023 per PDP 7A,Bình Thuận / Ninh Thuận,750.0,,,
Sơn Mỹ II #2,Local Gas / LNG,Planned,COD 2024 per PDP 7A,Bình Thuận / Ninh Thuận,750.0,,,
Sơn Mỹ II #3,Local Gas / LNG,Planned,COD 2025 per PDP 7A,Bình Thuận / Ninh Thuận,750.0,,,
Sơn Mỹ I,Local Gas / LNG,Planned (BOT),COD 2027-2028 per Report 32; 2026 per PDP 7A,Bình Thuận / Ninh Thuận,2250.0,,,
Quảng Trị (TBKHH),Local Gas,Planned,2021-2030 per PDP VIII,Quảng Trị,340.0,,,
LNG Quảng Ninh,LNG,Planned,2021-2030 per PDP VIII,Quảng Ninh,1500.0,,,
LNG Thái Bình,LNG,Planned,2021-2030 per PDP VIII,Thái Bình,1500.0,,,
LNG Nghi Sơn,LNG,Planned,2021-2030 per PDP VIII,Thanh Hóa,1500.0,,,
LNG Quảng Trạch II,LNG,Planned Conversion,2021-2030 per PDP VIII (convert from coal),Quảng Bình,1500.0,,,
LNG Quỳnh Lập / Nghi Sơn,LNG,Planned,2021-2030 per PDP VIII,Nghệ An / Thanh Hóa,1500.0,,,
LNG Hải Lăng giai đoạn 1,LNG,Planned,COD 2026-2027 per Study E-542; 2021-2030 per PDP VIII,Quảng Trị,1500.0,,,
LNG Cà Ná,LNG,Planned,2021-2030 per PDP VIII,Ninh Thuận,1500.0,,,
LNG Long Sơn,LNG,Planned,2031-2035 per PDP VIII,Bà Rịa–Vũng Tàu,1500.0,,,
LNG Hiệp Phước giai đoạn I,LNG,Planned,2021-2030 per PDP VIII,Ho Chi Minh City,1200.0,,,
LNG Long An I,LNG,Planned,2021-2030 per PDP VIII,Long An,1500.0,,,
LNG Long An II,LNG,Planned,2031-2035 per PDP VIII,Long An,1500.0,,,
LNG Bạc Liêu,LNG,Planned,2021-2030 per PDP VIII,Bạc Liêu,3200.0,,,
LNG Formosa Hà Tĩnh #3,4,Local Gas (Lò cao),Operational,COD 2016 per PDP 7A,0.0,,,
LNG Formosa Hà Tĩnh #8,9,Local Gas (Lò cao),Planned,COD 2020 per PDP 7A,0.0,,,
