name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí,Coal,Operating,2011,Quảng Ninh,105.0,,,
Uông Bí mo rong II (Extension 2),Coal,Operating,2011,Quảng Ninh,330.0,,,
Pha Lai I,Coal,Operating,Pre-2011,Hải Dương,440.0,,,
Phả Lại II,Coal,Operating,Pre-2011,Hải Dương,600.0,,,
Ninh Bình,Coal,Operating,Pre-2011,Ninh Bình,100.0,,,
Hai Phòng I,Coal,Operating,Pre-2011,Hải Phòng,600.0,,,
Quang Ninh I,Coal,Operating,Pre-2011,Quảng Ninh,600.0,,,
Na Duong,Coal,Operating,Pre-2011,Lạng Sơn,111.0,,,
Cao Nhan,Coal,Operating,Pre-2011,Hải Phòng,115.0,,,
Cam Pha,Coal,Operating,Pre-2011,Quảng Ninh,600.0,,,
Son Dong,Coal,Operating,Pre-2011,Bắc Giang,220.0,,,
Formosa,Coal,Operating,Pre-2011,Hà Tĩnh,150.0,,,
Cẩm Phả II,Coal,Operating,2011,Quảng Ninh,300.0,,,
Na Dương II,Coal,Building,2021-2030,Lạng Sơn,110.0,,,
Vũng Áng I,Coal,Operating,2012-2013,Hà Tĩnh,1200.0,,,
Mạo Khê,Coal,Operating,2013,Quảng Ninh,440.0,,,
Nghi Sơn I,Coal,Operating,2013-2014,Thanh Hóa,600.0,,,
Duyên Hải I,Coal,Operating,2014-2015,Trà Vinh,1200.0,,,
Vĩnh Tân II,Coal,Operating,2014,Bình Thuận,1200.0,,,
Mông Dương I,Coal,Operating,2016-2017,Quảng Ninh,1000.0,,,
Thái Bình I,Coal,Operating,2017,Thái Bình,600.0,,,
Vĩnh Tân IV,Coal,Operating,2017-2018,Bình Thuận,1200.0,,,
Vĩnh Tân IV Mở rộng,Coal,Operating,2019,Bình Thuận,600.0,,,
Duyên Hải III,Coal,Operating,2016-2017,Trà Vinh,1244.0,,,
Duyên Hải III Mở rộng,Coal,Operating,2019,Trà Vinh,660.0,,,
Vĩnh Tân I,Coal,Operating,2018-2019,Bình Thuận,1200.0,,,
Mông Dương II,Coal,Operating,2015,Quảng Ninh,1200.0,,,
Thăng Long,Coal,Operating,2017-2018,Quảng Ninh,600.0,,,
Vũng Áng II,Coal,Building,2021-2030,Hà Tĩnh,1330.0,,,
Quảng Trạch I,Coal,Building,2021-2030,Quảng Bình,1403.0,,,
Vân Phong I,Coal,Building,2021-2030,Khánh Hòa,1432.0,,,
Long Phú I,Coal,Building/Delayed,2021-2030,Sóc Trăng,1200.0,,,
An Khánh - Bắc Giang,Coal,Building,2021-2030,Bắc Giang,650.0,,,
Thái Bình II,Coal,Building,2021-2022,Thái Bình,1200.0,,,
Nghi Sơn II,Coal,Operating/Building,2021-2022,Thanh Hóa,1200.0,,,
Duyên Hải II,Coal,Operating/Building,2021-2022,Trà Vinh,1200.0,,,
Sông Hậu I,Coal,Operating/Building,2021,Hậu Giang,1200.0,,,
Nam Định I,Coal,Delayed,2021-2030,Nam Định,1200.0,,,
Quảng Trị,Coal,Delayed,2021-2030,Quảng Trị,1320.0,,,
Vĩnh Tân III,Coal,Delayed,2021-2030,Bình Thuận,1980.0,,,
Sông Hậu II,Coal,Delayed,2021-2030,Hậu Giang,2120.0,,,
Quỳnh Lập I,Coal,Planned,2022-2023,Nghệ An,1200.0,,,
Quỳnh Lập II,Coal,Planned,2026-2028,Nghệ An,1200.0,,,
Hải Phòng III,Coal,Planned/Potential,2025-2026,Hải Phòng,1200.0,,,
Quảng Trạch II,Coal,Planned (Converted),2028-2029,Quảng Bình,1200.0,,,
Cẩm Phả III,Coal,Planned,2020,Quảng Ninh,440.0,,,
Công Thanh,Coal,Planned,2021-2024,Thanh Hóa,600.0,,,
Long Phú II,Coal,Planned,2021-2022,Sóc Trăng,1320.0,,,
Long Phú III,Coal,Planned,2021-2022,Sóc Trăng,1800.0,,,
Tân Phước I,Coal,Planned,2027-2028,Tiền Giang,1200.0,,,
Tân Phước II,Coal,Planned,2028-2029,Tiền Giang,1200.0,,,
Bảo Đại,Coal,Potential,After 2030,Quảng Ninh,600.0,,,
Formosa HT2 (Đồng phát),Coal,Planned,2021-2030,Hà Tĩnh,650.0,,,
Nam Định II,Coal,Potential,After 2030,Nam Định,2000.0,,,
Quảng Ninh III,Coal,Potential,2029-2030,Quảng Ninh,1200.0,,,
Phú Mỹ I,Local Natural Gas,Operational,,Bà Rịa - Vũng Tàu,1090.0,,,
Phú Mỹ II.1,Local Natural Gas,Operational,,Bà Rịa - Vũng Tàu,900.0,,,
Phú Mỹ IV,Local Natural Gas,Operational,,Bà Rịa - Vũng Tàu,450.0,,,
Bà Rịa,Local Natural Gas,Operational,,Bà Rịa - Vũng Tàu,389.0,,,
Nhơn Trạch 1,Local Natural Gas,Operational,,Đồng Nai,465.0,,,
Nhơn Trạch 2,Local Natural Gas,Operational,,Đồng Nai,750.0,,,
Cà Mau I,Local Natural Gas,Operational,,Cà Mau,750.0,,,
Cà Mau II,Local Natural Gas,Operational,,Cà Mau,750.0,,,
Phú Mỹ II.2 BOT,Local Natural Gas,Operational,,Bà Rịa - Vũng Tàu,740.0,,,
