merge_method,pool_size,diversity_rule,mean_f1,mean_recall,mean_precision,mean_n_plants,mean_cost_usd,n_pools,notes
union,2,intra_model,0.4357,0.3305,0.6761,84.6,0.1681,14,
union,2,cross_model_low,0.371,0.2556,0.6765,68.0,0.0024,1,
union,2,cross_model_high,0.6417,0.5722,0.7305,141.0,0.7167,1,
union,2,cross_model_mixed,0.5973,0.4944,0.7542,118.0,0.4393,1,
union,3,intra_model,0.4596,0.3909,0.5772,118.8,0.2528,14,
union,3,cross_model_low,0.4133,0.3111,0.6154,91.0,0.0053,1,
union,3,cross_model_high,0.659,0.6333,0.6867,166.0,0.9401,1,
union,3,cross_model_mixed,0.6026,0.5222,0.7121,132.0,0.441,1,
union,4,intra_model,0.4525,0.4234,0.4985,154.5,0.343,14,
union,4,cross_model_low,0.4596,0.4111,0.5211,141.0,0.0125,1,
union,4,cross_model_high,0.598,0.6611,0.5459,215.0,1.0484,1,
union,4,cross_model_mixed,0.5989,0.5889,0.6092,174.0,0.7191,1,
majority_2,2,intra_model,0.2047,0.1325,0.496,26.1,0.1681,14,
majority_2,2,cross_model_low,0.0,0.0,0.0,0.0,0.0024,1,
majority_2,2,cross_model_high,0.3857,0.2389,1.0,43.0,0.7167,1,
majority_2,2,cross_model_mixed,0.0,0.0,0.0,0.0,0.4393,1,
majority_2,3,intra_model,0.2554,0.171,0.616,33.9,0.2528,14,
majority_2,3,cross_model_low,0.0,0.0,0.0,0.0,0.0053,1,
majority_2,3,cross_model_high,0.5306,0.3611,1.0,65.0,0.9401,1,
majority_2,3,cross_model_mixed,0.3099,0.1833,1.0,33.0,0.441,1,
majority_2,4,intra_model,0.3207,0.2226,0.7816,53.1,0.343,14,
majority_2,4,cross_model_low,0.0,0.0,0.0,0.0,0.0125,1,
majority_2,4,cross_model_high,0.5306,0.3611,1.0,65.0,1.0484,1,
majority_2,4,cross_model_mixed,0.4681,0.3056,1.0,55.0,0.7191,1,
majority_3,2,intra_model,0.0,0.0,0.0,0.0,0.1681,14,
majority_3,2,cross_model_low,0.0,0.0,0.0,0.0,0.0024,1,
majority_3,2,cross_model_high,0.0,0.0,0.0,0.0,0.7167,1,
majority_3,2,cross_model_mixed,0.0,0.0,0.0,0.0,0.4393,1,
majority_3,3,intra_model,0.1652,0.1052,0.432,20.6,0.2528,14,
majority_3,3,cross_model_low,0.0,0.0,0.0,0.0,0.0053,1,
majority_3,3,cross_model_high,0.3486,0.2111,1.0,38.0,0.9401,1,
majority_3,3,cross_model_mixed,0.0,0.0,0.0,0.0,0.441,1,
majority_3,4,intra_model,0.1944,0.1258,0.4969,24.6,0.343,14,
majority_3,4,cross_model_low,0.0,0.0,0.0,0.0,0.0125,1,
majority_3,4,cross_model_high,0.3486,0.2111,1.0,38.0,1.0484,1,
majority_3,4,cross_model_mixed,0.2266,0.1278,1.0,23.0,0.7191,1,
confidence_weighted,2,intra_model,0.322,0.2087,0.7648,49.9,0.1681,14,
confidence_weighted,2,cross_model_low,0.2894,0.1889,0.6182,55.0,0.0024,1,
confidence_weighted,2,cross_model_high,0.3178,0.1889,1.0,34.0,0.7167,1,
confidence_weighted,2,cross_model_mixed,0.1127,0.0667,0.3636,33.0,0.4393,1,
confidence_weighted,3,intra_model,0.1753,0.1063,0.5646,20.6,0.2528,14,
confidence_weighted,3,cross_model_low,0.0,0.0,0.0,0.0,0.0053,1,
confidence_weighted,3,cross_model_high,0.341,0.2056,1.0,37.0,0.9401,1,
confidence_weighted,3,cross_model_mixed,0.2353,0.1333,1.0,24.0,0.441,1,
confidence_weighted,4,intra_model,0.2028,0.1226,0.746,25.9,0.343,14,
confidence_weighted,4,cross_model_low,0.0,0.0,0.0,0.0,0.0125,1,
confidence_weighted,4,cross_model_high,0.2609,0.15,1.0,27.0,1.0484,1,
confidence_weighted,4,cross_model_mixed,0.191,0.1056,1.0,19.0,0.7191,1,
