indicator_set,n_dims,tau,n_disqualified,equals_floor,spearman,disqualified_models
coherence_only,3,0.0,4,no,0.7978,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b
coherence_only,3,0.1,4,no,0.7978,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b
coherence_only,3,0.2,4,no,0.7978,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b
coherence_only,3,0.3,4,no,0.7978,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b
discriminating,6,0.0,5,yes,0.7817,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
discriminating,6,0.1,5,yes,0.8001,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
discriminating,6,0.2,5,yes,0.8020,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
discriminating,6,0.3,5,yes,0.7818,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
all_reference_free,12,0.0,5,yes,0.7817,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
all_reference_free,12,0.1,5,yes,0.8001,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
all_reference_free,12,0.2,5,yes,0.8020,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
all_reference_free,12,0.3,5,yes,0.7818,claude-haiku-4.5;gpt-oss-120b;gpt-oss-20b;qwen3.6-35b-a3b;qwen3.6-flash
