arm,model,run,name,clean_name,fuel,status,capacity_mwe,province
arm1,claude-opus-4-6,1,NĐ Tuabin khí Bà Rịa,tuabin khi ba ria,unknown,operational,389.0,ba ria – vung tau
arm1,claude-opus-4-6,2,Công Thanh LNG,cong thanh lng,imported gas,proposed,1500.0,thanh hoa
arm1,claude-opus-4-6,2,Nhơn Trạch 3 & 4,nhon trach 3 & 4,imported gas,operational,1620.0,dong nai
arm1,claude-opus-4-6,3,NMNĐ Công Thanh LNG,cong thanh lng,imported gas,proposed,600.0,thanh hoa
arm1,claude-opus-4-6,3,NMNĐ Kiên Lương,kien luong,coal,cancelled,4400.0,kien giang
arm1,claude-opus-4-6,3,NMNĐ Kiên Giang 1,kien giang 1,unknown,cancelled,750.0,kien giang
arm1,claude-opus-4-6,4,Nhiệt điện Nhơn Trạch 3 & 4,nhon trach 3 & 4,imported gas,operational,1624.0,dong nai
arm1,claude-opus-4-6,4,Nhiệt điện Kiên Giang 1 & 2,kien giang 1 & 2,coal,cancelled,1500.0,kien giang
arm1,claude-opus-4-6,4,Nhiệt điện Cà Mau 1 & 2,ca mau 1 & 2,unknown,operational,1500.0,ca mau
arm1,claude-opus-4-6,4,Điện khí Cà Mau 3 LNG,dien khi ca mau 3 lng,imported gas,cancelled,1500.0,ca mau
arm1,claude-opus-4-6,5,Nhiệt điện Hòa Phát Hải Dương,hoa phat hai duong,coal,operational,120.0,hai duong
arm1,claude-opus-4-6,5,Nhiệt điện Kiên Lương 1,kien luong 1,coal,cancelled,1200.0,kien giang
arm1,claude-opus-4-6,5,Nhiệt điện Công Thanh (LNG),cong thanh,coal,unknown,1500.0,thanh hoa
arm1,claude-opus-4-6,5,Nhiệt điện Cà Mau 1 & 2,ca mau 1 & 2,unknown,operational,1500.0,ca mau
arm1,claude-opus-4-6,5,Dự phòng LNG QH8 (2031–2035),du phong lng qh8,imported gas,proposed,7500.0,various
arm1,claude-opus-4-6,5,Nhiệt điện Nhơn Trạch 3 & 4,nhon trach 3 & 4,imported gas,operational,1624.0,dong nai
arm1,mistral-large-2512,1,Nhiệt điện Kiên Lương,kien luong,coal,cancelled,2400.0,kien giang
arm1,mistral-large-2512,1,Nhiệt điện Duyên Hải 1 (mở rộng),duyen hai 1,coal,operational,622.5,tra vinh
arm1,mistral-large-2512,1,Nhiệt điện Sóc Trăng,soc trang,unknown,proposed,9600.0,soc trang
arm1,mistral-large-2512,1,Nhiệt điện LNG Công Thanh,lng cong thanh,unknown,proposed,1500.0,thanh hoa
arm1,mistral-large-2512,2,Nhiệt điện Na Dương 2 (mở rộng),na duong 2,coal,constructing,300.0,lang son
arm1,mistral-large-2512,2,Nhiệt điện Nhơn Trạch 3 & 4,nhon trach 3 & 4,imported gas,operational,1624.0,dong nai
arm1,mistral-large-2512,2,Điện khí LNG Sơn Mỹ I & II,dien khi lng son my 1 & 2,imported gas,unknown,3000.0,binh thuan
arm1,mistral-large-2512,3,Nhiệt điện Nậm Mu,nam mu,coal,operational,100.0,dien bien
arm1,mistral-large-2512,3,Nhiệt điện Nhơn Trạch 3 & 4,nhon trach 3 & 4,imported gas,operational,1624.0,dong nai
arm1,mistral-large-2512,3,Nhiệt điện LNG Công Thanh,lng cong thanh,imported gas,unknown,1500.0,thanh hoa
arm1,mistral-large-2512,3,Nhiệt điện Sông Hậu 3,song hau 3,coal,cancelled,1200.0,hau giang
arm1,mistral-large-2512,3,Nhiệt điện Khe Bố,khe bo,coal,operational,200.0,nghe an
arm1,mistral-large-2512,3,Nhiệt điện Mông Dương,mong duong,coal,operational,1080.0,quang ninh
arm1,mistral-large-2512,3,Nhiệt điện Duyên Hải 4,duyen hai 4,coal,operational,600.0,tra vinh
arm1,mistral-large-2512,4,Nhà máy điện hạt nhân Ninh Thuận 1,dien hat nhan ninh thuan 1,unknown,unknown,2400.0,ninh thuan
arm1,mistral-large-2512,4,Nhà máy điện hạt nhân Ninh Thuận 2,dien hat nhan ninh thuan 2,unknown,proposed,4000.0,ninh thuan
arm1,mistral-large-2512,4,Nhiệt điện LNG Sóc Trăng,lng soc trang,imported gas,proposed,9600.0,soc trang
arm1,mistral-large-2512,4,Nhiệt điện Duyên Hải 1 & 3,duyen hai 1 & 3,coal,operational,2488.0,tra vinh
arm1,mistral-large-2512,5,Nhiệt điện Nhơn Trạch 3 & 4,nhon trach 3 & 4,imported gas,operational,1600.0,dong nai
arm1,mistral-large-2512,5,Nhiệt điện Sông Hậu 3,song hau 3,coal,cancelled,1200.0,hau giang
arm1,gpt-5.5,1,Nhiệt điện Kiên Lương 2,kien luong 2,coal,cancelled,1200.0,kien giang
arm1,gpt-5.5,1,Nhiệt điện Kiên Lương 1,kien luong 1,coal,cancelled,1200.0,kien giang
arm1,gpt-5.5,1,Nhiệt điện Kiên Lương 3,kien luong 3,coal,cancelled,1200.0,kien giang
arm1,gpt-5.5,1,Nhiệt điện LNG Cà Mau 3,lng ca mau 3,imported gas,proposed,1500.0,ca mau
arm1,gpt-5.5,1,Nhiệt điện khí Bà Rịa,khi ba ria,unknown,operational,389.0,ba ria–vung tau
arm1,gpt-5.5,1,Nhiệt điện Kiên Giang 1,kien giang 1,unknown,proposed,750.0,kien giang
arm1,gpt-5.5,2,Nhà máy điện Kiên Giang 2,dien kien giang 2,unknown,proposed,750.0,kien giang
arm1,gpt-5.5,2,Trung tâm điện lực miền Trung 500 MW,trung tam dien luc mien trung 500 mw,unknown,proposed,500.0,not specified
