reference_name,ref_fuel,ref_status,ref_capacity_mwe,ref_province,n_runs_missed,in_gem,mentioned_in_narrative,bucket,rationale
Bà Rịa GT,gas,6 operating,46,Bà Rịa-Vũng Tàu,5,no,no,,
Dung Quat Special Economic Zone (J-Power) Phase II,coal,1 announced,2000,Quảng Ngãi,5,no,yes,,
Ha Tinh Formosa Plastics Steel Complex,coal,6 operating,900,Hà Tĩnh,5,no,yes,,
Hải Phòng,gas,1 announced,500,Hải Phòng,5,no,yes,,
LNG Cà Ná III,gas,2 proposed,2250,Ninh Thuan,5,no,no,,
LNG Mũi Kê Gà 1,gas,2 proposed,1200,Bình Thuận,5,no,no,,
TBKHH Bà Rịa 1,gas,6 operating,169,Bà Rịa-Vũng Tàu,5,no,no,,
Dong Nai Formosa,coal,6 operating,450,Đồng Nai,5,no,yes,,
Dung Quat Special Economic Zone (J-Power) Phase I,coal,1 announced,2400,Quảng Ngãi,5,no,yes,,
LNG Cà Mau 1,gas,2 proposed,1500,Cà Mau,5,no,no,,
LNG Cà Mau 2,gas,2 proposed,1500,Cà Mau,5,no,no,,
LNG Cà Ná II,gas,2 proposed,2250,Ninh Thuan,5,no,no,,
LNG Hải Lăng 2,gas,2 proposed,2250,Quảng Trị,5,no,no,,
LNG Hải Lăng 3,gas,2 proposed,2250,Quảng Trị,5,no,no,,
LNG Hải Phòng 2 (Cát Hải),gas,2 proposed,1600,Hải Phòng,5,no,no,,
LNG Long An I phase 2,gas,1 announced,1500,Long An,5,no,no,,
LNG Long An II phase 2,gas,1 announced,1500,Long An,5,no,no,,
LNG Long Sơn III,gas,2 proposed,1600,Bà Rịa-Vũng Tàu,5,no,no,,
LNG Long Sơn IV (địa điểm Tây),gas,2 proposed,3600,Bà Rịa-Vũng Tàu,5,no,no,,
LNG Núi Thành (Quảng Nam),gas,2 proposed,3200,Quảng Nam,5,no,no,,
LNG Vân Phong (Mỹ Giang) phase 1,gas,2 proposed,3000,Khánh Hòa,5,no,no,,
Ninh Thuan Novatek project,gas,1 announced,4500,Ninh Thuan,5,no,yes,,
NĐ LNG miền Bắc,gas,0 exploring,0,"Thái Bình, Nam Định, Nghi Sơn, Thanh Hóa",5,no,no,,
NĐ Miền Bắc 1,coal,9 cancelled,0,,5,no,no,,
NĐ Miền Bắc 2,coal,9 cancelled,0,,5,no,no,,
NĐ Miền Bắc 3,coal,9 cancelled,0,,5,no,no,,
Quảng Trạch 2,coal,9 cancelled,1200,Quảng Bình,5,no,no,,
Quảng Trị 2,coal,4 permitted,1200,Quảng Trị,5,no,no,,
Quảng Trị – Huế area,gas,0 exploring,4000,Quảng Trị,5,no,no,,
TBKHH Phú Mỹ 2.1 MR,gas,6 operating,450,Bà Rịa-Vũng Tàu,5,no,no,,
Hai Duong,coal,6 operating,1200,Hai Duong,4,yes,yes,,
LNG Nhơn Trạch 3,gas,5 construction,750,Đồng Nai,4,no,no,,
Lee & Man,coal,6 operating,125,Hau Giang,4,no,no,,
Long Son Chemical,coal,9 cancelled,225,,4,no,yes,,
LNG Mũi Kê Gà 2,gas,1 announced,1200,Bình Thuận,3,no,no,,
NĐ Ô Môn I,gas/oil,6 operating,660,Cần Thơ,3,no,no,,
Cẩm Phả 1,coal,6 operating,340,Quảng Ninh,3,no,no,,
LNG Nhơn Trạch 4,gas,5 construction,750,Đồng Nai,3,no,no,,
LNG miền Nam,gas,0 exploring,1500,"Hiệp Phước 2, Bến Tre, Mũi Kê Gà, Cà Mau,",2,no,no,,
Luc Nam,coal,9 cancelled,50,,2,no,no,,
