name,fuel,status,cod,province,capacity_mwe
Vung Ang 1,Coal,Operational,,Ha Tinh,1200.0
Vung Ang 2,Coal,Under Construction,,Ha Tinh,1330.0
Quang Trach 1,Coal,Under Construction,,Quang Binh,1403.0
Van Phong 1,Coal,Under Construction,,Khanh Hoa,1432.0
Long Phu 1,Coal,Under Construction,,Soc Trang,1200.0
Duyen Hai 3,Coal,Operational,,Tra Vinh,1245.0
Vinh Tan 2,Coal,Operational,,Binh Thuan,1244.0
Mong Duong 1,Coal,Operational,,Quang Ninh,1080.0
Vinh Tan 4,Coal,Operational,,Binh Thuan,1200.0
Thai Binh 2,Coal,Operational,,Thai Binh,1200.0
Nghi Son 2,Coal,Operational,,Thanh Hoa,1200.0
Nhon Trach 1,Local Natural Gas,Operational,,Dong Nai,465.0
Nhon Trach 2,Local Natural Gas,Operational,,Dong Nai,750.0
Ca Mau 1,Local Natural Gas,Operational,,Ca Mau,750.0
Ca Mau 2,Local Natural Gas,Operational,,Ca Mau,750.0
Phu My 1-4 Complex,Local Natural Gas,Operational,,Ba Ria - Vung Tau,0
O Mon 1,Oil/Local Gas (Convertible),Operational,,Can Tho,660.0
O Mon 3 (Proposed),Local Natural Gas (Lo B),Planned,,Can Tho,1050.0
O Mon 4 (Proposed),Local Natural Gas (Lo B),Planned,,Can Tho,1050.0
Mid-Central CCGT 1 (Proposed),Local Natural Gas (Ca Voi Xanh),Planned,,Quang Tri/Quang Ngai,750.0
Mid-Central CCGT 2 (Proposed),Local Natural Gas (Ca Voi Xanh),Planned,,Quang Tri/Quang Ngai,750.0
Son My 1 (Proposed),Imported LNG,Planned,,Binh Thuan,2250.0
Son My 2 (Proposed),Imported LNG,Planned,,Binh Thuan,2250.0
Nhon Trach 3 & 4 (Proposed),Imported LNG,Planned,,Dong Nai,1624.0
Long Son (Proposed),Imported LNG,Planned,,Ba Ria - Vung Tau,1500.0
Bac Lieu (Proposed),Imported LNG,Under Development,,Bac Lieu,3200.0
Long An 1 (Proposed),Imported LNG,Planned,,Long An,1500.0
Long An 2 (Proposed),Imported LNG,Planned,,Long An,1500.0
Hiep Phuoc (Proposed),Imported LNG,Planned,,Ho Chi Minh City,1200.0
LNG Quang Ninh (Proposed),Imported LNG,Planned,,Quang Ninh,1500.0
LNG Thai Binh (Proposed),Imported LNG,Planned,,Thai Binh,1500.0
LNG Quang Tri (Hai Lang) (Proposed),Imported LNG,Planned,,Quang Tri,1500.0
LNG Ca Na (Proposed),Imported LNG,Planned,,Ninh Thuan,1500.0
