name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uong Bi,coal,operating,2011-12-31,Quang Ninh,105.0,,,
Uong Bi Extension 1,coal,operating,2017,Quang Ninh,300.0,,,
Uong Bi Extension 2,coal,operating,2011-12-31,Quang Ninh,330.0,,,
Pha Lai 1,coal,operating,2011-12-31,Hai Duong,440.0,,,
Pha Lai 2,coal,operating,2011-12-31,Hai Duong,600.0,,,
Ninh Binh,coal,operating,2011-12-31,Ninh Binh,100.0,,,
Hai Phong 1,coal,operating,2017,Hai Phong,600.0,,,
Hai Phong 2,coal,operating,2018,Hai Phong,600.0,,,
Quang Ninh 1,coal,operating,2017,Quang Ninh,600.0,,,
Quang Ninh 2,coal,operating,2018,Quang Ninh,600.0,,,
Na Duong,coal,operating,2011-12-31,Lang Son,111.0,,,
Cao Ngan,coal,operating,2011-12-31,Thai Nguyen,115.0,,,
Cam Pha,coal,operating,2011-12-31,Quang Ninh,600.0,,,
Son Dong,coal,operating,2011-12-31,Bac Giang,220.0,,,
Formosa Ha Tinh 1,coal,operating,2011-12-31,Ha Tinh,150.0,,,
Thai Binh 1,coal,operating,2017,Thai Binh,600.0,,,
Thai Binh 2,coal,under_construction_or_delayed,2022,Thai Binh,1200.0,,,
Duyen Hai 1,coal,operating,2017,Tra Vinh,1245.0,,,
Duyen Hai 3,coal,operating,2017,Tra Vinh,1245.0,,,
Duyen Hai 3 Extension,coal,operating,2019,Tra Vinh,660.0,,,
Duyen Hai 2,coal,under_construction_or_delayed,2021-2022,Tra Vinh,1200.0,,,
Nghi Son 1,coal,operating,2017,Thanh Hoa,600.0,,,
Nghi Son 2,coal,under_construction_or_delayed,2022,Thanh Hoa,1200.0,,,
Vinh Tan 2,coal,operating,2017,Binh Thuan,1244.0,,,
Vinh Tan 4,coal,operating,2018,Binh Thuan,1200.0,,,
Vinh Tan 4 Expansion,coal,operating,2019,Binh Thuan,600.0,,,
Vinh Tan 3,coal,delayed,2024-2025,Binh Thuan,1980.0,,,
Mong Duong 1,coal,operating,2018,Quang Ninh,1080.0,,,
Mong Duong 2,coal,operating,2015,Quang Ninh,1200.0,,,
Quang Trach 1,coal,under_construction,2024-2025,Quang Binh,1403.0,,,
Quang Trach 2,coal,planned,2026,Quang Binh,1200.0,,,
Van Phong 1,coal,under_construction,2023-2024,Khanh Hoa,1432.0,,,
Na Duong 2,coal,under_construction_or_delayed,2021-2030,Lang Son,110.0,,,
An Khanh - Bac Giang,coal,under_construction_or_delayed,2021-2030,Bac Giang,650.0,,,
Vung Ang 2,coal,under_construction,2021-2030,Ha Tinh,1330.0,,,
Long Phu 1,coal,under_construction_or_delayed,2021-2030,Soc Trang,1200.0,,,
Nam Dinh 1,coal,delayed,2021-2030,Nam Dinh,1200.0,,,
Quang Tri 1,coal,delayed,2026-2027,Quang Tri,1320.0,,,
Song Hau 2,coal,delayed,2027,Hau Giang,2120.0,,,
Cong Thanh,coal,delayed,2026,Thanh Hoa,600.0,,,
Quynh Lap 1,coal,delayed,2026,Nghe An,1200.0,,,
Hai Phong 3,coal,planned,2028-2029,Hai Phong,1200.0,,,
Cam Pha 3,coal,planned,2020,Quang Ninh,440.0,,,
Long Phu 2,coal,delayed,2029-2030,Soc Trang,1320.0,,,
Long Phu 3,coal,planned,2035,Soc Trang,1800.0,,,
Quynh Lap 2,coal,planned,2027-2028,Nghe An,1200.0,,,
Vung Ang 3,coal,planned,after 2030,Ha Tinh,1200.0,,,
Hai Phong 3 Units 3-4,coal,planned,2025,Hai Phong,1200.0,,,
Rang Dong CHP,coal,planned,2025,Nam Dinh,100.0,,,
Hai Ha 1,coal,operating,2019,Quang Ninh,150.0,,,
Hai Ha 2,coal,planned,2024,Quang Ninh,150.0,,,
Hai Ha 3,coal,planned,2031-2035,Quang Ninh,600.0,,,
Hai Ha 4,coal,planned,2031-2035,Quang Ninh,600.0,,,
Formosa Ha Tinh 2,coal,planned,2021-2030,Ha Tinh,650.0,,,
O Mon 1,local_natural_gas,operating,2018,Can Tho,660.0,,,
Can Tho Gas Turbine,local_natural_gas,operating,2018,Can Tho,155.0,,,
Phu My 1,local_natural_gas,operating,2011-12-31,Ba Ria-Vung Tau,1090.0,,,
Phu My 2.1,local_natural_gas,operating,2011-12-31,Ba Ria-Vung Tau,900.0,,,
Phu My 4,local_natural_gas,operating,2011-12-31,Ba Ria-Vung Tau,450.0,,,
