name,fuel,status,cod,province,capacity_mwe
Sơn La,Hydro,,2012,Son La,2400.0
Hòa Bình,Hydro,,1994,Hoa Binh,1920.0
Tuyên Quang,Hydro,,2008,Tuyen Quang,342.0
IaLy,Hydro,,2009,Gia Lai,720.0
Sê San 3,Hydro,,2006,Gia Lai,260.0
Sê San 4,Hydro,,2009,Gia Lai,360.0
Buôn Tua Srah,Hydro,,2010,Dak Lak,86.0
Buôn Kuôp,Hydro,,2009,Dak Lak,280.0
Srêpôk 3,Hydro,,2009,Dak Lak,220.0
Tri An,Hydro,,1988,Dong Nai,420.0
An Khê,Hydro,,2011,Gia Lai,160.0
Sông Tranh 2,Hydro,,2011,Quang Nam,190.0
Dong Nai 3,Hydro,,2015,Dong Nai,180.0
Thác Bà,Hydro,,1971,Yen Bai,120.0
Vĩnh Sơn,Hydro,,1994,Phu Yen,66.0
Song Hinh,Hydro,,1995,Phu Yen,70.0
Thác Mơ,Hydro,,2005,Binh Phuoc,150.0
A Vương,Hydro,,2008,Quang Nam,210.0
Song Ba Ha,Hydro,,2009,Phu Yen,220.0
Sê San 3A,Hydro,,2010,Gia Lai,108.0
Bắc Bình,Hydro,,2011,Binh Thuan,33.0
Đà Nhim - Sông Pha,Hydro,,1964,Lam Dong,167.0
Hàm Thuận,Hydro,,2001,Binh Thuan,300.0
Đa Mi,Hydro,,2001,Binh Thuan,175.0
Uông Bí,Coal,Operational,1976,Quang Ninh,105.0
Phả Lại I,Coal,Operational,1984,Hung Yen,440.0
Phả Lại II,Coal,Operational,2002,Hung Yen,600.0
Ninh Bình,Coal,Operational,1979,Ninh Binh,100.0
Hải Phòng I,Coal,Operational,1981,Haiphong,300.0
Quảng Ninh I,Coal,Operational,2006,Quang Ninh,300.0
Na Dương,Coal,Operational,2005,Lang Son,111.0
Cao Ngan,Coal,Operational,2006,Thai Nguyen,115.0
Cẩm Phả,Coal,Operational,2011,Quang Ninh,600.0
Sơn Đông,Coal,Operational,2014,Quang Ninh,220.0
Formosa,Coal,Operational,2015,Ha Tinh,150.0
Thủ Đức,Oil,Operational,1966,Ho Chi Minh City,165.0
Cần Thơ,Oil,Operational,1975,Can Tho,33.0
Ô Môn I,Gas,Operational,2009,Can Tho,330.0
Hiệp Phước,Oil,Operational,2001,Ho Chi Minh City,375.0
Bourbon,Oil,Operational,2002,Ho Chi Minh City,24.0
Phú Mỹ I,Gas,Operational,2000,Ba Ria-Vung Tau,1090.0
Phú Mỹ II.1,Gas,Operational,2004,Ba Ria-Vung Tau,900.0
Phú Mỹ IV,Gas,Operational,2004,Ba Ria-Vung Tau,450.0
Bà Rịa,Gas,Operational,2008,Ba Ria-Vung Tau,389.0
Nhơn Trạch I,Gas,Operational,2008,Dong Nai,465.0
Nhơn Trạch II,Gas,Operational,2011,Dong Nai,750.0
Cà Mau I,Gas,Operational,2008,Ca Mau,750.0
Cà Mau II,Gas,Operational,2008,Ca Mau,750.0
Phú Mỹ II.2 BOT,Gas,Operational,2005,Ba Ria-Vung Tau,740.0
Phú Mỹ III BOT,Gas,Operational,2004,Ba Ria-Vung Tau,740.0
Vê Dan,Gas,Operational,2004,Binh Dinh,72.0
Đạm Phú Mỹ,Gas,Operational,2004,Ba Ria-Vung Tau,21.0
EVN's Power Corporations,Diesel,Operational,,,285.0
Amata,Diesel,Operational,1996,Dong Nai,14.0
Uông Bí MR II,Coal,Operational,2011,Quang Ninh,330.0
Na Dương II,Coal,Under Construction,2023,Lang Son,110.0
An Khánh - Bắc Giang,Coal,Under Construction,2023,Bac Giang,650.0
Vũng Áng II,Coal,Under Construction,2024,Ha Tinh,1330.0
Quảng Trạch I,Coal,Under Construction,2024,Quang Binh,1403.0
Vân Phong I,Coal,Under Construction,2023,Khanh Hoa,1432.0
Long Phú I,Coal,Under Construction,2023,Soc Trang,1200.0
Cẩm Thanh,Coal,Delayed,2024,Quang Ninh,600.0
Nam Định I,Coal,Delayed,2024,Nam Dinh,1200.0
Quảng Trị,Coal,Delayed,2026,Quang Tri,1320.0
Vĩnh Tân III,Coal,Delayed,2025,Binh Thuan,1980.0
Sông Hậu II,Coal,Delayed,2027,Hau Giang,2120.0
Hải Phòng III,Coal,Planned,2028,Haiphong,1200.0
Quảng Ninh III,Coal,Planned,2030,Quang Ninh,1200.0
Hải Hà I,Coal,Operational,2019,Quang Ninh,150.0
Hải Hà II,Coal,Operational,2024,Quang Ninh,150.0
Hải Hà III,Coal,Planned,2026,Quang Ninh,600.0
