name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uong Bi,Coal,Operational,1976,Quang Ninh,105.0,,,
Pha Lai I,Coal,Operational,1986,Hai Duong,440.0,,,
Phu My 1,Local Natural Gas,Operational,2000,Ba Ria - Vung Tau,1090.0,,,
Phu My 2.1,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,900.0,,,
Phu My 4,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,450.0,,,
Ba Ria,Local Natural Gas,Operational,2004,Ba Ria - Vung Tau,389.0,,,
Thu Duc (Gas),Local Natural Gas,Operational,1960s,Ho Chi Minh City,128.0,,,
Can Tho (Gas),Local Natural Gas,Operational,2000s,Can Tho,150.0,,,
Phu My 2.2 BOT (Gas),Imported LNG,Operational,2005,Ba Ria - Vung Tau,740.0,,,
Phu My 3 BOT (Gas),Imported LNG,Operational,2004,Ba Ria - Vung Tau,740.0,,,
Nhon Trach 1,Local Natural Gas,Operational,2008,Dong Nai,465.0,,,
Nhon Trach 2,Local Natural Gas,Operational,2011,Dong Nai,750.0,,,
Ca Mau 1,Local Natural Gas,Operational,2007,Ca Mau,750.0,,,
Ca Mau 2,Local Natural Gas,Operational,2008,Ca Mau,750.0,,,
O Mon I,Local Natural Gas,Operational,2013,Can Tho,660.0,,,
Hai Phong I,Coal,Operational,2011,Hai Phong,600.0,,,
Vinh Tan 2,Coal,Operational,2014,Binh Thuan,1244.0,,,
Duyen Hai 1,Coal,Operational,2015,Tra Vinh,1244.0,,,
Mong Duong 1,Coal,Operational,2015,Quang Ninh,1080.0,,,
Vinh Tan 4,Coal,Operational,2018,Binh Thuan,600.0,,,
Thai Binh 1,Coal,Operational,2018,Thai Binh,600.0,,,
Duyen Hai 3,Coal,Operational,2018,Tra Vinh,1245.0,,,
Vinh Tan 4 Extension,Coal,Operational,2019,Binh Thuan,600.0,,,
Duyen Hai 3 Extension,Coal,Operational,2019,Tra Vinh,660.0,,,
Vung Ang 1,Coal,Operational,2015,Ha Tinh,1200.0,,,
Quang Ninh 1,Coal,Operational,2011,Quang Ninh,600.0,,,
