name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí 1,coal,operating,,Hải Phòng,105.0,,,
Uông Bí MR,coal,operating,,Hải Phòng,330.0,,,
Uông Bí Extension 1,coal,operating,,Hải Phòng,300.0,,,
Uông Bí Extension 2,coal,operating,,Hải Phòng,330.0,,,
Quảng Ninh 1,coal,operating,,Quảng Ninh,600.0,,,
Quảng Ninh 2,coal,operating,,Quảng Ninh,600.0,,,
Ninh Bình,coal,operating,,Ninh Bình,100.0,,,
Hai Phòng 1,LNG,operating,,Hải Phòng,300.0,,,
Hai Phòng 2,LNG,operating,,Hải Phòng,300.0,,,
Phả Lại 1,LNG,operating,,Hải Dương,440.0,,,
Phả Lại 2,LNG,operating,,Hải Dương,600.0,,,
Cẩn Thơ,oil,operating,,Cần Thơ,33.0,,,
Thủ Đức,oil,operating,,Thành phố Hồ Chí Minh,165.0,,,
Cà Mau I,LNG,operating,,Cà Mau,750.0,,,
Cà Mau II,LNG,operating,,Cà Mau,750.0,,,
Phú Mỹ 1,LNG,operating,,Bà Rịa–Vũng Tàu,1090.0,,,
Phú Mỹ 2.1,LNG,operating,,Bà Rịa–Vũng Tàu,900.0,,,
Phú Mỹ 4,LNG,operating,,Bà Rịa–Vũng Tàu,450.0,,,
Thu Duc,LNG,operating,,Thành phố Hồ Chí Minh,128.0,,,
Nhơn Trạch 1,LNG,operating,,Đồng Nai,465.0,,,
Nhơn Trạch 2,LNG,operating,,Đồng Nai,750.0,,,
Bà Rịa,LNG,operating,,Bà Rịa–Vũng Tàu,389.0,,,
Can Tho,gas,operating,,Can Tho,150.0,,,
Nam Định 1,LNG,other,,Nam Định,1200.0,,,
Nghi Son 1,LNG,other,,Thanh Hóa,300.0,,,
Hai Phong 3,LNG,other,,Hải Phòng,600.0,,,
Quang Tri 1,LNG,planned,,Quảng Trị,600.0,,,
Vung Ang 2,LNG,planned,,Hà Tĩnh,1000.0,,,
Phu My 3.1,LNG,planned,,Phú Yên,850.0,,,
Bac Lieu,LNG,planned,,Bạc Liêu,1200.0,,,
Long An 1,LNG,planned,,Long An,1500.0,,,
Long An 2,LNG,planned,,Long An,1500.0,,,
