name,fuel,status,cod,province,capacity_mwe
TĐ Sơn La #2,Hydropower,Completed,2011,Sơn La,800.0
TĐ Sơn La #3,Hydropower,Completed,2011,Sơn La,800.0
TĐ Sơn La #4,Hydropower,Completed,2011,Sơn La,800.0
TĐ Nậm Chiến #1,Hydropower,Completed,2011,Lai Châu,100.0
TĐ Na Le #1-2,Hydropower,Completed,2011,Sapa,90.0
TĐ Ngòi Phát,Hydropower,Completed,2011,Lai Châu,72.0
TĐ An Khê,Hydropower,Completed,2011,Gia Lai,173.0
TĐ Sê San 4A,Hydropower,Completed,2011,Đắk Lắk,63.0
TĐ Dak My 4,Hydropower,Completed,2011,Gia Lai,190.0
TĐ Se Kaman 3 (Lào),Hydropower,Completed,2011,Lào,250.0
TĐ Đăk R'tih,Hydropower,Completed,2011,Gia Lai,144.0
TĐ Đồng Nai 3 #2,Hydropower,Completed,2011,Đồng Nai,90.0
TĐ Đồng Nai 4 #1,Hydropower,Completed,2011,Đồng Nai,170.0
NĐ Uông Bí MR #2,Coal,Completed,2011,Quảng Ninh,300.0
ND Cẩm Phả II,Coal,Completed,2011,Quảng Ninh,300.0
TBKHH Nhơn Trạch 2,Gas,Completed,2011,Bà Rịa-Vũng Tàu,750.0
TĐ Sơn La #5-6,Hydropower,Completed,2012,Sơn La,800.0
TĐ Đồng Nai 4 #2,Hydropower,Completed,2012,Đồng Nai,170.0
TĐ Nậm Chiến #2,Hydropower,Completed,2012,Lai Châu,100.0
TĐ Bản Chát #1-2,Hydropower,Completed,2012,Lai Châu,220.0
TĐ Hủa Na #1-2,Hydropower,Completed,2012,Lào,180.0
TĐ Nho Quế 3 #1-2,Hydropower,Completed,2012,Phú Thọ,110.0
TĐ Khe Bố #1-2,Hydropower,Completed,2012,Phú Thọ,100.0
TĐ Bá Thước II #1-2,Hydropower,Completed,2012,Thái Nguyên,80.0
TĐ Đồng Nai 2,Hydropower,Completed,2012,Đồng Nai,70.0
TĐ Đam Bri,Hydropower,Completed,2012,Phú Yên,75.0
