match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy,An Khánh - Bac Giang,An Khanh (Bac Giang),bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,False,True,,
exact_capacity_diff,An Khánh 1,Song Tranh 3,thai nguyen,quang nam,coal,unknown,116.0,0.0,100.0,False,False,False,,
exact_capacity_diff,Bà Rịa GT,Kien Luong cluster,ba ria - vung tau,kien giang,gas,unknown,46.0,0.0,100.0,False,False,False,,
exact_capacity_diff,Bạc Liêu 1,Hau HPP,bac lieu,hau giang,coal,unknown,1200.0,0.0,100.0,False,False,False,,
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,unknown,440.0,600.0,36.4,False,False,True,,
exact_capacity_diff,Cao Ngạn,Pleikrong HPP,thai nguyen,kon tum,coal,unknown,114.0,100.0,12.3,False,False,False,,
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,unknown,600.0,0.0,100.0,False,False,True,,
exact_capacity_diff,Cà Mau I,Thac Ba,ca mau,yen bai,gas,unknown,771.0,112.0,85.5,False,True,False,,
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,
exact_capacity_diff,Cẩm Phả 1,Song Bung 2,quang ninh,quang nam,coal,unknown,340.0,100.0,70.6,False,True,False,,
exact_capacity_diff,Cẩm Phả 2,Cay Chi hydro only,quang ninh,binh phuoc,coal,unknown,340.0,0.0,100.0,False,False,False,,
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 5,đong nai,đong nai,coal,unknown,150.0,145.0,3.3,False,False,True,,
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 4 (single unit),đong nai,đong nai,coal,unknown,300.0,170.0,43.3,False,False,True,,
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Tuyen Quang HPP,lao cai,342,coal,unknown,100.0,0.0,100.0,False,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Hoa Binh HPP,quang ngai,hoa binh,coal,unknown,2000.0,1920.0,4.0,False,False,False,,
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,unknown,1244.0,600.0,51.8,False,True,True,,
exact_capacity_diff,Duyen Hai 2,Thanh Hoa I (Nghi Son II),tra vinh,thanh hoa,coal,unknown,600.0,0.0,100.0,False,False,False,,
