name,fuel,status,cod,province,capacity_mwe
Bourbon,,operational,2010s,Ho Chi Minh City,24.0
Bà Ria,gas,operational,2010s,Ba Ria - Vung Tau,389.0
Cam Pha,coal,operational,2010s,Quang Ninh,600.0
Can Tho,gas,operational,2010s,Can Tho,150.0
Cao Nhan,coal,operational,2010s,Quang Ninh,115.0
Cà Mau I,gas,operational,2010s,Ca Mau,750.0
Cà Mau II,gas,operational,2010s,Ca Mau,750.0
Cần Thơ,,operational,2010s,Can Tho,33.0
Dam Phú Mỹ,gas,operational,2010s,Ba Ria - Vung Tau,21.0
Duyen Hai 1,coal,operational,2010s,Thai Binh,1244.0
Duyen Hai 3,coal,operational,2010s,Thai Binh,1245.0
Formosa,coal,operational,2016,Ha Tinh,150.0
Hai Phong I,coal,operational,2010s,Hai Phong,300.0
Hai Phòng I,coal,operational,Observed,Hai Phòng,300.0
Hiệp Phước,,operational,2010s,Ho Chi Minh City,375.0
LNG Bạc Liêu,imported lng,planned,2030,Bac Lieu,3200.0
LNG Cà Ná,imported lng,planned,2026,Binh Thuan,1500.0
LNG Hải Lăng,imported lng,planned,2027,Quang Tri,1500.0
LNG Long Sơn,imported lng,planned,2035,Ba Ria - Vung Tau,1500.0
LNG Nghi Sơn,imported lng,planned,2030,Thanh Hoa,1500.0
LNG Quảng Ninh,imported lng,planned,2030,Quang Ninh,1500.0
LNG Quảng Trạch II,imported lng,planned,2030,Quang Binh,1500.0
LNG Thái Bình,imported lng,constructing,Planned,Thái Bình,1500.0
Mong Duong 1,coal,operational,2010s,Quang Ninh,1080.0
Na Duong,coal,operational,2010s,Quang Ninh,111.0
Na Dương,coal,operational,Observed,Quảng Ninh,111.0
Nghi Son 1,coal,operational,2010s,Thanh Hoa,600.0
Nhơn Trạch I,gas,operational,2000s,Dong Nai,465.0
Nhơn Trạch II,gas,operational,2000s,Dong Nai,750.0
Ninh Binh,coal,operational,2010s,Ninh Binh,100.0
Ninh Bình,coal,operational,Observed,Ninh Bình,100.0
NMNĐ An Khánh - Bắc Giang,coal,constructing,2030,Bac Giang,650.0
NMNĐ Công Thanh,coal,,2024,Thanh Hoa,600.0
NMNĐ Long Phú I,coal,constructing,2026,Soc Trang,1200.0
NMNĐ Na Dương II,coal,constructing,2023,Quang Ninh,110.0
NMNĐ Nam Định I,coal,,2030,Nam Dinh,1200.0
NMNĐ Quảng Trạch I,coal,constructing,2025,Quang Binh,1403.0
NMNĐ Quảng Trị,coal,,2030,Quang Tri,1320.0
NMNĐ Sông Hậu II,coal,,2030,Hau Giang,2120.0
NMNĐ Vân Phong I,coal,constructing,2030,Khanh Hoa,1432.0
NMNĐ Vĩnh Tân III,coal,,2030,Binh Thuan,1980.0
NMNĐ Vũng Áng II,coal,constructing,2026,Ha Tinh,1330.0
Pha Lai I,coal,operational,1990s,Hai Duong,440.0
Pha Lai II,coal,operational,2000s,Hai Duong,600.0
Phú Mỹ I,gas,operational,2000s,Ba Ria - Vung Tau,1090.0
Phú Mỹ II.1,gas,operational,2000s,Ba Ria - Vung Tau,900.0
Phú Mỹ II.2 BOT,gas,operational,2010s,Ba Ria - Vung Tau,740.0
Phú Mỹ III BOT,gas,operational,2010s,Ba Ria - Vung Tau,740.0
Phú Mỹ IV,gas,operational,2010s,Ba Ria - Vung Tau,450.0
Phả Lại II,coal,operational,Observed,Quảng Ninh,600.0
Quang Ninh 1,coal,operational,2010s,Quang Ninh,600.0
Quang Ninh 2,coal,operational,2010s,Quang Ninh,600.0
Quang Ninh I,coal,operational,2010s,Quang Ninh,300.0
Son Dong,coal,operational,2010s,Quang Ninh,220.0
Thai Binh I,coal,operational,2017,Thai Binh,600.0
Thu Duc,gas,operational,2010s,Ho Chi Minh City,128.0
Thái Bình,imported lng,planned,2030,Thai Binh,4500.0
Thăng Long,coal,operational,Observed,Hà Nội,600.0
Thủ Đức,,operational,1990s,Ho Chi Minh City,165.0
Uong Bi,coal,operational,1990s,Quang Ninh,105.0
Uong Bi Extension 1,coal,operational,2010s,Quang Ninh,300.0
Uong Bi Extension 2,coal,operational,2010s,Quang Ninh,330.0
Uong Bi Mo Rong II,coal,operational,2010s,Quang Ninh,330.0
Uông Bí,coal,operational,Observed,Quảng Ninh,105.0
Uông Bí Mo Rong II,coal,operational,Observed,Quảng Ninh,330.0
Vinh Tan 2,coal,operational,2010s,Binh Thuan,1244.0
Vê Dan,gas,operational,2010s,Ba Ria - Vung Tau,72.0
Vĩnh Tân I,coal,operational,Observed,Bình Thuận,1200.0
Vĩnh Tân II,coal,operational,Observed,Bình Thuận,1200.0
Ô Môn I,,operational,2010s,Can Tho,330.0
Ô Môn III,gas,operational,Observed,Cần Thơ,750.0
Ô Môn IV,gas,operational,Observed,Cần Thơ,750.0
