name,fuel,status,cod,province,capacity_mwe
An Khanh - Bac Giang,coal,constructing,2023,Bac Giang,650.0
An Khánh - Bắc Giang,coal,operational,2023,Bắc Giang,650.0
Ba Ria,gas,operational,2011,Ba Ria - Vung Tau,389.0
Bourbon,oil,operational,2011-12-31,TP.HCM,24.0
Bà Ria,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,389.0
Bạc Liêu,imported lng,planned,2021-2030,Bạc Liêu,3200.0
Ca Mau I,gas,operational,2011,Ca Mau,750.0
Ca Mau II,gas,operational,2011,Ca Mau,750.0
Cam Pha,coal,operational,2011-12-31,Quảng Ninh,600.0
Can Tho,,operational,2011,Can Tho,33.0
Can Tho (Gas),gas,operational,2011-12-31,Cần Thơ,150.0
Cao Nhan,coal,operational,2011-12-31,Quảng Ninh,115.0
Cà Mau 1,gas,operational,2011-12-31,Cà Mau,750.0
Cà Mau 2,gas,operational,2011-12-31,Cà Mau,750.0
Cần Thơ (Oil-fired),oil,operational,2011-12-31,Cần Thơ,35.0
Dam Phu My,gas,operational,2011,Ba Ria - Vung Tau,21.0
Dam Phú Mỹ,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,21.0
Dung Quat I,gas,planned,2030,Quang Ngai,750.0
Dung Quat II,gas,planned,2030,Quang Ngai,750.0
Dung Quat III,gas,planned,2030,Quang Ngai,750.0
Dung Quất I,gas,operational,2024,Quảng Ngãi,750.0
Dung Quất II,gas,operational,2026,Quảng Ngãi,750.0
Dung Quất III,gas,planned,2024,Quảng Ngãi,750.0
Duyen Hai 1,coal,operational,2017,Trà Vinh,1245.0
Duyen Hai 3,coal,operational,2017,Trà Vinh,1245.0
Duyen Hai II,coal,operational,2021,Tra Vinh,1200.0
Duyên Hải III,coal,operational,2016,Trà Vinh,600.0
Duyên Hải III Extension,coal,operational,2019,Trà Vinh,660.0
Formosa Ha Tinh,coal,operational,2011,Ha Tinh,150.0
Formosa Ha Tinh #2,coal,operational,2016,Ha Tinh,150.0
Formosa Ha Tinh #5,coal,operational,2016,Ha Tinh,150.0
Formosa Hà Tĩnh #2,coal,operational,2016,Hà Tĩnh,150.0
Formosa Hà Tĩnh #5,coal,operational,2016,Hà Tĩnh,150.0
Hai Phong 1,coal,operational,2017,Hai Phong,600.0
Hai Phong 2,coal,operational,2017,Hải Phòng,600.0
Hai Phong I,coal,operational,2011,Hai Phong,300.0
Hai Phòng 1,coal,operational,2011-12-31,Hải Phòng,600.0
Hiep Phuoc,,operational,2011,Long An,375.0
Hiệp Phước,oil,operational,2011-12-31,TP.HCM,375.0
Hiệp Phước I,imported lng,planned,2021-2030,TP.HCM,1200.0
Hải Dương 1,coal,operational,2016,Hải Dương,600.0
Hải Dương 2,coal,operational,2017,Hải Dương,600.0
LNG Bac Lieu,imported lng,planned,2030,Bac Lieu,3200.0
LNG Ca Na,imported lng,planned,2030,Ninh Thuan,1500.0
LNG Cà Ná,imported lng,planned,2021-2030,Ninh Thuận,1500.0
LNG Hai Lang,imported lng,planned,2030,Quang Tri,1500.0
LNG Hiep Phuoc I,imported lng,planned,2030,Long An,1200.0
LNG Hải Lăng,imported lng,planned,2021-2030,Quảng Trị,1500.0
LNG Long An I,imported lng,planned,2030,Long An,1500.0
LNG Long An II,imported lng,planned,2035,Long An,1500.0
LNG Long Son,imported lng,planned,2035,Ba Ria - Vung Tau,1500.0
LNG Nghi Son,imported lng,planned,2030,Thanh Hoa,1500.0
LNG Nghi Sơn,imported lng,planned,2021-2030,Thanh Hóa,1500.0
LNG Quang Ninh,imported lng,planned,2030,Quang Ninh,1500.0
LNG Quang Trach II,imported lng,planned,2030,Quang Binh,1500.0
LNG Quảng Ninh,imported lng,planned,2021-2030,Quảng Ninh,1500.0
LNG Quảng Trạch II,imported lng,planned,2021-2030,Quảng Bình,1500.0
LNG Thai Binh,imported lng,planned,2030,Thai Binh,1500.0
LNG Thái Bình,imported lng,planned,2021-2030,Thái Bình,1500.0
Long An I,imported lng,planned,2021-2030,Long An,1500.0
Long An II,imported lng,planned,2031-2035,Long An,1500.0
Long Phu I,coal,constructing,2026,Soc Trang,1200.0
Long Phu II,coal,constructing,2025,Soc Trang,1200.0
Long Phú I,coal,operational,2019,Sóc Trăng,1200.0
Long Phú II,coal,planned,2025,Sóc Trăng,1320.0
Long Phú III,coal,planned,2021,Sóc Trăng,1800.0
Mien Trung I,gas,planned,2030,Quang Tri/Quang Ngai,750.0
Mien Trung II,gas,planned,2030,Quang Tri/Quang Ngai,750.0
Miền Trung I,gas,operational,2024,Quảng Trị,750.0
Miền Trung II,gas,operational,2024,Quảng Trị,750.0
Mong Duong 1,coal,operational,2017,Quảng Ninh,1080.0
Na Duong,coal,operational,2011,Lang Son,111.0
Na Duong II,coal,constructing,2023,Lang Son,110.0
Na Dương,coal,operational,2011-12-31,Lạng Sơn,111.0
Na Dương II,coal,operational,2023,Lạng Sơn,110.0
Nam Dinh I,coal,constructing,2024,Nam Dinh,1200.0
Nam Định I,coal,operational,2024,Nam Định,1200.0
Nghi Son 1,coal,operational,2017,Thanh Hóa,600.0
Nghi Son 2,coal,operational,2021,Thanh Hóa,1200.0
Nghi Son II,coal,constructing,2022,Thanh Hoa,1200.0
Nhon Trach 3 & 4,imported lng,planned,2030,Dong Nai,1624.0
Nhon Trach I,gas,operational,2011,Dong Nai,465.0
Nhon Trach II,gas,operational,2011,Dong Nai,750.0
Nhơn Trạch 1,gas,operational,2011-12-31,Đồng Nai,465.0
Nhơn Trạch 2,gas,operational,2011-12-31,Đồng Nai,750.0
Nhơn Trạch 3 & 4,imported lng,planned,2021-2030,Đồng Nai,1624.0
Ninh Binh,coal,operational,2011,Ninh Binh,100.0
Ninh Bình,coal,operational,2011-12-31,Ninh Bình,100.0
O Mon I,,operational,2011,Can Tho,330.0
O Mon I (Conversion),gas,planned,2030,Can Tho,660.0
O Mon II,gas,planned,2030,Can Tho,1050.0
O Mon III,gas,planned,2030,Can Tho,1050.0
O Mon IV,gas,planned,2030,Can Tho,1050.0
Pha Lai 1,coal,operational,2011-12-31,Hải Dương,440.0
Pha Lai 2,coal,operational,2011-12-31,Hải Dương,600.0
Pha Lai I,coal,operational,2011,Bac Ninh,440.0
Pha Lai II,coal,operational,2011,Bac Ninh,600.0
Phu My I,gas,operational,2011,Ba Ria - Vung Tau,1090.0
Phu My II.1,gas,operational,2011,Ba Ria - Vung Tau,900.0
Phu My II.2 BOT,gas,operational,2011,Ba Ria - Vung Tau,740.0
Phu My III BOT,gas,operational,2011,Ba Ria - Vung Tau,740.0
Phu My IV,gas,operational,2011,Ba Ria - Vung Tau,450.0
Phú Mỹ 1,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,1108.0
Phú Mỹ 2.1,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,896.0
Phú Mỹ 2.2 BOT,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,740.0
Phú Mỹ 3 BOT,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,740.0
Phú Mỹ 4,gas,operational,2011-12-31,Bà Rịa-Vũng Tàu,458.0
Quang Ninh 1,coal,operational,2011-12-31,Quảng Ninh,600.0
Quang Ninh 2,coal,operational,2017,Quảng Ninh,600.0
Quang Ninh I,coal,operational,2011,Quang Ninh,300.0
Quang Ninh II,coal,operational,2018,Quang Ninh,600.0
Quang Trach I,coal,constructing,2024,Quang Binh,1200.0
Quang Tri,gas,planned,2030,Quang Tri,340.0
Quảng Trạch I,coal,operational,2024,Quảng Bình,1200.0
Quảng Trị I,gas,planned,2026,Quảng Trị,340.0
Son Dong,coal,operational,2011-12-31,Quảng Ninh,220.0
Son My I,imported lng,planned,2030,Binh Thuan,2250.0
Son My I BOT,imported lng,planned,2030,Binh Thuan,2250.0
Son My II,imported lng,planned,2030,Binh Thuan,2250.0
Song Hau I,coal,operational,2021,Hau Giang,1200.0
Song Hau II,coal,constructing,2024,Hau Giang,2000.0
Sông Hậu I,coal,operational,2021,Hậu Giang,1200.0
Sông Hậu II,coal,operational,2024,Hậu Giang,2000.0
Sơn Mỹ I,imported lng,planned,2021-2030,Bình Thuận,2250.0
Sơn Mỹ II,imported lng,planned,2021-2030,Bình Thuận,2250.0
Thai Binh,coal,operational,2018,Thái Bình,600.0
Thang Long,coal,operational,2018,Hai Phong,600.0
Thu Duc,,operational,2011,Ho Chi Minh City,165.0
Thu Duc (Gas),gas,operational,2011-12-31,TP.HCM,114.0
Thăng Long 1,coal,operational,2017,Hải Dương,300.0
Thăng Long 2,coal,operational,2019,Hải Dương,300.0
Thủ Đức (Oil-fired),oil,operational,2011-12-31,TP.HCM,165.0
Uong Bi,coal,operational,2011,Quang Ninh,105.0
Uong Bi Extension 1,coal,operational,2017,Quang Ninh,300.0
Uong Bi Extension 2,coal,operational,2017,Quang Ninh,330.0
Uông Bí,coal,operational,2011-12-31,Quảng Ninh,105.0
Uông Bí extension 1,coal,operational,2011-12-31,Quảng Ninh,300.0
Uông Bí extension 2,coal,operational,2011-12-31,Quảng Ninh,330.0
Van Phong I,coal,constructing,2024,Khanh Hoa,1200.0
Ve Dan,gas,operational,2011,Long An,72.0
Vinh Tan 2,coal,operational,2017,Bình Thuận,1244.0
Vinh Tan 4,coal,operational,2018,Bình Thuận,1200.0
Vinh Tan III,coal,constructing,2026,Binh Thuan,1980.0
Vung Ang II,coal,constructing,2026,Ha Tinh,1200.0
Vân Phong I,coal,operational,2023,Khánh Hòa,1320.0
Vê Dan,gas,operational,2011-12-31,Long An,72.0
Vĩnh Tân IV,coal,operational,2017,Bình Thuận,1200.0
Vĩnh Tân IV Extension,coal,operational,2019,Bình Thuận,600.0
Vũng Áng II,coal,operational,2022,Hà Tĩnh,1200.0
Ô Môn 1 (Oil-fired),oil,operational,2011-12-31,Cần Thơ,660.0
Ô Môn III,gas,operational,2020,Cần Thơ,750.0
Ô Môn IV,gas,operational,2023,Cần Thơ,750.0
