name,fuel,status,cod,province,capacity_mwe
Bourbon,oil,operational,,TP Hồ Chí Minh,24.0
Bà Rịa,gas,operational,,Bà Rịa-Vũng Tàu,389.0
Bạc Liêu I,imported lng,planned,,Bạc Liêu,3200.0
Chân Mây,imported lng,planned,,4000,0.0
Cà Mau I,gas,operational,,Cà Mau,750.0
Cà Mau II,gas,operational,,Cà Mau,750.0
Công Thanh,coal,constructing,,Bình Thuận,600.0
Cần Thơ,oil,operational,,Cần Thơ,33.0
Cẩm Phả II,coal,operational,2011-2012,Quảng Ninh,300.0
Cẩm Phả III,coal,planned,,Quảng Ninh,440.0
Dung Quất I,gas,constructing,,Quảng Ngãi,750.0
Dung Quất II,gas,planned,,Quảng Ngãi,750.0
Dung Quất III,gas,constructing,,Quảng Ngãi,750.0
Duyên Hải I,coal,operational,,Trà Vinh,600.0
Duyên Hải II,coal,operational,,Trà Vinh,600.0
Duyên Hải III,coal,operational,,Trà Vinh,600.0
Duyên Hải III Mở rộng,coal,operational,,Trà Vinh,660.0
Formosa Hà Tĩnh I,coal,operational,,Hà Tĩnh,150.0
Formosa Hà Tĩnh II,coal,operational,,Hà Tĩnh,150.0
Hiệp Phước,oil,operational,,TP Hồ Chí Minh,375.0
Hải Dương,coal,operational,2016-2017,Hải Dương,1200.0
Hải Hà I,coal,operational,,Quảng Ninh,150.0
Hải Hà II,coal,operational,,Quảng Ninh,150.0
Hải Hà III,coal,planned,,Quảng Ninh,600.0
Hải Hà IV,coal,planned,,Quảng Ninh,600.0
Hải Lăng,imported lng,planned,,Quảng Trị,1500.0
Hải Phòng I,coal,operational,,Hải Phòng,300.0
Hải Phòng II,coal,operational,,Hải Phòng,600.0
Hải Phòng III,coal,planned,,Hải Phòng,1200.0
Kiên Giang I,gas,planned,,Kiên Giang,750.0
Kiên Giang II,gas,planned,,Kiên Giang,750.0
Long An I,imported lng,planned,,Long An,1500.0
Long An II,imported lng,planned,,Long An,1500.0
Long An III,imported lng,planned,,1200,0.0
Long Phú I,coal,constructing,,Sóc Trăng,1200.0
Long Phú II,coal,planned,,Sóc Trăng,1320.0
Long Phú III,coal,planned,,Sóc Trăng,1800.0
Miền Trung I,gas,constructing,,Quảng Ngãi,750.0
Miền Trung II,gas,constructing,,Quảng Ngãi,750.0
Mông Dương I,coal,operational,,Quảng Ninh,1080.0
Mông Dương II,coal,operational,,Quảng Ninh,1200.0
Na Dương,coal,operational,,Lạng Sơn,111.0
Na Dương II,coal,constructing,,Lạng Sơn,110.0
Nam Định I,coal,constructing,,Nam Định,1200.0
Nam Định II,coal,planned,,Nam Định,1200.0
Nghi Sơn I,coal,operational,,Thanh Hóa,600.0
Nghi Sơn II,coal,constructing,,Thanh Hóa,1200.0
Nhơn Trạch 3&4,gas,constructing,,Đồng Nai,1500.0
Nhơn Trạch I,gas,operational,,Đồng Nai,465.0
Nhơn Trạch II,gas,operational,,Đồng Nai,750.0
Ninh Bình,coal,operational,,Ninh Bình,100.0
Phong Điền,imported lng,planned,,3000,0.0
