match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh 1,Cao Nhan,thai nguyen,quang ninh,coal,coal,116.0,115.0,0.9,True,True,False,,,66.66666666666667
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,,100.0
exact,Cà Mau I,Ca Mau I,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Ca Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact,Duyên Hải 2,Duyen Hai II,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Hải Phòng,Hai Phong I,hai phong,hai phong,gas,coal,500.0,300.0,40.0,False,False,True,,,100.0
exact,LNG Bạc Liêu,LNG Bac Lieu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,100.0
exact,LNG Cà Ná,LNG Ca Na,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy,LNG Hiệp Phước (phase I),LNG Hiep Phuoc I,tp ho chi minh,long an,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,,100.0
exact,LNG Hải Lăng,LNG Hai Lang,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Long An I,LNG Long An I,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhon Trach 3 & 4,đong nai,dong nai,gas,imported gas,750.0,1624.0,116.5,False,False,False,,,100.0
exact,LNG Quảng Ninh 1 (Cẩm Phả),Quang Ninh 1,quang ninh,quang ninh,gas,coal,1500.0,600.0,60.0,False,False,True,,,100.0
