match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
exact,An Khánh - Bac Giang,An Khanh - Bac Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,600.0,36.4,True,False,True,,
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact_capacity_diff,Dong Nai Formosa,Can Tho GT,đong nai,can tho,coal,gas,150.0,150.0,0.0,False,False,False,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,
fuzzy,Formosa HT2,Formosa Ha Tinh 2,ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Hai Phong 2,Hai Phong 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Hai Phong 3,Hai Phong 3,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,
fuzzy,LNG Bạc Liêu,Bac Lieu LNG,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,
fuzzy,LNG Cà Ná,Ca Na LNG,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
fuzzy,LNG Hiệp Phước (phase I),Hiep Phuoc LNG Phase I,tp ho chi minh,tp ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Ha Tinh 1,ha tinh,ha tinh,gas,coal,6000.0,150.0,97.5,False,False,True,,
fuzzy,LNG Hải Lăng,Hai Lang LNG Phase 1,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy,LNG Long An I,Long An I LNG,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
fuzzy,LNG Long An II,Long An II LNG,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy_capacity_diff,LNG Long Sơn,Long Son LNG,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1500.0,25.0,False,False,True,,
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nghi Son LNG,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,False,True,,
exact,LNG Nhơn Trạch 3,Nhon Trach 3,đong nai,dong nai,gas,imported gas,750.0,812.0,8.3,False,True,False,,
exact,LNG Nhơn Trạch 4,Nhon Trach 4,đong nai,dong nai,gas,imported gas,750.0,812.0,8.3,False,True,False,,
fuzzy,LNG Quảng Ninh 1 (Cẩm Phả),Quang Ninh LNG,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy,LNG Quảng Trạch 2,Quang Trach II LNG,quang binh,quang binh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy,LNG Quỳnh Lập,Quynh Lap / Nghi Son LNG,nghe an,nghe an / thanh hoa,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,
fuzzy_capacity_diff,LNG Thái Bình,Thai Binh LNG,thai binh,thai binh,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,False,True,,
exact,Long Phú 2,Long Phu 2,soc trang,soc trang,coal,coal,1320.0,1320.0,0.0,True,False,True,,
exact,Long Phú 3,Long Phu 3,soc trang,soc trang,coal,coal,1800.0,1800.0,0.0,True,False,True,,
exact,Mong Duong 1,Mong Duong 1,quang ninh,quang ninh,coal,coal,1080.0,1080.0,0.0,True,True,True,,
exact,Mong Duong 2,Mong Duong 2,quang ninh,quang ninh,coal,coal,1240.0,1200.0,3.2,True,True,True,,
fuzzy_capacity_diff,Na Dương 1,Na Duong,lang son,lang son,coal,coal,110.0,111.0,0.9,True,True,True,,
exact,Na Dương 2,Na Duong 2,lang son,lang son,coal,coal,110.0,110.0,0.0,True,False,True,,
exact,Nam Dinh 1,Nam Dinh 1,nam dinh,nam dinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,
exact,Nghi Son 1,Nghi Son 1,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Nghi Son 2,Nghi Son 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,False,True,,
exact,Ninh Binh,Ninh Binh,ninh binh,ninh binh,coal,coal,100.0,100.0,0.0,True,False,True,,
exact,Phả Lại 1,Pha Lai 1,hai duong,hai duong,coal,coal,440.0,440.0,0.0,True,True,True,,
exact,Phả Lại 2,Pha Lai 2,hai duong,hai duong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Quang Ninh 1,Quang Ninh 1,quang ninh,quang ninh,gas,coal,600.0,600.0,0.0,False,False,True,,
exact,Quang Ninh 2,Quang Ninh 2,quang ninh,quang ninh,gas,coal,600.0,600.0,0.0,False,False,True,,
exact,Quảng Trạch 1,Quang Trach 1,quang binh,quang binh,coal,coal,1400.0,1403.0,0.2,True,True,True,,
exact,Quảng Trạch 2,Quang Trach 2,quang binh,quang binh,gas,coal,1200.0,1200.0,0.0,False,False,True,,
exact,Quỳnh Lập 1,Quynh Lap 1,nghe an,nghe an,coal,coal,1200.0,1200.0,0.0,True,False,True,,
exact,Quỳnh Lập 2,Quynh Lap 2,nghe an,nghe an,coal,coal,1200.0,1200.0,0.0,True,False,True,,
exact,Son Dong,Son Dong,bac giang,bac giang,coal,coal,220.0,220.0,0.0,True,True,True,,
exact,Sông Hậu 2,Song Hau 2,hau giang,hau giang,coal,coal,2000.0,2120.0,6.0,True,False,True,,
fuzzy_capacity_diff,TBKHH Bà Rịa 2,Ba Ria,ba ria - vung tau,ba ria - vung tau,gas,gas,175.0,389.0,122.3,True,False,True,,
exact,TBKHH Dung Quất I,Dung Quat 1,quang ngai,quang ngai,gas,gas,750.0,750.0,0.0,True,False,True,,
exact,TBKHH Dung Quất II,Dung Quat 2,quang ngai,quang ngai,gas,gas,750.0,750.0,0.0,True,False,True,,
exact,TBKHH Dung Quất III,Dung Quat 3,quang ngai,quang ngai,gas,gas,750.0,750.0,0.0,True,True,True,,
exact,TBKHH Nhơn Trạch I,Nhon Trach 1,đong nai,dong nai,gas,gas,465.0,465.0,0.0,True,True,False,,
exact,TBKHH Nhơn Trạch II,Nhon Trach 2,đong nai,dong nai,gas,gas,750.0,750.0,0.0,True,True,False,,
exact,TBKHH Phú Mỹ 1,Phu My 1,ba ria - vung tau,ba ria - vung tau,gas,gas,1140.0,1108.0,2.8,True,True,True,,
exact,TBKHH Phú Mỹ 2.1,Phu My 2.1,ba ria - vung tau,ba ria - vung tau,gas,gas,499.0,945.0,89.4,True,True,True,,
exact,TBKHH Phú Mỹ 4,Phu My 4,ba ria - vung tau,ba ria - vung tau,gas,gas,468.0,477.0,1.9,True,True,True,,
exact,TBKHH miền Trung I,Mien Trung 1,quang nam,quang ngai or quang tri,gas,gas,750.0,750.0,0.0,True,False,False,,
exact,TBKHH miền Trung II,Mien Trung 2,quang nam,quang ngai or quang tri,gas,gas,750.0,750.0,0.0,True,False,False,,
exact,TBKHH Ô Môn I,O Mon 1,can tho,can tho,gas,oil,660.0,660.0,0.0,False,False,True,,
exact,TBKHH Ô Môn II,O Mon 2,can tho,can tho,gas,gas,1050.0,1050.0,0.0,True,True,True,,
exact,TBKHH Ô Môn III,O Mon 3,can tho,can tho,gas,gas,1050.0,1050.0,0.0,True,False,True,,
exact,TBKHH Ô Môn IV,O Mon 4,can tho,can tho,gas,gas,1050.0,1050.0,0.0,True,False,True,,
exact,Thái Bình 1,Thai Binh 1,thai binh,thai binh,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Thái Bình 2,Thai Binh 2,thai binh,thai binh,coal,coal,1200.0,1200.0,0.0,True,False,True,,
fuzzy,Uong Bi I,Uong Bi,quang ninh,quang ninh,coal,coal,105.0,105.0,0.0,True,False,True,,
fuzzy,Uong Bi I extension,Uong Bi Extension 1,quang ninh,quang ninh,coal,coal,300.0,300.0,0.0,True,True,True,,
fuzzy,Uong Bi II extension,Uong Bi Extension 2,quang ninh,quang ninh,coal,coal,330.0,330.0,0.0,True,True,True,,
exact,Vinh Tan 2,Vinh Tan 2,binh thuan,binh thuan,coal,coal,1244.0,1244.0,0.0,True,True,True,,
exact,Vinh Tan 3,Vinh Tan 3,binh thuan,binh thuan,coal,coal,1980.0,1980.0,0.0,True,False,True,,
exact,Vinh Tan 4,Vinh Tan 4,binh thuan,binh thuan,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Vung Ang 2,Vung Ang 2,ha tinh,ha tinh,coal,coal,1330.0,1330.0,0.0,True,False,True,,
exact,Vân Phong 1,Van Phong 1,khanh hoa,khanh hoa,coal,coal,1432.0,1432.0,0.0,True,False,True,,
reference_only,An Khánh 1,,thai nguyen,,coal,,116.0,,,,,,,
reference_only,Bà Rịa GT,,ba ria - vung tau,,gas,,46.0,,,,,,,
reference_only,Bạc Liêu 1,,bac lieu,,coal,,1200.0,,,,,,,
reference_only,Cẩm Phả 1,,quang ninh,,coal,,340.0,,,,,,,
reference_only,Cẩm Phả 2,,quang ninh,,coal,,340.0,,,,,,,
reference_only,Dong Nai Formosa,,đong nai,,coal,,300.0,,,,,,,
reference_only,Duc Giang - Lao Cai Chemical,,lao cai,,coal,,100.0,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase I,,quang ngai,,coal,,2400.0,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase II,,quang ngai,,coal,,2000.0,,,,,,,
reference_only,Duyen Hai 2,,tra vinh,,coal,,600.0,,,,,,,
reference_only,Duyên Hải 2,,tra vinh,,coal,,1200.0,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,
reference_only,Hai Duong,,hai duong,,coal,,1200.0,,,,,,,
reference_only,Hai Ha CHP Phase 1,,quang ninh,,coal,,150.0,,,,,,,
reference_only,Hai Ha CHP Phase 2,,quang ninh,,coal,,750.0,,,,,,,
reference_only,Hai Ha CHP Phase 3,,quang ninh,,coal,,600.0,,,,,,,
reference_only,Hai Ha CHP Phase 4,,quang ninh,,coal,,600.0,,,,,,,
reference_only,Hải Phòng,,hai phong,,gas,,500.0,,,,,,,
reference_only,LNG Bà Rịa 2,,ba ria - vung tau,,gas,,1200.0,,,,,,,
reference_only,LNG Bình Định,,binh đinh,,gas,,5000.0,,,,,,,
reference_only,LNG Bến Tre,,ben tre,,gas,,3000.0,,,,,,,
reference_only,LNG Chân Mây,,hue,,gas,,4000.0,,,,,,,
reference_only,LNG Cà Mau 1,,ca mau,,gas,,1500.0,,,,,,,
reference_only,"LNG Cà Mau 2,3",,ca mau,,gas,,3000.0,,,,,,,
reference_only,LNG Cà Ná II+III,,ninh thuan,,gas,,4500.0,,,,,,,
reference_only,LNG Cái Mép Hạ,,ba ria - vung tau,,gas,,6000.0,,,,,,,
reference_only,LNG Hiệp Phước (phase II),,tp ho chi minh,,gas,,1500.0,,,,,,,
reference_only,LNG Hải Lăng (2 and 3),,quang tri,,gas,,4500.0,,,,,,,
reference_only,LNG Hải Phòng 1 (Tiên Lãng),,hai phong,,coal,,4500.0,,,,,,,
reference_only,LNG Hải Phòng 2 (Cát Hải),,hai phong,,coal,,1600.0,,,,,,,
reference_only,LNG Hải Phòng 3 (Cát Hải),,hai phong,,coal,,4500.0,,,,,,,
reference_only,LNG Hải Phòng 4 (Đồ Sơn),,hai phong,,gas,,4500.0,,,,,,,
reference_only,LNG Long An I phase 2,,long an,,gas,,1500.0,,,,,,,
reference_only,LNG Long An II phase 2,,long an,,gas,,1500.0,,,,,,,
reference_only,LNG Long Sơn II+III,,ba ria - vung tau,,gas,,3200.0,,,,,,,
reference_only,LNG Long Sơn IV (địa điểm Tây),,ba ria - vung tau,,gas,,3600.0,,,,,,,
reference_only,LNG Mũi Kê Gà 1,,binh thuan,,gas,,1200.0,,,,,,,
reference_only,"LNG Mũi Kê Gà 2,3",,binh thuan,,gas,,2400.0,,,,,,,
reference_only,LNG Mỹ Giang,,khanh hoa,,gas,,6000.0,,,,,,,
reference_only,LNG Núi Thành (Quảng Nam),,quang nam,,gas,,3200.0,,,,,,,
reference_only,LNG Phong Điền – Huế,,hue,,gas,,3000.0,,,,,,,
