match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
exact,An Khánh - Bac Giang,An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,
fuzzy_capacity_diff,An Khánh 1,An Khanh - Bac Giang,thai nguyen,bac giang,coal,coal,116.0,650.0,460.3,True,False,False,,
exact_capacity_diff,Bà Rịa GT,Can Tho (S4),ba ria - vung tau,can tho,gas,unknown,46.0,33.0,28.3,False,True,False,,
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu LNG,bac lieu,bac lieu,coal,imported gas,1200.0,3200.0,166.7,False,False,True,,
exact,Cam Pha 3,Cam Pha 3,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,
exact,Cao Ngạn,Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,
exact,Cong Thanh,Cong Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,
fuzzy_capacity_diff,Cẩm Phả 1,Cam Pha,quang ninh,quang ninh,coal,coal,340.0,600.0,76.5,True,True,True,,
fuzzy_capacity_diff,Cẩm Phả 2,Cẩm Phả,quang ninh,quang ninh,coal,coal,340.0,600.0,76.5,True,True,True,,
exact_capacity_diff,Dong Nai Formosa,Cần Thơ GT,đong nai,can tho,coal,gas,150.0,150.0,0.0,False,False,False,,
exact_capacity_diff,Dong Nai Formosa,Uông Bí Extension 1,đong nai,quang ninh,coal,coal,300.0,300.0,0.0,True,False,False,,
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Đức Giang cogeneration,lao cai,hai phong,coal,coal,100.0,100.0,0.0,True,False,False,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Dung Quat 3,quang ngai,quang ngai,coal,gas,2400.0,750.0,68.8,False,False,True,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Dung Quat 1,quang ngai,quang ngai,coal,gas,2000.0,750.0,62.5,False,False,True,,
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,
fuzzy_capacity_diff,Duyen Hai 2,Duyen Hai 1,tra vinh,tra vinh,coal,coal,600.0,1245.0,107.5,True,True,True,,
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,
fuzzy,Formosa HT2,Formosa Hà Tĩnh 2,ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,LNG Hà Tĩnh,ha tinh,ha tinh,coal,imported gas,450.0,6000.0,1233.3,False,False,True,,
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Phú Mỹ IV,ha tinh,ba ria - vung tau,coal,gas,450.0,450.0,0.0,False,False,False,,
exact,Hai Duong,Hai Duong,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,
fuzzy,Hai Ha CHP Phase 1,Hai Ha 1,quang ninh,quang ninh,coal,coal,150.0,150.0,0.0,True,False,True,,
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà 2,quang ninh,quang ninh,coal,coal,750.0,600.0,20.0,True,False,True,,
fuzzy,Hai Ha CHP Phase 3,Hai Ha 4,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,
fuzzy,Hai Ha CHP Phase 4,Hai Ha 3,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,
exact,Hai Phong 1,Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Hai Phong 2,Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,
exact,Hai Phong 3,Hai Phong 3,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,
fuzzy_capacity_diff,Hải Phòng,Hai Phong 1,hai phong,hai phong,gas,coal,500.0,600.0,20.0,False,False,True,,
exact,LNG Bà Rịa 2,LNG Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,
exact,LNG Bình Định,LNG Bình Định,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,False,True,,
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,
exact,LNG Bến Tre,LNG Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,
exact,LNG Chân Mây,LNG Chân Mây,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,False,False,,
exact,LNG Cà Mau 1,Cà Mau I,ca mau,ca mau,gas,gas,1500.0,750.0,50.0,True,True,True,,
fuzzy_capacity_diff,"LNG Cà Mau 2,3",Ca Mau 2,ca mau,ca mau,gas,gas,3000.0,750.0,75.0,True,False,True,,
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
exact,LNG Cà Ná II+III,LNG Cà Ná II+III,ninh thuan,ninh thuan,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép H,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,False,True,,
fuzzy,LNG Hiệp Phước (phase I),LNG Hiệp Phước giai đoạn I,tp ho chi minh,tp. ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,
fuzzy_capacity_diff,LNG Hiệp Phước (phase II),Hiep Phuoc LNG Phase I,tp ho chi minh,tp ho chi minh,gas,imported gas,1500.0,1200.0,20.0,False,False,True,,
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Ha Tinh 2,ha tinh,ha tinh,gas,coal,6000.0,650.0,89.2,False,False,True,,
fuzzy,LNG Hải Lăng,LNG Hải Lăng giai đoạn 1,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy_capacity_diff,LNG Hải Lăng (2 and 3),Hai Lang LNG Phase 1,quang tri,quang tri,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,
exact,LNG Hải Phòng 1 (Tiên Lãng),LNG Hải Phòng 1,hai phong,hai phong,coal,coal,4500.0,4500.0,0.0,True,True,True,,
exact,LNG Hải Phòng 2 (Cát Hải),Hai Phong 2,hai phong,hai phong,coal,coal,1600.0,600.0,62.5,True,True,True,,
fuzzy_capacity_diff,LNG Hải Phòng 3 (Cát Hải),LNG Hải Phòng 2+3,hai phong,hai phong,coal,imported gas,4500.0,6100.0,35.6,False,False,True,,
exact,LNG Hải Phòng 4 (Đồ Sơn),LNG Hải Phòng 4,hai phong,hai phong,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,
fuzzy,LNG Long An I,Long An I LNG,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
exact_capacity_diff,LNG Long An I phase 2,Chan May LNG,long an,thua thien hue,gas,unknown,1500.0,1500.0,0.0,False,False,False,,
exact,LNG Long An II,LNG Long An II,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,
fuzzy_capacity_diff,LNG Long An II phase 2,LNG Long An,long an,long an,gas,imported gas,1500.0,6000.0,300.0,False,False,True,,
exact,LNG Long Sơn,LNG Long Sơn,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1500.0,25.0,False,True,True,,
exact,LNG Long Sơn II+III,LNG Long Sơn II+III,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,
exact,LNG Long Sơn IV (địa điểm Tây),LNG Long Sơn IV,ba ria - vung tau,ba ria - vung tau,gas,imported gas,3600.0,3600.0,0.0,False,False,True,,
exact_capacity_diff,LNG Mũi Kê Gà 1,Long Son I LNG,binh thuan,ba ria - vung tau,gas,unknown,1200.0,1200.0,0.0,False,False,False,,
fuzzy_capacity_diff,"LNG Mũi Kê Gà 2,3",LNG Mũi Kê Gà,binh thuan,binh thuan,gas,imported gas,2400.0,3600.0,50.0,False,False,True,,
exact,LNG Mỹ Giang,LNG Mỹ Giang,khanh hoa,khanh hoa,gas,imported gas,6000.0,6000.0,0.0,False,False,True,,
exact,LNG Nghi Sơn (Thanh Hóa),LNG Nghi Sơn,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,False,True,,
exact,LNG Nhơn Trạch 3,Nhon Trach 3,đong nai,dong nai,gas,imported gas,750.0,812.0,8.3,False,True,False,,
exact,LNG Nhơn Trạch 4,Nhon Trach 4,đong nai,dong nai,gas,imported gas,750.0,812.0,8.3,False,True,False,,
exact_capacity_diff,LNG Núi Thành (Quảng Nam),Long Son II-III LNG,quang nam,ba ria - vung tau,gas,unknown,3200.0,3200.0,0.0,False,False,False,,
fuzzy,LNG Phong Điền – Huế,LNG Phong Điền,hue,thua thien hue,gas,imported gas,3000.0,3000.0,0.0,False,False,False,,
exact,LNG Phú Mỹ 3.1,Phú Mỹ 3.1,ba ria - vung tau,ba ria - vung tau,gas,imported gas,850.0,850.0,0.0,False,False,True,,
exact,LNG Quảng Bình,LNG Quảng Bình,quang binh,quang binh,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,
exact,LNG Quảng Nam,LNG Quảng Nam,quang nam,quang nam,gas,imported gas,4000.0,4000.0,0.0,False,False,True,,
exact,LNG Quảng Ninh 1 (Cẩm Phả),LNG Quảng Ninh 1,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
exact,LNG Quảng Ninh 2 (Cẩm Phả),LNG Quảng Ninh 2,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
exact,LNG Quảng Ninh 3 (Quảng Yên),LNG Quảng Ninh 3,quang ninh,quang ninh,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,
exact,LNG Quảng Ninh 4 (Hải Hà),LNG Quảng Ninh 4,quang ninh,quang ninh,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,
exact,LNG Quảng Trạch 2,LNG Quảng Trạch II,quang binh,quang binh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
fuzzy,LNG Quỳnh Lập,Quynh Lap / Nghi Son LNG,nghe an,nghe an / thanh hoa,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,
exact,LNG Sông Đốc (Cà Mau),LNG Sông Đốc,ca mau,ca mau,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,
exact,LNG Sơn Mỹ I,Son My 1,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,False,True,,
exact,LNG Sơn Mỹ II,Sơn Mỹ II,binh thuan,binh thuan,gas,imported gas,2250.0,2250.0,0.0,False,False,True,,
exact,LNG Thái Bình,LNG Thái Bình,thai binh,thai binh,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,
fuzzy,LNG Tân Phước,LNG Tân Phúc,tien giang,unknown,gas,imported gas,4500.0,4500.0,0.0,False,False,False,,
