match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,An Khánh (Bắc Giang),bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact,An Khánh 1,An Khánh I,thai nguyen,bac giang,coal,coal,116.0,100.0,13.8,True,True,False,,,100.0
exact_capacity_diff,Bà Rịa GT,Cần Thơ,ba ria - vung tau,can tho,gas,oil,46.0,33.0,28.3,False,True,False,,,54.54545454545454
fuzzy,Bạc Liêu 1,Bạc Liêu II,bac lieu,bac lieu,coal,imported gas,1200.0,1200.0,0.0,False,False,True,,,94.73684210526316
exact,Cam Pha 3,Cẩm Phả III,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Cao Nhan,thai nguyen,lang son,coal,coal,114.0,115.0,0.9,True,True,False,,,87.5
exact,Cong Thanh,Công Thanh,thanh hoa,binh thuan,coal,coal,600.0,600.0,0.0,True,False,False,,,100.0
exact,Cà Mau I,Cà Mau I,ca mau,3000,gas,imported gas,771.0,750.0,2.7,False,False,False,,,100.0
exact,Cà Mau II,Cà Mau II,ca mau,1500,gas,imported gas,771.0,750.0,2.7,False,False,False,,,100.0
exact,Cẩm Phả 1,Cẩm Phả I,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact,Cẩm Phả 2,Cẩm Phả II,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Formosa Hà Tĩnh V,đong nai,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,60.86956521739131
exact_capacity_diff,Dong Nai Formosa,Đồng Phát Hải Hà 1,đong nai,quang ninh,coal,coal,300.0,300.0,0.0,True,False,False,,,50.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Đồng Phát Rạng Đông,lao cai,nam đinh,coal,coal,100.0,100.0,0.0,True,False,False,,,36.8421052631579
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,TBKHH Dung Quất III,quang ngai,quang ngai,coal,gas,2400.0,750.0,68.8,False,False,True,,,95.23809523809523
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,TBKHH Dung Quất I,quang ngai,quang ngai,coal,gas,2000.0,750.0,62.5,False,False,True,,,95.23809523809523
exact,Duyen Hai 1,Duyên Hải I,tra vinh,tra vinh,coal,coal,1244.0,600.0,51.8,True,True,True,,,100.0
exact,Duyen Hai 2,Duyên Hải II,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Duyen Hai 3,Duyên Hải III,tra vinh,tra vinh,coal,coal,1244.0,600.0,51.8,True,True,True,,,100.0
exact,Duyen Hai 3 Extension,Duyên Hải III Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,True,True,,,100.0
fuzzy,Duyên Hải 2,Duyên Hải II 1-2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Formosa HT2,Formosa Hà Tĩnh #6-7,ha tinh,ha tinh,coal,coal,650.0,300.0,53.8,True,False,True,,,90.0
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh II (Formosa),ha tinh,ha tinh,coal,coal,450.0,150.0,66.7,True,False,True,,,94.11764705882352
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh I (Formosa),ha tinh,ha tinh,coal,coal,450.0,150.0,66.7,True,False,True,,,94.11764705882352
exact,Hai Duong,Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Hai Ha CHP Phase 1,Hải Hà II,quang ninh,quang ninh,coal,coal,150.0,150.0,0.0,True,False,True,,,93.33333333333333
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà IV,quang ninh,quang ninh,coal,coal,750.0,600.0,20.0,True,False,True,,,93.33333333333333
fuzzy,Hai Ha CHP Phase 3,Hải Hà III,quang ninh,quang ninh,coal,coal,600.0,600.0,0.0,True,False,True,,,93.33333333333333
fuzzy_capacity_diff,Hai Ha CHP Phase 4,Hải Hà I,quang ninh,quang ninh,coal,coal,600.0,150.0,75.0,True,False,True,,,93.33333333333333
exact,Hai Phong 1,Hải Phòng I,hai phong,hai phong,coal,coal,600.0,300.0,50.0,True,True,True,,,100.0
exact,Hai Phong 2,Hải Phòng II,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact,Hai Phong 3,Hải Phòng III,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact,Hải Phòng,LNG Hải Phòng,hai phong,hai phong,gas,imported gas,500.0,1500.0,200.0,False,False,True,,,100.0
exact_capacity_diff,LNG Bà Rịa 2,Kiên Lương I,ba ria - vung tau,kien giang,gas,coal,1200.0,1200.0,0.0,False,False,False,,,30.76923076923077
fuzzy_capacity_diff,LNG Bình Định,Bình Định I,binh đinh,1200,gas,coal,5000.0,0.0,100.0,False,False,False,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,,100.0
exact,LNG Bến Tre,LNG Bến Tre,ben tre,3000,gas,imported gas,3000.0,3000.0,0.0,False,False,False,,,100.0
exact,LNG Chân Mây,Chân Mây,hue,4000,gas,imported gas,4000.0,0.0,100.0,False,False,False,,,100.0
exact,LNG Cà Mau 1,Cà Mau 1,ca mau,3000,gas,imported gas,1500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,"LNG Cà Mau 2,3",Cà Mau 3,ca mau,1500,gas,imported gas,3000.0,0.0,100.0,False,False,False,,,93.33333333333333
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Cà Ná II+III,Cà Ná I,ninh thuan,ninh thuan,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,,92.3076923076923
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép,ba ria - vung tau,6000,gas,imported gas,6000.0,6000.0,0.0,False,False,False,,,100.0
exact,LNG Hiệp Phước (phase I),Hiệp Phước (LNG),tp ho chi minh,tp ho chi minh,gas,oil,1200.0,1200.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Hiệp Phước (phase II),LNG Nghi Sơn,tp ho chi minh,thanh hoa,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,46.15384615384615
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Hà Tĩnh #2 (LNG),ha tinh,ha tinh,gas,coal,6000.0,650.0,89.2,False,False,True,,,100.0
exact,LNG Hải Lăng,Hải Lăng,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Hải Lăng (2 and 3),Cà Ná II-III,quang tri,ninh thuan,gas,imported gas,4500.0,4500.0,0.0,False,False,False,,,50.0
fuzzy_capacity_diff,LNG Hải Phòng 1 (Tiên Lãng),Hải Phòng (LNG),hai phong,hai phong,coal,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Hải Phòng III #1-4,hai phong,hai phong,coal,coal,1600.0,1200.0,25.0,True,False,True,,,95.23809523809523
exact_capacity_diff,LNG Hải Phòng 3 (Cát Hải),Kiên Lương III,hai phong,kien giang,coal,coal,4500.0,2000.0,55.6,True,False,False,,,63.63636363636363
exact_capacity_diff,LNG Hải Phòng 4 (Đồ Sơn),Hải Hà 1-4,hai phong,quang ninh,gas,unknown,4500.0,2100.0,53.3,False,False,False,,,62.5
exact,LNG Long An I,Long An I,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
exact_capacity_diff,LNG Long An I phase 2,LNG Vũng Áng,long an,ha tinh,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,66.66666666666667
exact,LNG Long An II,Long An II,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,100.0
fuzzy,LNG Long An II phase 2,LNG Long An,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Long Sơn,LNG Long Sơn,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,True,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn II+III,Long Sơn II,ba ria - vung tau,1600,gas,imported gas,3200.0,0.0,100.0,False,False,False,,,100.0
exact,LNG Long Sơn IV (địa điểm Tây),Long Sơn IV,ba ria - vung tau,3600,gas,imported gas,3600.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Mũi Kê Gà 1,Kê Gà,binh thuan,3600,gas,imported gas,1200.0,0.0,100.0,False,False,False,,,100.0
exact_capacity_diff,"LNG Mũi Kê Gà 2,3",TBKHH Sơn Mỹ II,binh thuan,binh thuan,gas,gas,2400.0,2250.0,6.2,True,False,True,,,40.0
exact,LNG Mỹ Giang,Mỹ Giang,khanh hoa,6000,gas,imported gas,6000.0,0.0,100.0,False,False,False,,,100.0
exact,LNG Nghi Sơn (Thanh Hóa),Nghi Sơn (LNG),thanh hoa,thanh hoa,gas,imported gas,5000.0,5000.0,0.0,False,False,True,,,100.0
exact,LNG Nhơn Trạch 3,Nhơn Trạch III,đong nai,đong nai,gas,gas,750.0,750.0,0.0,True,True,True,,,100.0
exact,LNG Nhơn Trạch 4,Nhơn Trạch IV,đong nai,đong nai,gas,gas,750.0,750.0,0.0,True,True,True,,,100.0
exact_capacity_diff,LNG Núi Thành (Quảng Nam),Rạng Đông,quang nam,nam đinh,gas,coal,3200.0,2400.0,25.0,False,False,False,,,37.5
fuzzy_capacity_diff,LNG Phong Điền – Huế,Phong Điền,hue,3000,gas,imported gas,3000.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Phú Mỹ 3.1,Phú Mỹ II.1,ba ria - vung tau,ba ria - vung tau,gas,gas,850.0,900.0,5.9,True,False,True,,,90.0
fuzzy_capacity_diff,LNG Quảng Bình,Quảng Ninh II #1,quang binh,quang ninh,gas,coal,3000.0,300.0,90.0,False,False,False,,,90.0
exact,LNG Quảng Nam,Quảng Nam,quang nam,4000,gas,imported gas,4000.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Quảng Ninh 1 (Cẩm Phả),Quảng Ninh III #1-2,quang ninh,quang ninh,gas,coal,1500.0,1200.0,20.0,False,False,True,,,95.65217391304348
fuzzy,LNG Quảng Ninh 2 (Cẩm Phả),Quảng Ninh (LNG),quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Quảng Ninh 3 (Quảng Yên),Quảng Ninh II #2,quang ninh,quang ninh,gas,coal,4500.0,300.0,93.3,False,False,True,,,95.65217391304348
fuzzy_capacity_diff,LNG Quảng Ninh 4 (Hải Hà),LNG Quảng Ninh,quang ninh,quang ninh,gas,imported gas,3000.0,1500.0,50.0,False,False,True,,,100.0
fuzzy,LNG Quảng Trạch 2,Quảng Trạch (LNG),quang binh,quang binh,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Quỳnh Lập,TBKHH Sơn Mỹ II #6-7,nghe an,binh thuan,gas,gas,1500.0,1500.0,0.0,True,False,False,,,30.76923076923077
exact,LNG Sông Đốc (Cà Mau),Sông Đốc,ca mau,3000,gas,imported gas,3000.0,0.0,100.0,False,False,False,,,100.0
exact,LNG Sơn Mỹ I,TBKHH Sơn Mỹ I,binh thuan,binh thuan,gas,gas,2250.0,2250.0,0.0,True,True,True,,,100.0
exact,LNG Sơn Mỹ II,Sơn Mỹ II,binh thuan,binh thuan,gas,gas,2250.0,2250.0,0.0,True,False,True,,,100.0
exact,LNG Thái Bình,Thái Bình (LNG),thai binh,thai binh,gas,imported gas,4500.0,1500.0,66.7,False,False,True,,,100.0
exact,LNG Tân Phước,LNG Tân Phước,tien giang,tien giang,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,"LNG Tân Thuận – Đầm Dơi, Cà Mau",LNG Cà Mau,ca mau,ca mau,gas,imported gas,3200.0,3000.0,6.2,False,False,True,,,100.0
exact_capacity_diff,LNG Vân Phong (J-Power),Vũng Áng (LNG),khanh hoa,ha tinh,gas,imported gas,3000.0,3000.0,0.0,False,False,False,,,54.54545454545454
fuzzy_capacity_diff,LNG Vân Phong (Mỹ Giang) phase 1,Vân Phong II,khanh hoa,khanh hoa,gas,coal,3000.0,1320.0,56.0,False,False,True,,,95.23809523809523
exact_capacity_diff,LNG Vân Phong (Mỹ Giang) phase 2,Sơn Mỹ I,khanh hoa,binh thuan,gas,gas,3000.0,2250.0,25.0,True,False,False,,,37.5
exact_capacity_diff,LNG miền Nam,Cà Ná,"hiep phuoc 2, ben tre, mui ke ga, ca mau,",ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,False,,,66.66666666666667
exact_capacity_diff,Lee & Man,Đồng Phát Lee&Man,hau giang,binh duong,coal,unknown,125.0,125.0,0.0,False,True,False,,,87.5
