match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
exact,Cam Pha 3,Cẩm Phả III,quang ninh,quang ninh,coal,unknown,440.0,440.0,0.0,False,False,True,,
exact,Cong Thanh,Công Thanh,thanh hoa,thanh hoa,coal,unknown,600.0,600.0,0.0,False,False,True,,
exact,Cà Mau I,Cà Mau 1,ca mau,2,gas,unknown,771.0,0.0,100.0,False,False,False,,
exact_capacity_diff,Dong Nai Formosa,Hòa Phát II,đong nai,hai duong,coal,unknown,300.0,300.0,0.0,False,False,False,,
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nam Định II,quang ngai,nam đinh,coal,unknown,2000.0,2000.0,0.0,False,False,False,,
exact_capacity_diff,Duyen Hai 2,Phú Thọ,tra vinh,phu tho,coal,unknown,600.0,600.0,0.0,False,False,False,,
exact,Duyen Hai 3,Duyên Hải III,tra vinh,tra vinh,coal,unknown,1244.0,1800.0,44.7,False,False,True,,
exact,Formosa HT2,Formosa HT2,ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,False,True,,
exact,Hai Duong,Hải Dương,hai duong,hai duong,coal,unknown,1200.0,1200.0,0.0,False,False,True,,
fuzzy_capacity_diff,Hai Ha CHP Phase 1,Hải Hà 1,quang ninh,quang ninh,coal,unknown,150.0,300.0,100.0,False,False,True,,
fuzzy_capacity_diff,Hai Ha CHP Phase 2,Hải Hà 4,quang ninh,quang ninh,coal,unknown,750.0,600.0,20.0,False,False,True,,
fuzzy,Hai Ha CHP Phase 3,Hải Hà 2,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,
fuzzy,Hai Ha CHP Phase 4,Hải Hà 3,quang ninh,quang ninh,coal,unknown,600.0,600.0,0.0,False,False,True,,
exact,LNG Bình Định,Bình Định,binh đinh,binh đinh,gas,imported gas,5000.0,5000.0,0.0,False,False,True,,
exact,LNG Bạc Liêu,Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,True,True,,
exact,LNG Bến Tre,Bến Tre,ben tre,ben tre,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,
exact,LNG Chân Mây,Chân Mây,hue,hue,gas,imported gas,4000.0,4000.0,0.0,False,False,True,,
exact_capacity_diff,"LNG Cà Mau 2,3",Kim Sơn,ca mau,ninh binh,gas,unknown,3000.0,3000.0,0.0,False,False,False,,
exact,LNG Cà Ná,Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,
exact,LNG Cà Ná II+III,Cà Ná II+III,ninh thuan,ninh thuan,gas,imported gas,4500.0,4500.0,0.0,False,False,True,,
fuzzy,LNG Cái Mép Hạ,Cái Mép,ba ria - vung tau,ba ria - vung tau,gas,imported gas,6000.0,6000.0,0.0,False,False,True,,
exact,LNG Hiệp Phước (phase I),Hiệp Phước,tp ho chi minh,ha noi,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,
exact,LNG Long Sơn,Long Sơn,ba ria - vung tau,ba ria - vung tau,gas,imported gas,1200.0,1200.0,0.0,False,False,True,,
fuzzy_capacity_diff,"LNG Mũi Kê Gà 2,3",Mũi Kê Gà,binh thuan,ninh thuan,gas,imported gas,2400.0,3600.0,50.0,False,False,False,,
fuzzy_capacity_diff,LNG Phong Điền – Huế,Phong Điền,hue,hue,gas,unknown,3000.0,2000.0,33.3,False,False,True,,
exact,LNG Quảng Nam,Quảng Nam,quang nam,quang nam,gas,imported gas,4000.0,4000.0,0.0,False,False,True,,
exact,LNG Sông Đốc (Cà Mau),Sông Đốc,ca mau,ca mau,gas,imported gas,3000.0,3000.0,0.0,False,False,True,,
exact,LNG Sơn Mỹ I,Sơn Mỹ I,binh thuan,ba ria - vung tau,gas,unknown,2250.0,2250.0,0.0,False,False,False,,
