match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
fuzzy,An Khánh - Bac Giang,An Khánh,bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,False,True,,
fuzzy_capacity_diff,An Khánh 1,An Khanh,thai nguyen,bac giang,coal,unknown,116.0,650.0,460.3,False,False,False,,
exact_capacity_diff,Bà Rịa GT,Thác Mơ,ba ria - vung tau,lam đong,gas,coal,46.0,75.0,63.0,False,True,False,,
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu,bac lieu,bac lieu,coal,imported gas,1200.0,3200.0,166.7,False,False,True,,
exact,Cam Pha 3,Cẩm Phả III,quang ninh,quang ninh,coal,unknown,440.0,440.0,0.0,False,False,True,,
exact_capacity_diff,Cao Ngạn,Uông Bí,thai nguyen,quang ninh,coal,unknown,114.0,105.0,7.9,False,False,False,,
exact,Cong Thanh,Công Thanh,thanh hoa,hai duong,coal,unknown,600.0,600.0,0.0,False,True,False,,
exact,Cà Mau I,Cà Mau I,ca mau,2,gas,unknown,771.0,750.0,2.7,False,False,False,,
exact,Cà Mau II,Cà Mau II,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,False,True,,
exact_capacity_diff,Cẩm Phả 1,Uong Bi Extension 2,quang ninh,quang ninh,coal,unknown,340.0,330.0,2.9,False,True,True,,
fuzzy_capacity_diff,Cẩm Phả 2,Cam Pha 3,quang ninh,quang ninh,coal,unknown,340.0,440.0,29.4,False,False,True,,
exact_capacity_diff,Dong Nai Formosa,Đồng phát Đức Giang,đong nai,ha noi,coal,unknown,150.0,100.0,33.3,False,False,False,,
exact_capacity_diff,Dong Nai Formosa,Hòa Phát II,đong nai,hai duong,coal,unknown,300.0,300.0,0.0,False,False,False,,
fuzzy,Duc Giang - Lao Cai Chemical,Duc Giang,lao cai,hai duong,coal,unknown,100.0,100.0,0.0,False,False,False,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Dung Quat III,quang ngai,dau giang,coal,unknown,2400.0,750.0,68.8,False,False,False,,
fuzzy_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Dung Quat,quang ngai,dau giang,coal,unknown,2000.0,750.0,62.5,False,False,False,,
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,unknown,1244.0,1200.0,3.5,False,True,True,,
exact,Duyen Hai 2,Duyen Hai 2,tra vinh,tra vinh,coal,unknown,600.0,1200.0,100.0,False,True,True,,
exact,Duyen Hai 3,Duyên Hải III,tra vinh,tra vinh,coal,unknown,1244.0,1800.0,44.7,False,True,True,,
exact,Duyen Hai 3 Extension,Duyên Hải III Extension,tra vinh,tra vinh,coal,coal,660.0,660.0,0.0,True,False,True,,
exact,Duyên Hải 2,Duyên Hải II,tra vinh,tra vinh,coal,unknown,1200.0,1200.0,0.0,False,True,True,,
exact,Formosa HT2,Formosa HT2,ha tinh,ha tinh,coal,unknown,650.0,650.0,0.0,False,False,True,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,LNG Hà Tĩnh,ha tinh,ha tinh,coal,imported gas,450.0,6000.0,1233.3,False,False,True,,
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh,ha tinh,ha tinh,coal,imported gas,450.0,6000.0,1233.3,False,False,True,,
exact,Hai Duong,Hải Dương,hai duong,hai duong,coal,unknown,1200.0,1200.0,0.0,False,False,True,,
