agent,arm,mode,docs,f1_mean,n_f1,n_total,cost_mean
anthropic,naive,single,no,0.6034,5,5,2.0170
anthropic,optimised,multi,no,0.5579,5,5,1.7801
anthropic,arm3,single,yes,0.6148,5,5,2.7387
anthropic,arm4,multi,yes,0.3770,5,5,3.5968
mistral,naive,single,no,0.4870,5,5,0.2477
mistral,optimised,multi,no,0.3908,5,5,0.2291
mistral,arm3,single,yes,0.5913,5,5,0.0602
mistral,arm4,multi,yes,0.5325,5,5,0.2106
openai,naive,single,no,0.6254,5,5,0.2727
openai,optimised,multi,no,0.6506,5,5,0.6802
openai,arm3,single,yes,0.7748,5,5,0.4817
openai,arm4,multi,yes,0.7385,5,5,1.0462
qwen,naive,single,no,0.3694,5,5,0.0562
qwen,optimised,multi,no,0.2664,5,5,0.2059
qwen,arm3,single,yes,0.6228,5,5,0.3042
qwen,arm4,multi,yes,0.5508,5,5,0.7552
