match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh - Bac Giang,An Khanh 2,bac giang,thai nguyen,coal,coal,650.0,110.0,83.1,True,False,False,,,94.73684210526316
exact,An Khánh 1,An Khanh 1,thai nguyen,thai nguyen,coal,coal,116.0,110.0,5.2,True,True,True,,,100.0
exact_capacity_diff,Bà Rịa GT,Ca Na LNG Terminal,ba ria - vung tau,ninh thuan,gas,unknown,46.0,,,False,False,False,,,55.55555555555556
fuzzy,Bạc Liêu 1,Bac Lieu Coal,bac lieu,bac lieu,coal,coal,1200.0,1200.0,0.0,True,False,True,,,94.73684210526316
exact_capacity_diff,Cam Pha 3,--- OIL / DIESEL PLANTS — OPERATING ---,quang ninh,,coal,unknown,440.0,,,False,False,,,,44.44444444444444
exact,Cao Ngạn,Cao Ngan,thai nguyen,thai nguyen,coal,coal,114.0,100.0,12.3,True,True,True,,,100.0
exact,Cong Thanh,Cong Thanh (Thanh Hoa),thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cẩm Phả 1,Cam Pha 1,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact,Cẩm Phả 2,Cam Pha 2,quang ninh,quang ninh,coal,coal,340.0,370.0,8.8,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Can Tho 2 (gas turbine/diesel),đong nai,can tho,coal,unknown,150.0,150.0,0.0,False,False,False,,,33.333333333333336
exact_capacity_diff,Dong Nai Formosa,Ninh Hoa Sugar (Khanh Hoa),đong nai,khanh hoa,coal,unknown,300.0,,,False,False,False,,,48.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Cu Lao Cham Diesel,lao cai,quang nam,coal,unknown,100.0,,,False,False,False,,,57.14285714285714
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Bac Lieu LNG Terminal (FSRU),quang ngai,bac lieu,coal,unknown,2400.0,,,False,False,False,,,47.36842105263158
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Thi Vai LNG Terminal (PV GAS),quang ngai,ba ria - vung tau,coal,unknown,2000.0,,,False,False,False,,,43.24324324324324
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 2,--- COAL-FIRED PLANTS — IN PDP7 REVISED BUT CANCELLED / REMOVED IN PDP8 ---,tra vinh,,coal,unknown,600.0,,,False,False,,,,36.36363636363637
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact,Duyen Hai 3 Extension,Duyen Hai 3 Extension,tra vinh,tra vinh,coal,coal,660.0,688.0,4.2,True,True,True,,,100.0
exact,Duyên Hải 2,Duyen Hai 2 (BOT),tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Formosa HT2,Formosa Ha Tinh Steel (captive),ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Bourbon Gia Lai (sugar cogen),ha tinh,gia lai,coal,unknown,450.0,,,False,False,False,,,53.333333333333336
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Mekong Delta LNG Terminal (for O Mon bloc),ha tinh,tra vinh / can tho area,coal,unknown,450.0,,,False,False,False,,,40.0
fuzzy,Hai Duong,Hai Duong BOT (Jaks/CPECC),hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Can Tho 1 (gas turbine/diesel),quang ninh,can tho,coal,unknown,150.0,150.0,0.0,False,False,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 2,Phu Quoc Diesel,quang ninh,kien giang,coal,unknown,750.0,,,False,False,False,,,41.379310344827594
exact_capacity_diff,Hai Ha CHP Phase 3,Nghi Son LNG Terminal,quang ninh,thanh hoa,coal,unknown,600.0,,,False,False,False,,,37.03703703703704
exact_capacity_diff,Hai Ha CHP Phase 4,Quang Trach LNG Terminal,quang ninh,quang binh,coal,unknown,600.0,,,False,False,False,,,41.17647058823529
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
