match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy điện LNG Bà Rịa,bac giang,ba ria - vung tau,coal,imported gas,650.0,600.0,7.7,False,False,False,,,56.25
exact_capacity_diff,An Khánh 1,Nhà máy điện Thủ Đức 1,thai nguyen,tp ho chi minh,coal,unknown,116.0,300.0,158.6,False,True,False,,,57.14285714285714
exact_capacity_diff,Bà Rịa GT,Nhà máy điện Biên Hòa 1,ba ria - vung tau,dong nai,gas,unknown,46.0,300.0,552.2,False,True,False,,,47.05882352941176
exact_capacity_diff,Bạc Liêu 1,Nhà máy điện LNG Thi Vai,bac lieu,tra vinh,coal,imported gas,1200.0,1200.0,0.0,False,False,False,,,50.0
exact_capacity_diff,Cam Pha 3,Nhà máy điện Ninh Thuận 2,quang ninh,ninh thuan,coal,unknown,440.0,330.0,25.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Cao Ngạn,Nhà máy điện Long Bình 2,thai nguyen,dong nai,coal,unknown,114.0,300.0,163.2,False,True,False,,,50.0
exact_capacity_diff,Cong Thanh,Nhà máy điện LNG Tây Ninh,thanh hoa,tay ninh,coal,imported gas,600.0,600.0,0.0,False,False,False,,,60.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy điện Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,300.0,61.1,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy điện Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,300.0,61.1,False,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy điện Mỹ Tho 1,quang ninh,tien giang,coal,unknown,340.0,300.0,11.8,False,True,False,,,58.82352941176471
exact_capacity_diff,Cẩm Phả 2,Nhà máy điện Formosa Plastics,quang ninh,ha tinh,coal,coal,340.0,300.0,11.8,True,True,False,,,47.05882352941176
exact_capacity_diff,Dong Nai Formosa,Nhà máy điện Thủ Đức 3,đong nai,tp ho chi minh,coal,unknown,150.0,300.0,100.0,False,False,False,,,45.45454545454546
exact_capacity_diff,Dong Nai Formosa,Nhà máy điện Phú Quý 1,đong nai,binh thuan,coal,unknown,300.0,300.0,0.0,False,False,False,,,45.45454545454546
