name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operational,1983–1986,Hải Dương,0,EVN Annual Report 2022 (evn.com.vn),GEM Coal Plant Tracker (globalenergymonitor.org),Oldest major coal plant; rehabilitation completed ~2005
Nhiệt điện Phả Lại 2,Coal,Operational,2001–2002,Hải Dương,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Uông Bí,Coal,Operational (partial retirement likely),1963–1974,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,Original units; some decommissioned; net capacity varies in sources
Nhiệt điện Uông Bí mở rộng 1,Coal,Operational,2009,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Uông Bí mở rộng 2,Coal,Operational,2016,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Ninh Bình,Coal,Operational / Ageing,1974–1976,Ninh Bình,0,EVN Annual Report 2022,GEM Coal Plant Tracker,Scheduled for retirement under PDP8
Nhiệt điện Cao Ngạn,Coal,Operational,2010,Thái Nguyên,0,Vinacomin Annual Report,GEM Coal Plant Tracker,
Nhiệt điện Na Dương,Coal,Operational,2004,Lạng Sơn,0,Vinacomin Annual Report,GEM Coal Plant Tracker,Lignite-fired
Nhiệt điện Na Dương 2,Coal,Under Construction / Suspended,~2025 (delayed),Lạng Sơn,0,"PDP7A (Decision 428/QĐ-TTg, 2016)",GEM Coal Plant Tracker,Repeatedly delayed; status uncertain under PDP8
Nhiệt điện Mạo Khê,Coal,Operational,2011–2012,Quảng Ninh,0,Vinacomin Annual Report,GEM Coal Plant Tracker,
Nhiệt điện Quảng Ninh 1,Coal,Operational,2011–2012,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Quảng Ninh 2,Coal,Operational,2013–2014,Quảng Ninh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Hải Phòng 1,Coal,Operational,2011–2012,Hải Phòng,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Hải Phòng 2,Coal,Operational,2013–2014,Hải Phòng,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Nghi Sơn 1,Coal,Operational,2017–2018,Thanh Hóa,0,PDP7A; JERA project page,GEM Coal Plant Tracker,Japanese-backed BOT
Nhiệt điện Nghi Sơn 2,Coal,Operational,2022–2023,Thanh Hóa,0,PDP7A; KEPCO project disclosure,GEM Coal Plant Tracker,Korean-Japanese BOT; supercritical
Nhiệt điện Vũng Áng 1,Coal,Operational,2015–2016,Hà Tĩnh,0,PVN Annual Report,GEM Coal Plant Tracker,
Nhiệt điện Vũng Áng 2,Coal,Under Construction,~2025–2026,Hà Tĩnh,0,PDP7A; Mitsubishi project disclosure,GEM Coal Plant Tracker,Long-delayed BOT; financing difficulties
Nhiệt điện Duyên Hải 1,Coal,Operational,2015–2016,Trà Vinh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Duyên Hải 2,Coal,Operational,2018,Trà Vinh,0,PDP7A,GEM Coal Plant Tracker,Taiwanese BOT
Nhiệt điện Duyên Hải 3,Coal,Operational,2018–2019,Trà Vinh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Duyên Hải 3 mở rộng,Coal,Operational,2020,Trà Vinh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Vĩnh Tân 1,Coal,Operational,2017–2018,Bình Thuận,0,PDP7A,GEM Coal Plant Tracker,Chinese-backed BOT
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014–2015,Bình Thuận,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2018–2019,Bình Thuận,0,EVN Annual Report 2022,GEM Coal Plant Tracker,Supercritical
Nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Operational,2021,Bình Thuận,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
Nhiệt điện Vĩnh Tân 3,Coal,Suspended / Under Review,~2024 (delayed),Bình Thuận,0,PDP7A,GEM Coal Plant Tracker,Financing stalled; under PDP8 review
Nhiệt điện Long Phú 1,Coal,Under Construction (Suspended),~2026 (delayed),Sóc Trăng,0,PVN Annual Report; PDP7A,GEM Coal Plant Tracker,"Contractor (Power Machines, Russia) sanctioned; construction halted ~2022"
Nhiệt điện Long Phú 2,Coal,Suspended / Cancelled,—,Sóc Trăng,0,PDP7A,GEM Coal Plant Tracker,Removed from active pipeline under PDP8
Nhiệt điện Long Phú 3,Coal,Suspended / Cancelled,—,Sóc Trăng,0,PDP7A,GEM Coal Plant Tracker,Removed from active pipeline under PDP8
Nhiệt điện Sông Hậu 1,Coal,Operational,2022–2023,Hậu Giang,0,PVN Annual Report 2023,GEM Coal Plant Tracker,Supercritical; delayed from original 2019 target
Nhiệt điện Sông Hậu 2,Coal,Suspended / Under Review,~2028 (delayed),Hậu Giang,0,PDP7A,GEM Coal Plant Tracker,Ultra-supercritical; financing difficulties; PDP8 status uncertain
Nhiệt điện Thái Bình 1,Coal,Operational,2015–2016,Thái Bình,0,Vinacomin Annual Report,GEM Coal Plant Tracker,
Nhiệt điện Thái Bình 2,Coal,Operational,2022–2023,Thái Bình,0,PVN Annual Report 2023,GEM Coal Plant Tracker,Long-delayed (original COD ~2016); supercritical
Nhiệt điện Hải Dương,Coal,Operational,2015–2016,Hải Dương,0,PDP7A,GEM Coal Plant Tracker,Malaysian-backed BOT
Nhiệt điện Nam Định 1,Coal,Under Construction,~2026–2027,Nam Định,0,PDP7A; Mitsubishi disclosure,GEM Coal Plant Tracker,Japanese BOT; financing secured
Nhiệt điện Quảng Trạch 1,Coal,Under Construction,~2026–2027,Quảng Bình,0,EVN Annual Report 2022; PDP8,GEM Coal Plant Tracker,Ultra-supercritical; EVN flagship project
Nhiệt điện Quảng Trạch 2,Coal,Approved / Planned,~2030,Quảng Bình,0,"PDP8 (Decision 500/QĐ-TTg, 2023)",GEM Coal Plant Tracker,Included in PDP8; may convert to LNG
Nhiệt điện Công Thanh,Coal,Suspended,—,Thanh Hóa,0,PDP7A,GEM Coal Plant Tracker,Financing not secured; under PDP8 review
Nhiệt điện An Khánh,Coal,Operational,2014–2015,Thái Nguyên,0,Vinacomin Annual Report,GEM Coal Plant Tracker,
Nhiệt điện An Khánh mở rộng,Coal,Planned / Uncertain,—,Thái Nguyên,0,PDP7A,GEM Coal Plant Tracker,Status uncertain under PDP8
Nhiệt điện Nông Sơn,Coal,Operational,2013,Quảng Nam,0,Vinacomin Annual Report,GEM Coal Plant Tracker,Exactly at threshold; local coal
Nhiệt điện Vũng Áng 3,Coal,Cancelled / Removed,—,Hà Tĩnh,0,PDP7A,GEM Coal Plant Tracker,Removed under PDP8
Nhiệt điện Quỳnh Lập 1,Coal,Suspended / Cancelled,—,Nghệ An,0,PDP7A,GEM Coal Plant Tracker,Removed under PDP8
Nhiệt điện Quỳnh Lập 2,Coal,Cancelled,—,Nghệ An,0,PDP7A,GEM Coal Plant Tracker,Removed under PDP8
Nhiệt điện Tân Phước 1,Coal,Cancelled,—,Tiền Giang,0,PDP7A,GEM Coal Plant Tracker,Removed under PDP8
Nhiệt điện Tân Phước 2,Coal,Cancelled,—,Tiền Giang,0,PDP7A,GEM Coal Plant Tracker,Removed under PDP8
Nhiệt điện Cẩm Phả 1,Coal,Operational,2010–2011,Quảng Ninh,0,Vinacomin Annual Report,GEM Coal Plant Tracker,
Nhiệt điện Cẩm Phả 2,Coal,Operational,2012–2013,Quảng Ninh,0,Vinacomin Annual Report,GEM Coal Plant Tracker,
Nhiệt điện Formosa Hà Tĩnh,Coal,Operational,~2017,Hà Tĩnh,0,Formosa Ha Tinh Steel project docs,GEM Coal Plant Tracker,Captive plant for steel complex; capacity approximate
Nhiệt điện Duyên Hải 1 mở rộng,Coal,Operational,2020,Trà Vinh,0,EVN Annual Report 2022,GEM Coal Plant Tracker,
