name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Phả Lại 1,Coal (domestic anthracite),Operational,1986,Hải Dương,0,"PDP 7 Revised, Annex I",EVN Annual Report 2022,Oldest large coal plant; refurbished
Nhà máy Nhiệt điện Phả Lại 2,Coal (domestic),Operational,2001 (U1) / 2002 (U2),Hải Dương,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Uông Bí I,Coal,Retired,1970s–?,Quảng Ninh,0,PDP 7 Revised,EVN historical,Decommissioned
Nhà máy Nhiệt điện Uông Bí MR,Coal,Operational,2009,Quảng Ninh,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Quảng Ninh 1,Coal,Operational,2010 (U1) / 2011 (U2),Quảng Ninh,0,PDP 7 Revised,Vinacomin operational data,
Nhà máy Nhiệt điện Quảng Ninh 2,Coal,Operational,2014 (U1) / 2015 (U2),Quảng Ninh,0,PDP 7 Revised,Vinacomin,
Nhà máy Nhiệt điện Mông Dương 1,Coal,Operational,2015 (U1) / 2016 (U2),Quảng Ninh,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Mông Dương 2,Coal,Operational,2015 (U1) / 2016 (U2),Quảng Ninh,0,PDP 7 Revised,BOT contract data,
Nhà máy Nhiệt điện Cẩm Phả,Coal,Operational,2011–2012,Quảng Ninh,0,PDP 7 Revised,Vinacomin,
Nhà máy Nhiệt điện Mạo Khê,Coal,Operational,2013 (U1) / 2014 (U2),Quảng Ninh,0,PDP 7 Revised,Vinacomin,
Nhà máy Nhiệt điện Hải Phòng 1,Coal,Operational,2011 (U1) / 2012 (U2),Hải Phòng,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Hải Phòng 2,Coal,Operational,2014 (U1) / 2015 (U2),Hải Phòng,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Vũng Áng 1,Coal,Operational,2015 (U1) / 2016 (U2),Hà Tĩnh,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Vũng Áng 2,Coal,Suspended,–,Hà Tĩnh,0,PDP 7 Revised,MOIT status reports,Financing issues; indefinitely suspended
Nhà máy Nhiệt điện Nghi Sơn 1,Coal,Operational,2013 (U1) / 2014 (U2),Thanh Hóa,0,PDP 7 Revised,Vinacomin,
Nhà máy Nhiệt điện Nghi Sơn 2,Coal,Operational,2022–2023,Thanh Hóa,0,"PDP 7 Revised, MOIT Decision",Developer disclosures,Commissioned in phases
Nhà máy Nhiệt điện Vĩnh Tân 1,Coal,Operational,2019 (U1) / 2020 (U2),Bình Thuận,0,PDP 7 Revised,BOT contract,
Nhà máy Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014 (U1) / 2015 (U2),Bình Thuận,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Vĩnh Tân 4,Coal,Operational,2019 (U1) / 2020 (U2),Bình Thuận,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2016 (U1) / 2017 (U2),Trà Vinh,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Long Phú 1,Coal,Operational,2019 (U1) / 2020 (U2),Sóc Trăng,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Sông Hậu 1,Coal,Operational,2021 (U1) / 2022 (U2),Hậu Giang,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện Thái Bình 1,Coal,Operational,2016 (U1) / 2017 (U2),Thái Bình,0,PDP 7 Revised,EVN Annual Report,
Nhà máy Nhiệt điện An Khánh 1,Coal,Operational,2009,Thái Nguyên,0,Vinacomin plant list,IPP data,
