name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,"PDP8 (Decision 500/QĐ-TTg), Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,Largest coal-fired plant in Vietnam.
Nhà máy nhiệt điện Vĩnh Tân 4,Coal,Operational,2017,Bình Thuận,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,Part of the Vinh Tan power center.
Nhà máy nhiệt điện Nghi Sơn 2,Coal,Operational,2018,Thanh Hóa,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,Japanese technology (Mitsubishi).
Nhà máy nhiệt điện Hải Phòng 2,Coal,Operational,2018,Hải Phòng,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,Replaced older subcritical units.
Nhà máy nhiệt điện Duyên Hải 3,Coal,Operational,2016,Trà Vinh,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Vĩnh Tân 1,Coal,Operational,2014,Bình Thuận,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Thái Bình 1,Coal,Operational,2018,Thái Bình,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,
Nhà máy nhiệt điện Sông Hậu 1,Coal,Under Construction,2024 (Exp),Hậu Giang,0,"PDP8, Appendix I; `https://moit.gov.vn`",GEM Global Coal Plant Tracker; `https://globalenergymonitor.org`,Delayed multiple times due to financing.
