match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,Bà Rịa GT,**Nhà máy nhiệt điện Uông Bí**,ba ria - vung tau,quang ninh,gas,coal,46.0,0.0,100.0,False,True,False,,,44.44444444444444
fuzzy_capacity_diff,Cà Mau I,**Nhà máy điện khí Cà Mau 1-2**,ca mau,ca mau,gas,unknown,771.0,0.0,100.0,False,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 1,**Nhà máy nhiệt điện Duyên Hải 3 mở rộng**,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 2,**Nhà máy nhiệt điện Duyên Hải 1**,tra vinh,tra vinh,coal,coal,600.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyên Hải 2,**Nhà máy nhiệt điện Duyên Hải 3**,tra vinh,tra vinh,coal,coal,1200.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 1,**Nhà máy nhiệt điện Hải Phòng 2**,hai phong,hai phong,coal,coal,600.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 2,**Nhà máy nhiệt điện Hải Phòng 1**,hai phong,hai phong,coal,coal,600.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Hải Phòng,**Nhà máy nhiệt điện Hải Phòng 3**,hai phong,hai phong,gas,coal,500.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 4,**Nhà máy nhiệt điện Nhơn Trạch 1**,đong nai,đong nai,gas,imported gas,750.0,0.0,100.0,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,LNG Quảng Bình,**Nhà máy nhiệt điện Quảng Ninh**,quang binh,quang ninh,gas,coal,3000.0,0.0,100.0,False,False,False,,,90.0
fuzzy_capacity_diff,LNG Vân Phong (J-Power),**Nhà máy nhiệt điện Vân Phong 1**,khanh hoa,khanh hoa,gas,imported gas,3000.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,Long Phú 1,**Nhà máy nhiệt điện Long Phú 1**,soc trang,soc trang,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Long Phú 2,**Nhà máy nhiệt điện Long Phú 2**,soc trang,soc trang,coal,coal,1320.0,0.0,100.0,True,False,True,,,100.0
fuzzy_capacity_diff,Mong Duong 1,**Nhà máy nhiệt điện Mông Dương 1**,quang ninh,quang ninh,coal,coal,1080.0,0.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Na Dương 1,**Nhà máy nhiệt điện Na Dương 2**,lang son,lang son,coal,coal,110.0,0.0,100.0,True,True,True,,,90.0
fuzzy_capacity_diff,Na Dương 2,**Nhà máy nhiệt điện Mông Dương 2**,lang son,quang ninh,coal,coal,110.0,0.0,100.0,True,True,False,,,90.0
fuzzy_capacity_diff,Nghi Son 1,**Nhà máy nhiệt điện Nghi Sơn 1**,thanh hoa,thanh hoa,coal,coal,600.0,0.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Nghi Son 2,**Nhà máy nhiệt điện Nghi Sơn 2**,thanh hoa,thanh hoa,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Nong Son 1,**Nhà máy điện khí Cà Mau 3**,quang nam,ca mau,coal,unknown,30.0,0.0,100.0,False,True,False,,,30.000000000000004
exact_capacity_diff,NĐ LNG miền Bắc,**Nhà máy nhiệt điện Bà Rịa**,"thai binh, nam đinh, nghi son, thanh hoa",ba ria - vung tau,gas,imported gas,0.0,0.0,,False,False,False,,,60.0
fuzzy_capacity_diff,Quảng Trạch 1,**Nhà máy nhiệt điện Quảng Trạch 2**,quang binh,quang binh,coal,coal,1400.0,0.0,100.0,True,False,True,,,92.3076923076923
fuzzy_capacity_diff,Quảng Trạch 2,**Nhà máy nhiệt điện Quảng Trạch 1**,quang binh,quang binh,gas,coal,1200.0,0.0,100.0,False,False,True,,,92.3076923076923
fuzzy_capacity_diff,Sông Hậu 1,**Nhà máy nhiệt điện Sông Hậu 1**,hau giang,hau giang,coal,coal,1200.0,0.0,100.0,True,False,True,,,100.0
fuzzy_capacity_diff,Sông Hậu 2,**Nhà máy nhiệt điện Sông Hậu 2**,hau giang,hau giang,coal,coal,2000.0,0.0,100.0,True,True,True,,,100.0
