match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy điện Hủa Na 5,bac giang,lai chau,coal,coal,650.0,0.0,100.0,True,False,False,,,50.0
exact_capacity_diff,An Khánh 1,Nhà máy điện Cẩm Phả,thai nguyen,quang ninh,coal,coal,116.0,0.0,100.0,True,True,False,,,57.14285714285714
exact_capacity_diff,Bà Rịa GT,Nhà máy điện Hòn Gai,ba ria - vung tau,quang ninh,gas,coal,46.0,0.0,100.0,False,True,False,,,47.05882352941176
exact_capacity_diff,Bạc Liêu 1,Nhà máy điện Sơn Dương 5,bac lieu,tuyen quang,coal,coal,1200.0,0.0,100.0,True,True,False,,,50.0
fuzzy_capacity_diff,Cam Pha 3,Nhà máy điện Cẩm Phả 3,quang ninh,quang ninh,coal,coal,440.0,0.0,100.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Nhà máy điện Na Hang 2,thai nguyen,tuyen quang,coal,coal,114.0,0.0,100.0,True,True,False,,,50.0
exact_capacity_diff,Cong Thanh,Nhà máy điện Hủa Na 4,thanh hoa,lai chau,coal,coal,600.0,0.0,100.0,True,True,False,,,50.0
exact_capacity_diff,Cà Mau I,Nhà máy điện Ninh Thuận 5,ca mau,ninh thuan,gas,coal,771.0,0.0,100.0,False,False,False,,,62.5
fuzzy_capacity_diff,Cà Mau II,Nhà máy điện Cà Mau 2,ca mau,ca mau,gas,coal,771.0,0.0,100.0,False,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy điện Nhơn Trạch 7,quang ninh,đong nai,coal,imported gas,340.0,0.0,100.0,False,False,False,,,47.05882352941176
fuzzy_capacity_diff,Cẩm Phả 2,Nhà máy điện Cẩm Phả 2,quang ninh,quang ninh,coal,coal,340.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Nhà máy điện Bà Rịa,đong nai,ba ria - vung tau,coal,coal,150.0,0.0,100.0,True,False,False,,,50.0
exact_capacity_diff,Dong Nai Formosa,Nhà máy điện Nhơn Trạch 6,đong nai,đong nai,coal,unknown,300.0,0.0,100.0,False,False,True,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy điện Na Hang,lao cai,tuyen quang,coal,coal,100.0,0.0,100.0,True,False,False,,,40.0
exact_capacity_diff,Duyen Hai 1,Nhà máy điện Thái Bình 7,tra vinh,thai binh,coal,coal,1244.0,0.0,100.0,True,False,False,,,63.63636363636363
exact_capacity_diff,Duyen Hai 2,Nhà máy điện Na Hang 4,tra vinh,tuyen quang,coal,coal,600.0,0.0,100.0,True,False,False,,,54.54545454545454
exact_capacity_diff,Duyen Hai 3,Nhà máy điện Sơn Dương 7,tra vinh,tuyen quang,coal,coal,1244.0,0.0,100.0,True,False,False,,,53.333333333333336
exact_capacity_diff,Duyen Hai 3 Extension,Nhà máy điện Uông Bí 5,tra vinh,quang ninh,coal,coal,660.0,0.0,100.0,True,False,False,,,48.64864864864865
exact_capacity_diff,Duyên Hải 2,Nhà máy điện Hòn Gai 5,tra vinh,quang ninh,coal,coal,1200.0,0.0,100.0,True,False,False,,,63.63636363636363
exact_capacity_diff,Formosa HT2,Nhà máy điện Na Hang 5,ha tinh,tuyen quang,coal,coal,650.0,0.0,100.0,True,False,False,,,31.57894736842105
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy điện Uông Bí 3,ha tinh,quang ninh,coal,coal,450.0,0.0,100.0,True,False,False,,,43.75
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy điện Hòn Gai 2,ha tinh,quang ninh,coal,coal,450.0,0.0,100.0,True,False,False,,,47.36842105263158
exact_capacity_diff,Hai Duong,Nhà máy điện Cẩm Phả 6,hai duong,quang ninh,coal,coal,1200.0,0.0,100.0,True,False,False,,,46.15384615384615
exact_capacity_diff,Hai Ha CHP Phase 1,Nhà máy điện Cà Mau,quang ninh,ca mau,coal,coal,150.0,0.0,100.0,True,False,False,,,47.05882352941176
exact_capacity_diff,Hai Ha CHP Phase 2,Nhà máy điện Hòn Gai 4,quang ninh,quang ninh,coal,coal,750.0,0.0,100.0,True,False,True,,,45.714285714285715
exact_capacity_diff,Hai Ha CHP Phase 3,Nhà máy điện Uông Bí 4,quang ninh,quang ninh,coal,coal,600.0,0.0,100.0,True,False,True,,,45.16129032258065
exact_capacity_diff,Hai Ha CHP Phase 4,Nhà máy điện Sơn Dương 3,quang ninh,tuyen quang,coal,coal,600.0,0.0,100.0,True,False,False,,,45.714285714285715
exact_capacity_diff,Hai Phong 1,Nhà máy điện Hòn Gai 3,hai phong,quang ninh,coal,coal,600.0,0.0,100.0,True,False,False,,,57.14285714285714
exact_capacity_diff,Hai Phong 2,Nhà máy điện Cẩm Phả 4,hai phong,quang ninh,coal,coal,600.0,0.0,100.0,True,False,False,,,52.63157894736843
exact_capacity_diff,Hai Phong 3,Nhà máy điện Nghi Sơn 6,hai phong,thanh hoa,coal,coal,1200.0,0.0,100.0,True,False,False,,,63.1578947368421
exact_capacity_diff,Hải Phòng,Nhà máy điện Ninh Thuận 3,hai phong,ninh thuan,gas,coal,500.0,0.0,100.0,False,False,False,,,46.15384615384615
exact_capacity_diff,LNG Bà Rịa 2,Nhà máy điện Bà Rịa 6,ba ria - vung tau,ba ria - vung tau,gas,coal,1200.0,0.0,100.0,False,False,True,,,87.5
exact_capacity_diff,LNG Cà Mau 1,Nhà máy điện Hủa Na 9,ca mau,lai chau,gas,coal,1500.0,0.0,100.0,False,False,False,,,62.5
exact_capacity_diff,LNG Cà Ná,Nhà máy điện Na Hang 9,ninh thuan,tuyen quang,gas,coal,1500.0,0.0,100.0,False,False,False,,,60.0
exact_capacity_diff,LNG Hiệp Phước (phase I),Nhà máy điện Cà Mau 6,tp ho chi minh,ca mau,gas,coal,1200.0,0.0,100.0,False,False,False,,,40.0
exact_capacity_diff,LNG Hiệp Phước (phase II),Nhà máy điện Uông Bí 9,tp ho chi minh,quang ninh,gas,coal,1500.0,0.0,100.0,False,False,False,,,50.0
exact_capacity_diff,LNG Hải Lăng,Nhà máy điện Phả Lại 8,quang tri,hai duong,gas,coal,1500.0,0.0,100.0,False,False,False,,,62.5
exact_capacity_diff,LNG Long An I,Nhà máy điện Thái Bình 8,long an,thai binh,gas,coal,1500.0,0.0,100.0,False,False,False,,,47.05882352941176
exact_capacity_diff,LNG Long Sơn,Nhà máy điện Ninh Thuận 6,ba ria - vung tau,ninh thuan,gas,coal,1200.0,0.0,100.0,False,False,False,,,37.5
exact_capacity_diff,LNG Mũi Kê Gà 1,Nhà máy điện Hủa Na 7,binh thuan,lai chau,gas,coal,1200.0,0.0,100.0,False,False,False,,,45.45454545454546
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nhà máy điện Nghi Sơn,thanh hoa,thanh hoa,gas,coal,5000.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhà máy điện Nhơn Trạch 3,đong nai,đong nai,gas,coal,750.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhà máy điện Nhơn Trạch 1,đong nai,đong nai,gas,unknown,750.0,0.0,100.0,False,False,True,,,91.66666666666666
exact_capacity_diff,LNG Phú Mỹ 3.1,Nhà máy điện Hủa Na 6,ba ria - vung tau,lai chau,gas,coal,850.0,0.0,100.0,False,False,False,,,55.55555555555556
fuzzy_capacity_diff,LNG Thái Bình,Nhà máy điện Thái Bình 3,thai binh,thai binh,gas,coal,4500.0,0.0,100.0,False,False,True,,,100.0
exact_capacity_diff,Lee & Man,Nhà máy điện Ninh Thuận 1,hau giang,ninh thuan,coal,coal,125.0,0.0,100.0,True,True,False,,,44.44444444444444
exact_capacity_diff,Long An 1,Nhà máy điện Na Hang 7,long an,tuyen quang,gas,coal,1200.0,0.0,100.0,False,False,False,,,55.55555555555556
exact_capacity_diff,Long Phú 1,Nhà máy điện Uông Bí 7,soc trang,quang ninh,coal,coal,1200.0,0.0,100.0,True,False,False,,,55.55555555555556
exact_capacity_diff,Long Phú 2,Nhà máy điện Cẩm Phả 8,soc trang,quang ninh,coal,coal,1320.0,0.0,100.0,True,True,False,,,50.0
exact_capacity_diff,Mao Khe,Nhà máy điện Hủa Na 3,quang ninh,lai chau,coal,coal,440.0,0.0,100.0,True,False,False,,,57.14285714285714
exact_capacity_diff,Mong Duong 1,Nhà máy điện Thái Bình 5,quang ninh,thai binh,coal,coal,1080.0,0.0,100.0,True,False,False,,,33.333333333333336
exact_capacity_diff,Mong Duong 2,Nhà máy điện Phả Lại 7,quang ninh,hai duong,coal,coal,1240.0,0.0,100.0,True,False,False,,,33.333333333333336
exact_capacity_diff,Na Dương 1,Nhà máy điện Hủa Na 2,lang son,lai chau,coal,coal,110.0,0.0,100.0,True,True,False,,,50.0
fuzzy_capacity_diff,Na Dương 2,Nhà máy điện Sơn Dương 2,lang son,tuyen quang,coal,coal,110.0,0.0,100.0,True,False,False,,,94.73684210526316
exact_capacity_diff,Nam Dinh 1,Nhà máy điện Phả Lại 6,nam dinh,hai duong,coal,coal,1200.0,0.0,100.0,True,False,False,,,50.0
fuzzy_capacity_diff,Nghi Son 1,Nhà máy điện Nghi Sơn 2,thanh hoa,thanh hoa,coal,coal,600.0,0.0,100.0,True,True,True,,,90.0
fuzzy_capacity_diff,Nghi Son 2,Nhà máy điện Nghi Sơn 3,thanh hoa,thanh hoa,coal,coal,1200.0,0.0,100.0,True,False,True,,,90.0
exact_capacity_diff,Ninh Binh,Nhà máy điện Sơn Dương,ninh binh,tuyen quang,coal,coal,100.0,0.0,100.0,True,False,False,,,46.15384615384615
exact_capacity_diff,Nong Son 1,Nhà máy điện Phả Lại,quang nam,hai duong,coal,coal,30.0,0.0,100.0,True,True,False,,,33.333333333333336
exact_capacity_diff,NĐ Cần Thơ,Nhà máy điện Phú Mỹ 5,can tho,ba ria - vung tau,unknown,coal,165.0,0.0,100.0,False,True,False,,,44.44444444444444
exact_capacity_diff,NĐ Hiệp Phước,Nhà máy điện Bà Rịa (Gas),tp ho chi minh,ba ria - vung tau,unknown,coal,310.0,0.0,100.0,False,True,False,,,38.46153846153846
exact_capacity_diff,NĐ LNG miền Bắc,Nhà máy điện Uông Bí,"thai binh, nam đinh, nghi son, thanh hoa",quang ninh,gas,coal,0.0,0.0,,False,False,False,,,50.0
exact_capacity_diff,NĐ Thủ Đức,Nhà máy điện Nhơn Trạch 5,tp ho chi minh,đong nai,gas,unknown,290.0,0.0,100.0,False,True,False,,,52.63157894736843
exact_capacity_diff,NĐ Ô Môn I,Nhà máy điện Phả Lại 4,can tho,hai duong,unknown,coal,660.0,0.0,100.0,False,False,False,,,44.44444444444444
exact_capacity_diff,Phả Lại 1,Nhà máy điện Na Hang 3,hai duong,tuyen quang,coal,coal,440.0,0.0,100.0,True,False,False,,,58.82352941176471
fuzzy_capacity_diff,Phả Lại 2,Nhà máy điện Phả Lại 2,hai duong,hai duong,coal,coal,600.0,0.0,100.0,True,False,True,,,100.0
fuzzy_capacity_diff,Phả Lại 3,Nhà máy điện Phả Lại 3,hai duong,hai duong,coal,coal,660.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Quang Ninh 1,Nhà máy điện Nghi Sơn 4,quang ninh,thanh hoa,gas,coal,600.0,0.0,100.0,False,False,False,,,50.0
exact_capacity_diff,Quang Ninh 2,Nhà máy điện Bà Rịa 4,quang ninh,ba ria - vung tau,gas,coal,600.0,0.0,100.0,False,False,False,,,42.10526315789473
exact_capacity_diff,Quang Ninh 3,Nhà máy điện Thái Bình 6,quang ninh,thai binh,gas,coal,1200.0,0.0,100.0,False,False,False,,,57.14285714285714
exact_capacity_diff,Quảng Trạch 1,Nhà máy điện Cà Mau 8,quang binh,ca mau,coal,coal,1400.0,0.0,100.0,True,False,False,,,40.0
exact_capacity_diff,Quảng Trạch 2,Nhà máy điện Sơn Dương 6,quang binh,tuyen quang,gas,coal,1200.0,0.0,100.0,False,False,False,,,42.10526315789473
exact_capacity_diff,Quảng Trị 1,Nhà máy điện Nghi Sơn 8,quang tri,thanh hoa,coal,coal,1320.0,0.0,100.0,True,True,False,,,38.095238095238095
exact_capacity_diff,Quảng Trị 2,Nhà máy điện Hòn Gai 6,quang tri,quang ninh,coal,coal,1200.0,0.0,100.0,True,False,False,,,44.44444444444444
exact_capacity_diff,Quỳnh Lập 1,Nhà máy điện Cẩm Phả 7,nghe an,quang ninh,coal,coal,1200.0,0.0,100.0,True,True,False,,,53.333333333333336
exact_capacity_diff,Quỳnh Lập 2,Nhà máy điện Nghi Sơn 7,nghe an,thanh hoa,coal,coal,1200.0,0.0,100.0,True,True,False,,,53.333333333333336
exact_capacity_diff,Son Dong,Nhà máy điện Phú Mỹ 2,bac giang,ba ria - vung tau,coal,unknown,220.0,0.0,100.0,False,True,False,,,33.333333333333336
exact_capacity_diff,Sông Hậu 1,Nhà máy điện Bà Rịa 7,hau giang,ba ria - vung tau,coal,coal,1200.0,0.0,100.0,True,False,False,,,57.14285714285714
exact_capacity_diff,TBKHH Bà Rịa 1,Nhà máy điện Ninh Thuận 2,ba ria - vung tau,ninh thuan,gas,coal,169.0,0.0,100.0,False,False,False,,,50.0
fuzzy_capacity_diff,TBKHH Bà Rịa 2,Nhà máy điện Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,coal,175.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,TBKHH Dung Quất I,Nhà máy điện Dung Quất,quang ngai,quang ngai,gas,unknown,750.0,0.0,100.0,False,False,True,,,90.0
exact_capacity_diff,TBKHH Dung Quất II,Nhà máy điện Cẩm Phả 5,quang ngai,quang ninh,gas,coal,750.0,0.0,100.0,False,False,False,,,42.10526315789473
exact_capacity_diff,TBKHH Dung Quất III,Nhà máy điện Nghi Sơn 5,quang ngai,thanh hoa,gas,coal,750.0,0.0,100.0,False,False,False,,,42.10526315789473
fuzzy_capacity_diff,TBKHH Nhơn Trạch I,Nhà máy điện Nhơn Trạch 2,đong nai,đong nai,gas,coal,465.0,0.0,100.0,False,True,True,,,91.66666666666666
fuzzy_capacity_diff,TBKHH Nhơn Trạch II,Nhà máy điện Nhơn Trạch 4,đong nai,đong nai,gas,unknown,750.0,0.0,100.0,False,True,True,,,91.66666666666666
fuzzy_capacity_diff,TBKHH Phú Mỹ 1,Nhà máy điện Phú Mỹ 1,ba ria - vung tau,ba ria - vung tau,gas,unknown,1140.0,0.0,100.0,False,True,True,,,100.0
exact_capacity_diff,TBKHH Phú Mỹ 2.1,Nhà máy điện Cà Mau 3 (Coal),ba ria - vung tau,ca mau,gas,imported gas,499.0,0.0,100.0,False,False,False,,,55.55555555555556
exact_capacity_diff,TBKHH Phú Mỹ 2.1 MR,Nhà máy điện Bà Rịa 3,ba ria - vung tau,ba ria - vung tau,gas,coal,450.0,0.0,100.0,False,False,True,,,47.61904761904761
exact_capacity_diff,TBKHH Phú Mỹ 2.2,Nhà máy điện Sơn Dương 4,ba ria - vung tau,tuyen quang,gas,coal,740.0,0.0,100.0,False,False,False,,,55.55555555555556
fuzzy_capacity_diff,TBKHH Phú Mỹ 3,Nhà máy điện Phú Mỹ 3,ba ria - vung tau,ba ria - vung tau,gas,unknown,740.0,0.0,100.0,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 4,Nhà máy điện Phú Mỹ 4,ba ria - vung tau,ba ria - vung tau,gas,coal,468.0,0.0,100.0,False,True,True,,,100.0
exact_capacity_diff,TBKHH Quảng Trị (khí Báo Vàng),Nhà máy điện Cà Mau 3,quang tri,ca mau,gas,imported gas,340.0,0.0,100.0,False,False,False,,,33.333333333333336
exact_capacity_diff,TBKHH miền Trung I,Nhà máy điện Bà Rịa 5,quang nam,ba ria - vung tau,gas,coal,750.0,0.0,100.0,False,False,False,,,50.0
exact_capacity_diff,TBKHH miền Trung II,Nhà máy điện Cà Mau 5,quang nam,ca mau,gas,coal,750.0,0.0,100.0,False,False,False,,,50.0
exact_capacity_diff,TBKHH Ô Môn I,Nhà máy điện Thái Bình 4,can tho,thai binh,gas,coal,660.0,0.0,100.0,False,False,False,,,42.85714285714286
exact_capacity_diff,TBKHH Ô Môn II,Nhà máy điện Na Hang 6,can tho,tuyen quang,gas,coal,1050.0,0.0,100.0,False,False,False,,,42.85714285714286
exact_capacity_diff,TBKHH Ô Môn III,Nhà máy điện Uông Bí 6,can tho,quang ninh,gas,coal,1050.0,0.0,100.0,False,False,False,,,57.14285714285714
exact_capacity_diff,TBKHH Ô Môn IV,Nhà máy điện Phả Lại 5,can tho,hai duong,gas,coal,1050.0,0.0,100.0,False,False,False,,,42.85714285714286
