name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operational,1983–1986,Hải Dương,0,"EVN Annual Report; PDP VII Revised (Decision 428/QĐ-TTg, 2016)",Global Energy Monitor – Vietnam Coal Plant Tracker,Soviet-built; among oldest coal units
Nhiệt điện Phả Lại 2,Coal,Operational,2001–2002,Hải Dương,0,EVN Annual Report,GEM Vietnam Tracker,Japanese ODA-funded (JBIC)
Nhiệt điện Uông Bí,Coal,Operational,1964–2014 (phased),Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,One of Vietnam's oldest plants; expansion unit (330 MW) COD 2014
Nhiệt điện Uông Bí Mở rộng 2,Coal,Operational,2014,Quảng Ninh,0,EVN Annual Report,,
Nhiệt điện Ninh Bình,Coal,Operational (partial retirement planned),1974–1975,Ninh Bình,0,PDP VII Revised,,Old Soviet-era units; some units below 30 MW threshold; 100 MW unit added later
Nhiệt điện Quảng Ninh 1,Coal,Operational,2010–2011,Quảng Ninh,0,PDP VII Revised (Decision 428/QĐ-TTg),GEM Vietnam Tracker,
Nhiệt điện Quảng Ninh 2,Coal,Operational,2014–2015,Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Hải Phòng 1,Coal,Operational,2009–2010,Hải Phòng,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Hải Phòng 2,Coal,Operational,2013–2014,Hải Phòng,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Mạo Khê,Coal,Operational,2013–2015,Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,Owned by Vietnam National Coal–Mineral Industries Group
Nhiệt điện Cẩm Phả 1,Coal,Operational,2010,Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Cẩm Phả 2,Coal,Operational,2012,Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Cao Ngạn,Coal,Operational,2007,Thái Nguyên,0,PDP VII Revised,,Uses anthracite coal
Nhiệt điện Sơn Động,Coal,Operational,2014,Bắc Giang,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Na Dương 1,Coal,Operational,2004,Lạng Sơn,0,PDP VII Revised,,Uses local lignite
Nhiệt điện Na Dương 2,Coal,Under construction / Operational (2023–2024),~2024,Lạng Sơn,0,"PDP VIII (Decision 500/QĐ-TTg, 2023)",GEM Vietnam Tracker,
Nhiệt điện Nông Sơn,Coal,Operational,2014,Quảng Nam,0,PDP VII Revised,,At threshold; uses local coal
Nhiệt điện Vũng Áng 1,Coal,Operational,2014–2015,Hà Tĩnh,0,PDP VII Revised,GEM Vietnam Tracker,One of the largest coal plants
Nhiệt điện Vũng Áng 2,Coal,Under construction,~2025–2026,Hà Tĩnh,0,PDP VII Revised; PDP VIII,GEM Vietnam Tracker,Japanese-backed BOT project
Nhiệt điện Vũng Áng 3,Coal,Cancelled / Converted to LNG (per PDP VIII),—,Hà Tĩnh,0,"PDP VIII (Decision 500/QĐ-TTg, 2023)",GEM Vietnam Tracker,Converted to LNG in PDP VIII
Nhiệt điện Formosa Hà Tĩnh,Coal,Operational,2015–2017,Hà Tĩnh,0,Company reports,GEM Vietnam Tracker,Captive power for steel complex; some power sold to grid
Nhiệt điện Nghi Sơn 1,Coal,Operational,2013–2014,Thanh Hóa,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,0,PDP VII Revised,GEM Vietnam Tracker,BOT contract; Japanese/Korean consortium
Nhiệt điện Thái Bình 1,Coal,Operational,2018,Thái Bình,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Thái Bình 2,Coal,Operational,2022–2023,Thái Bình,0,PDP VII Revised,GEM Vietnam Tracker,Long-delayed project; finally commissioned
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,First major foreign BOT coal plant; AES sold stake to POSCO Energy
Nhiệt điện Duyên Hải 1,Coal,Operational,2015–2016,Trà Vinh,0,PDP VII Revised,GEM Vietnam Tracker,Imported coal
Nhiệt điện Duyên Hải 2,Coal,Operational,2019,Trà Vinh,0,PDP VII Revised,GEM Vietnam Tracker,Malaysian BOT
Nhiệt điện Duyên Hải 3,Coal,Operational,2017–2018,Trà Vinh,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Duyên Hải 3 MR,Coal,Operational,2019,Trà Vinh,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Vĩnh Tân 1,Coal,Operational,2018–2019,Bình Thuận,0,PDP VII Revised,GEM Vietnam Tracker,Chinese BOT
Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014–2015,Bình Thuận,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Vĩnh Tân 3,Coal,Cancelled (per PDP VIII),—,Bình Thuận,0,PDP VIII,GEM Vietnam Tracker,Removed from PDP VIII; site may be repurposed for LNG
Nhiệt điện Vĩnh Tân 4,Coal,Operational,2017–2018,Bình Thuận,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Vĩnh Tân 4 MR,Coal,Operational,2019–2020,Bình Thuận,0,PDP VII Revised,GEM Vietnam Tracker,
Nhiệt điện Long Phú 1,Coal,Under construction (stalled),Delayed (originally ~2019),Sóc Trăng,0,PDP VII Revised,GEM Vietnam Tracker,Stalled due to US sanctions on Russian contractor (Power Machines); uncertain future
Nhiệt điện Long Phú 2,Coal,Cancelled / Converted to LNG (per PDP VIII),—,Sóc Trăng,0,PDP VIII,GEM Vietnam Tracker,Tata withdrew; converted to LNG in PDP VIII
Nhiệt điện Sông Hậu 1,Coal,Operational,2020–2022,Hậu Giang,0,PDP VII Revised,GEM Vietnam Tracker,Long delayed; finally operational
Nhiệt điện Sông Hậu 2,Coal,Cancelled (per PDP VIII),—,Hậu Giang,0,PDP VIII,GEM Vietnam Tracker,Removed from plan
Nhiệt điện An Khánh,Coal,Operational,2015,Thái Nguyên,0,PDP VII Revised,,
Nhiệt điện Thăng Long,Coal,Operational,2018,Quảng Ninh,0,PDP VII Revised,GEM Vietnam Tracker,Private developer
Nhiệt điện Hải Dương (BOT),Coal,Operational,2020–2021,Hải Dương,0,PDP VII Revised,GEM Vietnam Tracker,Malaysian-Chinese BOT
Nhiệt điện Ghềnh Ráng (Phú Mỹ 3 coal),Coal,Cancelled,—,Bình Định,0,PDP VIII,,Removed in planning
Nhiệt điện Công Thanh,Coal,Suspended / Cancelled,—,Thanh Hóa,0,PDP VII Revised,GEM Vietnam Tracker,Private; never progressed
Nhiệt điện Quỳnh Lập 1,Coal,Cancelled (per PDP VIII),—,Nghệ An,0,PDP VIII,GEM Vietnam Tracker,Removed from plan
Nhiệt điện Quỳnh Lập 2,Coal,Cancelled (per PDP VIII),—,Nghệ An,0,PDP VIII,GEM Vietnam Tracker,Removed from plan
Nhiệt điện Quảng Trạch 1,Coal,Under construction,~2025–2026,Quảng Bình,0,PDP VII Revised; PDP VIII,GEM Vietnam Tracker,
Nhiệt điện Quảng Trạch 2,Coal → LNG,Converted to LNG (per PDP VIII),—,Quảng Bình,0,PDP VIII,GEM Vietnam Tracker,Originally coal; now LNG in PDP VIII
Nhiệt điện Nam Định 1,Coal,Cancelled (per PDP VIII),—,Nam Định,0,PDP VIII,GEM Vietnam Tracker,Removed from plan
Nhiệt điện Lục Nam,Coal,Cancelled,—,Bắc Giang,0,PDP VIII,,Never progressed
Nhiệt điện Vân Phong 1,Coal,Cancelled / Converted to LNG,—,Khánh Hòa,0,PDP VIII,GEM Vietnam Tracker,Sumitomo withdrew from coal; site for LNG
Nhiệt điện Bình Thuận (Sơn Mỹ coal),Coal,Cancelled,—,Bình Thuận,0,PDP VIII,,Replaced by LNG plans
