name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
**Coal‑fired**,,,,,0,,,
Nhà máy Nhiệt điện Phả Lại 1,Coal,Operational,1984‑1986,Hải Dương,0,N/A,N/A,Older units; some may be retired/upgraded
Nhà máy Nhiệt điện Phả Lại 2,Coal,Operational,2001,Hải Dương,0,N/A,N/A,
Nhà máy Nhiệt điện Uông Bí MR,Coal,Operational,2007,Quảng Ninh,0,N/A,N/A,Uong Bi 1 old units below 30 MW each
Nhà máy Nhiệt điện Quảng Ninh 1,Coal,Operational,2009‑2010,Quảng Ninh,0,N/A,N/A,
Nhà máy Nhiệt điện Quảng Ninh 2,Coal,Operational,2012‑2013,Quảng Ninh,0,N/A,N/A,
Nhà máy Nhiệt điện Hải Phòng 1,Coal,Operational,2003‑2005,Hải Phòng,0,N/A,N/A,
Nhà máy Nhiệt điện Hải Phòng 2,Coal,Operational,2012,Hải Phòng,0,N/A,N/A,
Nhà máy Nhiệt điện Mạo Khê,Coal,Operational,2012‑2013,Quảng Ninh,0,N/A,N/A,
Nhà máy Nhiệt điện Cẩm Phả 1,Coal,Operational,2011‑2012,Quảng Ninh,0,N/A,N/A,
Nhà máy Nhiệt điện Cẩm Phả 2,Coal,Operational,2013,Quảng Ninh,0,N/A,N/A,
Nhà máy Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,N/A,N/A,
Nhà máy Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,N/A,N/A,
Nhà máy Nhiệt điện Nghi Sơn 1,Coal,Operational,2013‑2014,Thanh Hóa,0,N/A,N/A,
Nhà máy Nhiệt điện Nghi Sơn 2,Coal,Operational,2021‑2022,Thanh Hóa,0,N/A,N/A,
Nhà máy Nhiệt điện Vũng Áng 1,Coal,Operational,2014‑2015,Hà Tĩnh,0,N/A,N/A,
Nhà máy Nhiệt điện Vũng Áng 2,Coal,Cancelled,‑,Hà Tĩnh,0,N/A,N/A,Cancelled in 2023
Nhà máy Nhiệt điện Thái Bình 1,Coal,Operational,2016,Thái Bình,0,N/A,N/A,
Nhà máy Nhiệt điện Thái Bình 2,Coal,Under construction,2024 (expected),Thái Bình,0,N/A,N/A,Delayed; contractor disputes
Nhà máy Nhiệt điện Na Dương 1,Coal,Operational,2001,Lạng Sơn,0,N/A,N/A,
Nhà máy Nhiệt điện Na Dương 2,Coal,Operational,2019,Lạng Sơn,0,N/A,N/A,
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,0,N/A,N/A,
Nhà máy Nhiệt điện Duyên Hải 2,Coal,Operational,2018‑2019,Trà Vinh,0,N/A,N/A,Exact unit size uncertain
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Cancelled,‑,Trà Vinh,0,N/A,N/A,Removed from PDP8
Nhà máy Nhiệt điện Vĩnh Tân 1,Coal,Operational,2018,Bình Thuận,0,N/A,N/A,
Nhà máy Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014‑2015,Bình Thuận,0,N/A,N/A,
Nhà máy Nhiệt điện Vĩnh Tân 3,Coal,Under construction,Unit‑1: 2023; rest 2024‑2025,Bình Thuận,0,N/A,N/A,Unit 1 commissioned April 2023
Nhà máy Nhiệt điện Vĩnh Tân 4,Coal,Operational,2019‑2020,Bình Thuận,0,N/A,N/A,
Nhà máy Nhiệt điện Vĩnh Tân 4 MR,Coal,Planned (suspended),‑,Bình Thuận,0,N/A,N/A,Unclear status; likely suspended
Nhà máy Nhiệt điện Sông Hậu 1,Coal,Operational,2021‑2022,Hậu Giang,0,N/A,N/A,
Nhà máy Nhiệt điện Sông Hậu 2,Coal,Cancelled,‑,Hậu Giang,0,N/A,N/A,Cancelled in PDP8
Nhà máy Nhiệt điện Long Phú 1,Coal,Under construction (suspended),2028 (tentative),Sóc Trăng,0,N/A,N/A,Halted after Russian contractor left; may resume
Nhà máy Nhiệt điện Long Phú 2,Coal,Cancelled,‑,Sóc Trăng,0,N/A,N/A,Tata withdrew; project cancelled
Nhà máy Nhiệt điện Long Phú 3,Coal,Cancelled,‑,Sóc Trăng,0,N/A,N/A,Cancelled
Nhà máy nhiệt điện Formosa Hà Tĩnh,Coal,Operational,2016‑2018,Hà Tĩnh,0,N/A,N/A,Captive plant for steel mill
