name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện Phả Lại,Coal,Operational,"1995 (Unit 1), 2001 (Unit 2)",Hải Dương,0,"[EVN Annual Report 2022, p. 37](https://www.evn.com.vn/UserPages/Uploads/20230418/BCSXKD%202022%20EVN.pdf)","[MOIT Power Development Plan VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",Units commissioned in phases
Nhà máy Nhiệt điện Ninh Bình,Coal,Operational,"1974, 1983",Ninh Bình,0,"[EVN Annual Report 2022, p. 37](https://www.evn.com.vn/UserPages/Uploads/20230418/BCSXKD%202022%20EVN.pdf)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)","Older plant, units >30MWe retained"
Nhà máy Nhiệt điện Uông Bí,Coal,Operational,1964–2009,Quảng Ninh,0,"[EVN Annual Report 2022, p. 37](https://www.evn.com.vn/UserPages/Uploads/20230418/BCSXKD%202022%20EVN.pdf)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",Includes Uong Bi I (3×110) and Uong Bi II (1×300)
Nhà máy Nhiệt điện Cao Ngạn,Coal,Operational,"1982, 1984",Thái Nguyên,0,"[EVN Annual Report 2022, p. 37](https://www.evn.com.vn/UserPages/Uploads/20230418/BCSXKD%202022%20EVN.pdf)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",Total capacity <30MWe per unit but retained as legacy asset in official lists
Nhà máy Nhiệt điện Hải Phòng,Coal,Operational,"2011 (Unit 1), 2012 (Unit 2)",Hải Phòng,0,"[EVN Annual Report 2022, p. 37](https://www.evn.com.vn/UserPages/Uploads/20230418/BCSXKD%202022%20EVN.pdf)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",
Nhà máy Nhiệt điện Vĩnh Tân 2,Coal,Operational,"2014 (Unit 1), 2015 (Unit 2)",Bình Thuận,0,[CSG Project Page](https://www.csg.cn/en/gywm/qywh/qywh_3/202112/t20211229_186561.html),"[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",BOT project
Nhà máy Nhiệt điện Vĩnh Tân 4,Coal,Operational,"2017 (Unit 1), 2018 (Unit 2)",Bình Thuận,0,"[PV Power Annual Report 2022, p. 21](https://www.pvpower.vn/en/Portals/0/Uploads/2023/04/18/Bao-cao-tai-chinh-nam-2022.pdf)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,"2015 (Unit 1), 2016 (Unit 2)",Trà Vinh,0,"[EVN Annual Report 2022, p. 37](https://www.evn.com.vn/UserPages/Uploads/20230418/BCSXKD%202022%20EVN.pdf)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Operational,"2016 (Unit 1), 2017 (Unit 2)",Trà Vinh,0,"[PV Power Annual Report 2022, p. 21](https://www.pvpower.vn/en/Portals/0/Uploads/2023/04/18/Bao-cao-tai-chinh-nam-2022.pdf)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",
Nhà máy Nhiệt điện Thái Bình 2,Coal,Operational,"2023 (Unit 1), 2024 (Unit 2)",Thái Bình,0,"[PetroVietnam News, Feb 2023](https://www.pvn.vn/en/news/PetroVietnam/Thai-Binh-2-Thermal-Power-Plant-Unit-1-commercially-operational)","[MOIT PDP VIII, Appendix 4](https://moit.gov.vn/en/tin-tuc/Pages/Power-Development-Plan-VIII-approved-by-Prime-Ministers-decision-No-500-QD-TTg.aspx)",Long-delayed project; Unit 1 COD confirmed 2023
