name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhiệt điện Phả Lại,Coal,Operational,"1992, 1994",Hải Dương,0,[EVN PDP VIII Summary](https://www.evn.com.vn/c3/hoat-dong-san-xuat-kinh-doanh/so-luoc-quy-hoach-phat-trien-dien-luc-quoc-gia-thoi-ky-2021-2030-tam-nhin-den-nam-2050-pdp-viii-23355.aspx),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),Units 1 & 2
Nhiệt điện Uông Bí,Coal,Operational,"2005, 2009",Quảng Ninh,0,[EVN PDP VIII Summary](https://www.evn.com.vn/c3/hoat-dong-san-xuat-kinh-doanh/so-luoc-quy-hoach-phat-trien-dien-luc-quoc-gia-thoi-ky-2021-2030-tam-nhin-den-nam-2050-pdp-viii-23355.aspx),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),Units 1 & 2 (Uong Bi II)
Nhiệt điện Ninh Bình,Coal,Retired,"1974, 1983",Ninh Bình,0,[PDP VII Rev.](https://moit.gov.vn/en/Pages/Quy-hoach-dien-VII-dieu-chinh.aspx),[Global Energy Monitor (GEM) - Ninh Binh](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/ninh-binh-thermal-power-plant/),Retired 2015
Nhiệt điện Hải Phòng,Coal,Operational,"2011, 2012, 2014, 2015",Hải Phòng,0,[EVN PDP VIII Summary](https://www.evn.com.vn/c3/hoat-dong-san-xuat-kinh-doanh/so-luoc-quy-hoach-phat-trien-dien-luc-quoc-gia-thoi-ky-2021-2030-tam-nhin-den-nam-2050-pdp-viii-23355.aspx),[GEM - Hai Phong](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/hai-phong-thermal-power-plant/),Units 1-4
Nhiệt điện Vĩnh Tân 2,Coal,Operational,"2014, 2015",Bình Thuận,0,[GEM - Vinh Tan 2](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/vinh-tan-2-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Vĩnh Tân 4,Coal,Operational,"2017, 2018",Bình Thuận,0,[GEM - Vinh Tan 4](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/vinh-tan-4-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Operational,2020,Bình Thuận,0,[GEM - Vinh Tan 4 Extension](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/vinh-tan-4-extension-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Duyên Hải 1,Coal,Operational,"2015, 2016",Trà Vinh,0,[GEM - Duyen Hai 1](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/duyen-hai-1-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Duyên Hải 2,Coal,Operational,"2015, 2016",Trà Vinh,0,[GEM - Duyen Hai 2](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/duyen-hai-2-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Duyên Hải 3,Coal,Operational,"2018, 2019",Trà Vinh,0,[GEM - Duyen Hai 3](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/duyen-hai-3-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Thái Bình 1,Coal,Operational,"2018, 2019",Thái Bình,0,[GEM - Thai Binh 1](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/thai-binh-1-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,0,[GEM - Mong Duong 1](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/mong-duong-1-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,0,[GEM - Mong Duong 2](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/mong-duong-2-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Long Phú 1,Coal,Suspended,N/A,Sóc Trăng,0,[GEM - Long Phu 1](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/long-phu-1-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),"Construction halted 2018, likely cancelled"
Nhiệt điện Vĩnh Tân 3,Coal,Cancelled,N/A,Bình Thuận,0,[GEM - Vinh Tan 3](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/vinh-tan-3-thermal-power-plant/),[PDP VIII](https://moit.gov.vn/en/Pages/Quy-hoach-dien-VIII.aspx),Removed from PDP VIII
Nhiệt điện Thái Bình 2,Coal,Under construction,~2025 (est.),Thái Bình,0,[GEM - Thai Binh 2](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/thai-binh-2-thermal-power-plant/),[PDP VIII](https://moit.gov.vn/en/Pages/Quy-hoach-dien-VIII.aspx),Resumed construction 2023 after delays
Nhiệt điện Quảng Trạch 1,Coal,Approved,~2028 (est.),Quảng Bình,0,[PDP VIII](https://moit.gov.vn/en/Pages/Quy-hoach-dien-VIII.aspx),[GEM - Quang Trach 1](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/quang-trach-1-thermal-power-plant/),Included in PDP VIII
Nhiệt điện Quảng Trạch 2,Coal,Approved,~2030 (est.),Quảng Bình,0,[PDP VIII](https://moit.gov.vn/en/Pages/Quy-hoach-dien-VIII.aspx),[GEM - Quang Trach 2](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/quang-trach-2-thermal-power-plant/),Included in PDP VIII
Nhiệt điện Na Dương,Coal,Operational,2011,Lạng Sơn,0,[GEM - Na Duong](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/na-duong-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Cao Ngạn,Coal,Operational,2011,Thái Nguyên,0,[GEM - Cao Ngan](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/cao-ngan-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Nghi Sơn 1,Coal,Operational,"2019, 2020",Thanh Hóa,0,[GEM - Nghi Son 1](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/nghi-son-1-thermal-power-plant/),[IEA Vietnam 2022](https://www.iea.org/reports/viet-nam-energy-outlook-2022),
Nhiệt điện Nghi Sơn 2,Coal,Cancelled,N/A,Thanh Hóa,0,[GEM - Nghi Son 2](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/nghi-son-2-thermal-power-plant/),[PDP VIII](https://moit.gov.vn/en/Pages/Quy-hoach-dien-VIII.aspx),Removed from PDP VIII
Nhiệt điện Sông Hậu 1,Coal,Cancelled,N/A,Hậu Giang,0,[GEM - Song Hau 1](https://globalenergymonitor.org/projects/global-coal-plant-tracker/plant/song-hau-1-thermal-power-plant/),[PDP VIII](https://moit.gov.vn/en/Pages/Quy-hoach-dien-VIII.aspx),Removed from PDP VIII
