name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Điện Phú Mỹ 1,Domestic Gas,Operational,1994,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 2,Domestic Gas,Operational,1994,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 2-1,Domestic Gas,Operational,1995,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 2-2,Domestic Gas,Operational,1996,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 3,Domestic Gas,Operational,1997,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 4,Domestic Gas,Operational,1998,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 5,Domestic Gas,Operational,1999,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 6,Domestic Gas,Operational,2000,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 7,Domestic Gas,Operational,2001,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 8,Domestic Gas,Operational,2002,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 9,Domestic Gas,Operational,2003,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Phú Mỹ 10,Domestic Gas,Operational,2004,Ba Ria-Vung Tau,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Phu My Complex
Nhà máy Điện Uông Bí 1,Coal,Operational,1994,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 2,Coal,Operational,1995,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 3,Coal,Operational,1996,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 4,Coal,Operational,1997,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 5,Coal,Operational,1998,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 6,Coal,Operational,1999,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 7,Coal,Operational,2000,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 8,Coal,Operational,2001,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 9,Coal,Operational,2002,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Uông Bí 10,Coal,Operational,2003,Quang Ninh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Uong Bi Complex
Nhà máy Điện Thái Bình 1,Coal,Operational,2010,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 2,Coal,Operational,2011,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 3,Coal,Operational,2012,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 4,Coal,Operational,2013,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 5,Coal,Operational,2014,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 6,Coal,Operational,2015,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 7,Coal,Operational,2016,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 8,Coal,Operational,2017,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 9,Coal,Operational,2018,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 10,Coal,Operational,2019,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 11,Coal,Operational,2020,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 12,Coal,Operational,2021,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 13,Coal,Operational,2022,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 14,Coal,Operational,2023,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
Nhà máy Điện Thái Bình 15,Coal,Operational,2024,Thai Binh,0,https://www.evn.com.vn,https://www.moit.gov.vn,Part of Thai Binh Complex
