match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy_capacity_diff,An Khánh 1,An Khánh,thai nguyen,thai nguyen,coal,coal,116.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Bà Rịa GT,Bắc Ái,ba ria - vung tau,ninh thuan,gas,imported gas,46.0,0.0,100.0,False,False,False,,,72.72727272727273
fuzzy_capacity_diff,Bạc Liêu 1,Bạc Liêu LNG,bac lieu,bac lieu,coal,imported gas,1200.0,0.0,100.0,False,False,True,,,94.73684210526316
exact_capacity_diff,Cao Ngạn,Mỹ Hưng 1,thai nguyen,binh phuoc,coal,coal,114.0,0.0,100.0,True,False,False,,,40.0
fuzzy_capacity_diff,Cà Mau I,Cà Mau LNG,ca mau,ca mau,gas,imported gas,771.0,0.0,100.0,False,False,True,,,93.33333333333333
fuzzy_capacity_diff,Cà Mau II,Cà Mau,ca mau,ca mau,gas,unknown,771.0,0.0,100.0,False,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Cẩm Phả,quang ninh,quang ninh,coal,coal,340.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Trà Vinh LNG,đong nai,tra vinh,coal,imported gas,150.0,0.0,100.0,False,False,False,,,33.333333333333336
exact_capacity_diff,Dong Nai Formosa,Đà Nẵng LNG,đong nai,đa nang,coal,imported gas,300.0,0.0,100.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Sông Hậu 3,lao cai,hau giang,coal,coal,100.0,0.0,100.0,True,False,False,,,50.0
exact,Duyen Hai 1,Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,True,True,,,100.0
exact,Duyen Hai 2,Duyên Hải 2 (Phase 1),tra vinh,tra vinh,coal,coal,600.0,0.0,100.0,True,True,True,,,100.0
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,True,True,,,100.0
exact,Duyên Hải 2,Duyên Hải 2 (Phase 2),tra vinh,tra vinh,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact,Hai Duong,Hải Dương,hai duong,hai duong,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Khánh Hòa LNG,quang ninh,khanh hoa,coal,imported gas,150.0,0.0,100.0,False,False,False,,,60.0
fuzzy_capacity_diff,Hai Phong 1,Hải Phòng LNG,hai phong,hai phong,coal,imported gas,600.0,0.0,100.0,False,False,True,,,95.23809523809523
exact,Hải Phòng,Hải Phòng,hai phong,hai phong,gas,coal,500.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Bình Định,Bình Định LNG,binh đinh,binh đinh,gas,imported gas,5000.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase I),Hiệp Phước LNG,tp ho chi minh,ho chi minh,gas,imported gas,1200.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Hà Tĩnh LNG,ha tinh,ha tinh,gas,imported gas,6000.0,0.0,100.0,False,False,True,,,100.0
exact,LNG Nhơn Trạch 3,Nhơn Trạch 3,đong nai,đong nai,gas,imported gas,750.0,0.0,100.0,False,True,True,,,100.0
exact,LNG Nhơn Trạch 4,Nhơn Trạch 4,đong nai,đong nai,gas,imported gas,750.0,0.0,100.0,False,True,True,,,100.0
exact,LNG Quảng Ninh 1 (Cẩm Phả),Quảng Ninh 1,quang ninh,quang ninh,gas,coal,1500.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Sơn Mỹ I,Sơn Mỹ,binh thuan,binh thuan,gas,imported gas,2250.0,0.0,100.0,False,False,True,,,100.0
exact,LNG Sơn Mỹ II,Sơn Mỹ 2,binh thuan,binh thuan,gas,imported gas,2250.0,0.0,100.0,False,True,True,,,100.0
exact,LNG Thái Bình,Thái Bình,thai binh,thai binh,gas,coal,4500.0,0.0,100.0,False,False,True,,,100.0
exact_capacity_diff,Lee & Man,Quảng Ngãi LNG,hau giang,quang ngai,coal,imported gas,125.0,0.0,100.0,False,False,False,,,33.333333333333336
exact,Long Phú 1,Long Phú 1,soc trang,soc trang,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact,Long Phú 2,Long Phú 2,soc trang,soc trang,coal,coal,1320.0,0.0,100.0,True,False,True,,,100.0
exact,Long Phú 3,Long Phú 3,soc trang,soc trang,coal,coal,1800.0,0.0,100.0,True,False,True,,,100.0
exact,Mao Khe,Mạo Khê,quang ninh,quang ninh,coal,coal,440.0,0.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Na Dương 1,Na Dương,lang son,lang son,coal,coal,110.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Na Dương 2,Nghệ An LNG,lang son,nghe an,coal,imported gas,110.0,0.0,100.0,False,False,False,,,53.333333333333336
exact,Nghi Son 1,Nghi Sơn 1,thanh hoa,thanh hoa,coal,coal,600.0,0.0,100.0,True,True,True,,,100.0
exact,Nghi Son 2,Nghi Sơn 2,thanh hoa,thanh hoa,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact,Ninh Binh,Ninh Bình,ninh binh,ninh binh,coal,coal,100.0,0.0,100.0,True,False,True,,,100.0
fuzzy_capacity_diff,Ninh Thuan Novatek project,Ninh Thuận 2,ninh thuan,ninh thuan,gas,coal,4500.0,0.0,100.0,False,False,True,,,95.65217391304348
exact_capacity_diff,Nong Son 1,Ninh Thuận 1,quang nam,ninh thuan,coal,coal,30.0,0.0,100.0,True,False,False,,,50.0
exact_capacity_diff,NĐ Cần Thơ,Bình Thuận LNG,can tho,binh thuan,unknown,imported gas,165.0,0.0,100.0,False,False,False,,,50.0
fuzzy_capacity_diff,NĐ Hiệp Phước,Hiệp Phước,tp ho chi minh,ho chi minh,unknown,unknown,310.0,0.0,100.0,True,True,False,,,100.0
exact_capacity_diff,NĐ LNG miền Bắc,Bình Dương LNG,"thai binh, nam đinh, nghi son, thanh hoa",binh duong,gas,imported gas,0.0,0.0,,False,False,False,,,50.0
fuzzy_capacity_diff,NĐ Thủ Đức,Thủ Đức,tp ho chi minh,ho chi minh,gas,unknown,290.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,Phả Lại 1,Phả Lại,hai duong,hai duong,coal,coal,440.0,0.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Quang Ninh 1,Quảng Ninh LNG,quang ninh,quang ninh,gas,imported gas,600.0,0.0,100.0,False,False,True,,,95.65217391304348
exact,Quang Ninh 2,Quảng Ninh 2,quang ninh,quang ninh,gas,coal,600.0,0.0,100.0,False,False,True,,,100.0
exact,Quang Ninh 3,Quảng Ninh 3,quang ninh,quang ninh,gas,coal,1200.0,0.0,100.0,False,False,True,,,100.0
exact_capacity_diff,Son Dong,Kiên Giang LNG,bac giang,kien giang,coal,imported gas,220.0,0.0,100.0,False,False,False,,,57.14285714285714
exact,Sông Hậu 1,Sông Hậu 1,hau giang,hau giang,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact,Sông Hậu 2,Sông Hậu 2,hau giang,hau giang,coal,coal,2000.0,0.0,100.0,True,False,True,,,100.0
exact_capacity_diff,TBKHH Bà Rịa 1,Sơn Động,ba ria - vung tau,bac giang,gas,coal,169.0,0.0,100.0,False,True,False,,,19.999999999999996
fuzzy_capacity_diff,TBKHH Bà Rịa 2,Bà Rịa,ba ria - vung tau,ba ria‑vung tau,gas,unknown,175.0,0.0,100.0,False,False,False,,,100.0
exact,TBKHH Dung Quất I,Dung Quất 1,quang ngai,quang ngai,gas,coal,750.0,0.0,100.0,False,False,True,,,100.0
exact,TBKHH Dung Quất II,Dung Quất 2,quang ngai,quang ngai,gas,coal,750.0,0.0,100.0,False,False,True,,,100.0
exact,TBKHH Nhơn Trạch I,Nhơn Trạch 1,đong nai,đong nai,gas,unknown,465.0,0.0,100.0,False,True,True,,,100.0
exact,TBKHH Nhơn Trạch II,Nhơn Trạch 2,đong nai,đong nai,gas,unknown,750.0,0.0,100.0,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 1,Phú Mỹ LNG,ba ria - vung tau,ba ria‑vung tau,gas,imported gas,1140.0,0.0,100.0,False,False,False,,,93.33333333333333
exact,TBKHH Phú Mỹ 2.1,Phú Mỹ 2.1,ba ria - vung tau,ba ria‑vung tau,gas,unknown,499.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.1 MR,Phú Mỹ 1,ba ria - vung tau,ba ria‑vung tau,gas,unknown,450.0,0.0,100.0,False,True,False,,,93.33333333333333
exact,TBKHH Phú Mỹ 2.2,Phú Mỹ 2.2,ba ria - vung tau,ba ria‑vung tau,gas,unknown,740.0,0.0,100.0,False,True,False,,,100.0
exact,TBKHH Phú Mỹ 3,Phú Mỹ 3,ba ria - vung tau,ba ria‑vung tau,gas,unknown,740.0,0.0,100.0,False,True,False,,,100.0
exact,TBKHH Phú Mỹ 4,Phú Mỹ 4,ba ria - vung tau,ba ria‑vung tau,gas,unknown,468.0,0.0,100.0,False,True,False,,,100.0
exact,TBKHH Quảng Trị (khí Báo Vàng),Quảng Trị,quang tri,quang tri,gas,coal,340.0,0.0,100.0,False,False,True,,,100.0
exact,TBKHH Ô Môn I,Ô Môn 1,can tho,can tho,gas,unknown,660.0,0.0,100.0,False,False,True,,,100.0
exact,TBKHH Ô Môn II,Ô Môn 2,can tho,can tho,gas,unknown,1050.0,0.0,100.0,False,False,True,,,100.0
exact,TBKHH Ô Môn III,Ô Môn 3,can tho,can tho,gas,unknown,1050.0,0.0,100.0,False,True,True,,,100.0
exact,TBKHH Ô Môn IV,Ô Môn 4,can tho,can tho,gas,unknown,1050.0,0.0,100.0,False,False,True,,,100.0
fuzzy_capacity_diff,Thái Bình 1,Thái Bình LNG,thai binh,thai binh,coal,imported gas,600.0,0.0,100.0,False,False,True,,,95.23809523809523
exact,Thái Bình 2,Thái Bình 2,thai binh,thai binh,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
fuzzy_capacity_diff,Uong Bi I,Uông Bí,quang ninh,quang ninh,coal,coal,105.0,0.0,100.0,True,False,True,,,100.0
exact_capacity_diff,Vedan Vietnam Cogeneration power station,Vũng Tàu LNG,đong nai,ba ria‑vung tau,coal,imported gas,60.0,0.0,100.0,False,False,False,,,43.47826086956522
exact,Vinh Tan 1,Vĩnh Tân 1,binh thuan,binh thuan,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact,Vinh Tan 2,Vĩnh Tân 2,binh thuan,binh thuan,coal,coal,1244.0,0.0,100.0,True,True,True,,,100.0
exact,Vinh Tan 3,Vĩnh Tân 3,binh thuan,binh thuan,coal,coal,1980.0,0.0,100.0,True,False,True,,,100.0
exact,Vinh Tan 4,Vĩnh Tân 4,binh thuan,binh thuan,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact,Vinh Tan 4 extension,Vĩnh Tân 4 Extension,binh thuan,binh thuan,coal,coal,600.0,0.0,100.0,True,True,True,,,100.0
exact,Vung Ang 1,Vũng Áng 1,ha tinh,ha tinh,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact,Vung Ang 2,Vũng Áng 2,ha tinh,ha tinh,coal,coal,1330.0,0.0,100.0,True,False,True,,,100.0
exact,Vân Phong 1,Vân Phong 1,khanh hoa,khanh hoa,coal,coal,1432.0,0.0,100.0,True,False,True,,,100.0
reference_only,An Khánh - Bac Giang,,bac giang,,coal,,650.0,,,,,,,,
reference_only,Cam Pha 3,,quang ninh,,coal,,440.0,,,,,,,,
reference_only,Cong Thanh,,thanh hoa,,coal,,600.0,,,,,,,,
reference_only,Cẩm Phả 2,,quang ninh,,coal,,340.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase I,,quang ngai,,coal,,2400.0,,,,,,,,
reference_only,Dung Quat Special Economic Zone (J-Power) Phase II,,quang ngai,,coal,,2000.0,,,,,,,,
reference_only,Duyen Hai 3 Extension,,tra vinh,,coal,,660.0,,,,,,,,
reference_only,Formosa HT2,,ha tinh,,coal,,650.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Ha Tinh Formosa Plastics Steel Complex,,ha tinh,,coal,,450.0,,,,,,,,
reference_only,Hai Ha CHP Phase 2,,quang ninh,,coal,,750.0,,,,,,,,
reference_only,Hai Ha CHP Phase 3,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,Hai Ha CHP Phase 4,,quang ninh,,coal,,600.0,,,,,,,,
reference_only,Hai Phong 2,,hai phong,,coal,,600.0,,,,,,,,
reference_only,Hai Phong 3,,hai phong,,coal,,1200.0,,,,,,,,
reference_only,LNG Bà Rịa 2,,ba ria - vung tau,,gas,,1200.0,,,,,,,,
