match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh 1,Nhà máy Nhiệt điện Cần Thơ 3 (LNG),thai nguyen,can tho,coal,imported gas,116.0,0.0,100.0,False,False,False,,,60.0
exact_capacity_diff,Bà Rịa GT,Nhà máy Nhiệt điện Cẩm Phả,ba ria - vung tau,quang ninh,gas,coal,46.0,0.0,100.0,False,True,False,,,47.05882352941176
exact_capacity_diff,Cao Ngạn,Nhà máy Nhiệt điện Phú Mỹ 15 (LNG),thai nguyen,ba ria–vung tau,coal,imported gas,114.0,0.0,100.0,False,False,False,,,50.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy Nhiệt điện Cà Mau 1–2,ca mau,ca mau,gas,unknown,771.0,0.0,100.0,False,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Nhà máy Nhiệt điện Duyên Hải 5–6,đong nai,tra vinh,coal,coal,150.0,0.0,100.0,True,False,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy Nhiệt điện Duyên Hải 1–2 (Gas),lao cai,tra vinh,coal,unknown,100.0,0.0,100.0,False,False,False,,,36.36363636363637
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy Nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 2,Nhà máy Nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,600.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy Nhiệt điện Duyên Hải 4,tra vinh,tra vinh,coal,coal,1244.0,0.0,100.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyên Hải 2,Nhà máy Nhiệt điện Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,0.0,100.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhà máy Nhiệt điện Phú Mỹ 16 (LNG),quang ninh,ba ria–vung tau,coal,imported gas,150.0,0.0,100.0,False,False,False,,,50.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nhà máy Nhiệt điện Nghi Sơn 3,thanh hoa,thanh hoa,gas,coal,5000.0,0.0,100.0,False,False,True,,,100.0
exact_capacity_diff,Lee & Man,Nhà máy Nhiệt điện Cà Mau 3 (LNG),hau giang,ca mau,coal,imported gas,125.0,0.0,100.0,False,False,False,,,55.55555555555556
fuzzy_capacity_diff,Na Dương 1,Nhà máy Nhiệt điện Mông Dương 1 & 2,lang son,quang ninh,coal,coal,110.0,0.0,100.0,True,True,False,,,90.0
exact_capacity_diff,Na Dương 2,Nhà máy Nhiệt điện Phú Quý,lang son,binh thuan,coal,unknown,110.0,0.0,100.0,False,True,False,,,44.44444444444444
fuzzy_capacity_diff,Nghi Son 1,Nhà máy Nhiệt điện Nghi Sơn 1,thanh hoa,thanh hoa,coal,coal,600.0,0.0,100.0,True,True,True,,,100.0
