match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh 1,Nhà máy Na Dương,thai nguyen,lang son,coal,coal,116.0,110.0,5.2,True,True,False,,,57.14285714285714
exact_capacity_diff,Bà Rịa GT,Nhà máy Vĩnh Tân 3,ba ria - vung tau,1980,gas,coal,46.0,0.0,100.0,False,False,False,,,55.55555555555556
fuzzy_capacity_diff,Bạc Liêu 1,Nhà máy Bạc Liêu LNG,bac lieu,3200,coal,imported gas,1200.0,0.0,100.0,False,False,False,,,90.0
fuzzy_capacity_diff,Cao Ngạn,Nhà máy Cao Ngạn,thai nguyen,phu tho,coal,coal,114.0,100.0,12.3,True,True,False,,,100.0
fuzzy_capacity_diff,Cong Thanh,Nhà máy KCN Long Thành,thanh hoa,90,coal,unknown,600.0,0.0,100.0,False,False,False,,,94.73684210526316
fuzzy_capacity_diff,Cà Mau I,Nhà máy Cà Mau 1,ca mau,750,gas,unknown,771.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy Cà Mau 2,ca mau,750,gas,unknown,771.0,0.0,100.0,False,True,False,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy Tua bin khí dầu Đà Nẵng,quang ninh,90,coal,unknown,340.0,0.0,100.0,False,True,False,,,47.05882352941176
exact_capacity_diff,Cẩm Phả 2,Nhà máy Dầu khí Biên Hòa,quang ninh,0,coal,unknown,340.0,0.0,100.0,False,False,False,,,47.05882352941176
exact_capacity_diff,Dong Nai Formosa,Nhà máy KCN VSIP 2,đong nai,80,coal,unknown,150.0,0.0,100.0,False,False,False,,,45.45454545454546
exact_capacity_diff,Dong Nai Formosa,Nhà máy Nhiệt điện dầu Cần Thơ,đong nai,80,coal,unknown,300.0,0.0,100.0,False,False,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy Rồng Đỏi,lao cai,100,coal,unknown,100.0,0.0,100.0,False,False,False,,,43.75
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1320.0,6.1,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1240.0,0.3,True,True,True,,,90.9090909090909
fuzzy,Duyên Hải 2,Nhà máy Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhà máy Sư Tử Đen,quang ninh,120,coal,unknown,150.0,0.0,100.0,False,False,False,,,42.85714285714286
fuzzy,Hai Phong 1,Nhà máy Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Hai Phong 2,Nhà máy Hải Phòng 3,hai phong,1200,coal,coal,600.0,0.0,100.0,True,False,False,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 3,Nhà máy Hải Phòng 2,hai phong,hai phong,coal,coal,1200.0,660.0,45.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Hải Phòng,Nhà máy Nhiệt điện dầu Hải Phòng,hai phong,90,gas,unknown,500.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase I),Nhà máy Hiệp Phước LNG,tp ho chi minh,3000,gas,imported gas,1200.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Nhà máy Formosa Hà Tĩnh,ha tinh,ha tinh,gas,coal,6000.0,1500.0,75.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn,Nhà máy Nông Sơn,ba ria - vung tau,quang nam,gas,coal,1200.0,300.0,75.0,False,False,False,,,93.33333333333333
fuzzy_capacity_diff,LNG Long Sơn IV (địa điểm Tây),Nhà máy Long Sơn LNG,ba ria - vung tau,1200,gas,imported gas,3600.0,0.0,100.0,False,True,False,,,90.0
fuzzy_capacity_diff,LNG Mũi Kê Gà 1,Nhà máy Mũi Ké Ga LNG,binh thuan,1500,gas,imported gas,1200.0,0.0,100.0,False,True,False,,,90.9090909090909
fuzzy_capacity_diff,LNG Mỹ Giang,Nhà máy My Giang LNG,khanh hoa,2000,gas,imported gas,6000.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nhà máy Nghi Sơn 2,thanh hoa,thanh hoa,gas,coal,5000.0,1200.0,76.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhà máy Nhơn Trách 3,đong nai,750,gas,imported gas,750.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhà máy KCN Nhơn Trách,đong nai,120,gas,unknown,750.0,0.0,100.0,False,False,False,,,90.9090909090909
fuzzy_capacity_diff,LNG Sơn Mỹ I,Nhà máy Sơn Mỹ 1,binh thuan,2000,gas,imported gas,2250.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Sơn Mỹ II,Nhà máy Sơn Mỹ 2,binh thuan,2000,gas,imported gas,2250.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Thái Bình,Nhà máy Thái Bình 3,thai binh,1200,gas,coal,4500.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,LNG Vân Phong (J-Power),Nhà máy Văn Phong 1,khanh hoa,1200,gas,coal,3000.0,0.0,100.0,False,False,False,,,100.0
exact_capacity_diff,Lee & Man,Nhà máy Kien Luong 1,hau giang,1200,coal,coal,125.0,0.0,100.0,True,False,False,,,44.44444444444444
fuzzy_capacity_diff,Long Phú 1,Nhà máy Long Phú 3,soc trang,1200,coal,coal,1200.0,0.0,100.0,True,False,False,,,90.0
fuzzy_capacity_diff,Long Phú 2,Nhà máy Long Phú 2,soc trang,1200,coal,coal,1320.0,0.0,100.0,True,False,False,,,100.0
fuzzy_capacity_diff,Long Phú 3,Nhà máy Long Phú 1,soc trang,1200,coal,coal,1800.0,0.0,100.0,True,False,False,,,90.0
fuzzy_capacity_diff,Mong Duong 1,Nhà máy Mông Dương 1,quang ninh,quang ninh,coal,coal,1080.0,1000.0,7.4,True,True,True,,,100.0
fuzzy_capacity_diff,Mong Duong 2,Nhà máy Mông Dương 2,quang ninh,quang ninh,coal,coal,1240.0,1120.0,9.7,True,True,True,,,100.0
exact_capacity_diff,Na Dương 1,Nhà máy Quy Nhơn LNG,lang son,1500,coal,imported gas,110.0,0.0,100.0,False,False,False,,,53.333333333333336
exact_capacity_diff,Na Dương 2,Nhà máy Nhơn Trách 1,lang son,450,coal,unknown,110.0,0.0,100.0,False,True,False,,,50.0
fuzzy_capacity_diff,Nghi Son 1,Nhà máy Nghi Sơn LNG,thanh hoa,1500,coal,imported gas,600.0,0.0,100.0,False,False,False,,,90.0
fuzzy_capacity_diff,Nghi Son 2,Nhà máy Nghi Sơn 1,thanh hoa,thanh hoa,coal,coal,1200.0,600.0,50.0,True,True,True,,,90.0
exact_capacity_diff,Ninh Binh,Nhà máy Dầu khí Thái Bình,ninh binh,0,coal,unknown,100.0,0.0,100.0,False,False,False,,,80.0
exact_capacity_diff,Nong Son 1,Nhà máy Tua bin khí dầu TP HCM,quang nam,150,coal,unknown,30.0,0.0,100.0,False,True,False,,,33.333333333333336
exact_capacity_diff,NĐ Cần Thơ,Nhà máy Đình Cổ,can tho,220,unknown,unknown,165.0,0.0,100.0,True,True,False,,,53.333333333333336
exact_capacity_diff,NĐ Hiệp Phước,Nhà máy Phú Mỹ Phân Đạm,tp ho chi minh,150,unknown,unknown,310.0,0.0,100.0,True,True,False,,,50.0
exact_capacity_diff,NĐ LNG miền Bắc,Nhà máy KCN Đồng Nai,"thai binh, nam đinh, nghi son, thanh hoa",100,gas,unknown,0.0,0.0,,False,False,False,,,56.00000000000001
exact_capacity_diff,NĐ Thủ Đức,Nhà máy KCN Đình Cổ,tp ho chi minh,60,gas,unknown,290.0,0.0,100.0,False,True,False,,,53.333333333333336
exact_capacity_diff,Phả Lại 1,Nhà máy Hạ Long,hai duong,quang ninh,coal,coal,440.0,440.0,0.0,True,True,False,,,58.82352941176471
exact_capacity_diff,Phả Lại 2,Nhà máy Cẩm Phả,hai duong,quang ninh,coal,coal,600.0,600.0,0.0,True,True,False,,,58.82352941176471
fuzzy_capacity_diff,Quang Ninh 1,Nhà máy Quảng Ninh LNG,quang ninh,1500,gas,imported gas,600.0,0.0,100.0,False,False,False,,,91.66666666666666
fuzzy,Quang Ninh 2,Nhà máy Quảng Ninh 1,quang ninh,quang ninh,gas,coal,600.0,600.0,0.0,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,Quang Ninh 3,Nhà máy Quảng Ninh 2,quang ninh,quang ninh,gas,coal,1200.0,660.0,45.0,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,Quảng Trị 2,Nhà máy Quảng Trị 2,quang tri,1200,coal,coal,1200.0,0.0,100.0,True,False,False,,,100.0
exact_capacity_diff,Son Dong,Nhà máy Sơn Động,bac giang,quang ninh,coal,coal,220.0,220.0,0.0,True,True,False,,,87.5
fuzzy_capacity_diff,Sông Hậu 1,Nhà máy Sông Hậu 1,hau giang,1200,coal,coal,1200.0,0.0,100.0,True,False,False,,,100.0
fuzzy_capacity_diff,Sông Hậu 2,Nhà máy Sông Hậu 2,hau giang,1200,coal,coal,2000.0,0.0,100.0,True,False,False,,,100.0
fuzzy_capacity_diff,TBKHH Bà Rịa 1,Nhà máy Bà Rịa 1,ba ria - vung tau,360,gas,unknown,169.0,0.0,100.0,False,True,False,,,100.0
exact_capacity_diff,TBKHH Bà Rịa 2,Nhà máy Cửu Long,ba ria - vung tau,80,gas,unknown,175.0,0.0,100.0,False,False,False,,,50.0
fuzzy_capacity_diff,TBKHH Dung Quất I,Nhà máy Hòa Phát Dung Quất,quang ngai,quang ngai,gas,coal,750.0,600.0,20.0,False,False,True,,,90.0
fuzzy_capacity_diff,TBKHH Nhơn Trạch I,Nhà máy Nhơn Trách 4,đong nai,750,gas,imported gas,465.0,0.0,100.0,False,False,False,,,91.66666666666666
fuzzy_capacity_diff,TBKHH Nhơn Trạch II,Nhà máy Nhơn Trách 2,đong nai,750,gas,unknown,750.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 1,Nhà máy Phú Mỹ 1-3,ba ria - vung tau,3000,gas,unknown,1140.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 3,Nhà máy KCN Phú Mỹ 3-4,ba ria - vung tau,150,gas,unknown,740.0,0.0,100.0,False,True,False,,,100.0
fuzzy_capacity_diff,TBKHH Quảng Trị (khí Báo Vàng),Nhà máy Quảng Trị 1,quang tri,1200,gas,coal,340.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,TBKHH Ô Môn I,Nhà máy Ô Môn 1,can tho,330,gas,unknown,660.0,0.0,100.0,False,False,False,,,100.0
fuzzy_capacity_diff,TBKHH Ô Môn II,Nhà máy Ô Môn 2-4,can tho,750,gas,unknown,1050.0,0.0,100.0,False,False,False,,,100.0
fuzzy,Thái Bình 1,Nhà máy Thái Bình 1,thai binh,thai binh,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,Thái Bình 2,Nhà máy Thái Bình 2,thai binh,thai binh,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Uong Bi I,Nhà máy Nhiệt điện dầu Nha Trang,quang ninh,60,coal,unknown,105.0,0.0,100.0,False,False,False,,,36.36363636363637
exact_capacity_diff,Uong Bi I extension,Nhà máy Đại Hưng,quang ninh,60,coal,unknown,300.0,0.0,100.0,False,True,False,,,33.333333333333336
exact_capacity_diff,Uong Bi II extension,Nhà máy An Khánh,quang ninh,1200,coal,coal,330.0,0.0,100.0,True,False,False,,,32.25806451612904
