name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy Nhiệt điện An Khánh 1,Coal,Operational,2015,Thái Nguyên,120.0,,,
Nhà máy Nhiệt điện Cẩm Phả,Coal,Operational,2011,Quảng Ninh,680.0,,,
Nhà máy Nhiệt điện Cao Ngạn,Coal,Operational,2006,Thái Nguyên,0,,,
Nhà máy Nhiệt điện Đồng Nai (Formosa 1-2),Coal,Operational,2004,Đồng Nai,0,,,
Nhà máy Nhiệt điện Đồng Nai (Formosa 3),Coal,Operational,2018,Đồng Nai,150.0,,,
Nhà máy Nhiệt điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1245.0,,,
Nhà máy Nhiệt điện Duyên Hải 3,Coal,Operational,2017,Trà Vinh,1245.0,,,
Nhà máy Nhiệt điện Formosa Hà Tĩnh,Coal,Operational,2015,Hà Tĩnh,650.0,,,
Nhà máy Nhiệt điện Formosa Hà Tĩnh (Giai đoạn 2),Coal,Operational,2020,Hà Tĩnh,650.0,,,
Nhà máy Nhiệt điện Hải Phòng 1-2,Coal,Operational,2011-2014,Hải Phòng,0,,,
Nhà máy Nhiệt điện Lee & Man,Coal,Operational,2018,Hậu Giang,0,,,
Nhà máy Nhiệt điện Mạo Khê,Coal,Operational,2013,Quảng Ninh,0,,,
Nhà máy Nhiệt điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,1120.0,,,
Nhà máy Nhiệt điện Mông Dương 2,Coal,Operational,2015,Quảng Ninh,1245.0,,,
Nhà máy Nhiệt điện Na Dương 1,Coal,Operational,2005,Lạng Sơn,0,,,
Nhà máy Nhiệt điện Nghị Sơn 1,Coal,Operational,2013-2014,Thanh Hóa,0,,,
Nhà máy Nhiệt điện Ninh Bình,Coal,Operational,1976,Ninh Bình,0,,,
Nhà máy Nhiệt điện Nông Sơn 1,Coal,Operational,2015,Quảng Nam,30.0,,,
Nhà máy Nhiệt điện Phả Lại 1,Coal,Operational,1986,Hải Dương,0,,,
Nhà máy Nhiệt điện Phả Lại 2,Coal,Operational,2001,Hải Dương,0,,,
Nhà máy Nhiệt điện Quảng Ninh 1-2,Coal,Operational,2009-2014,Quảng Ninh,0,,,
Nhà máy Nhiệt điện Sơn Động,Coal,Operational,2009,Bắc Giang,0,,,
Nhà máy Nhiệt điện Thái Bình 1,Coal,Operational,2018,Thái Bình,0,,,
Nhà máy Nhiệt điện Thăng Long,Coal,Operational,2017-2018,Quảng Ninh,0,,,
Nhà máy Nhiệt điện Uông Bí 1 (mở rộng),Coal,Operational,2009,Quảng Ninh,300.0,,,
Nhà máy Nhiệt điện Uông Bí 1,Coal,Decommissioned (Retired 2021),1975-1976,Quảng Ninh,0,,,
Nhà máy Nhiệt điện Uông Bí 2 (mở rộng),Coal,Operational,2014,Quảng Ninh,330.0,,,
Nhà máy Cogeneration Vedan Vietnam,Coal,Operational,2015,Đồng Nai,60.0,,,
Nhà máy Nhiệt điện Vĩnh Tân 1,Coal,Operational,2018-2019,Bình Thuận,0,,,
Nhà máy Nhiệt điện Vĩnh Tân 2,Coal,Operational,2014,Bình Thuận,1245.0,,,
Nhà máy Nhiệt điện Vĩnh Tân 4,Coal,Operational,2017-2018,Bình Thuận,0,,,
Nhà máy Nhiệt điện Vũng Áng 1,Coal,Operational,2014-2015,Hà Tĩnh,0,,,
Nhà máy Nhiệt điện Duyên Hải 2,Coal,Construction,2021,Trà Vinh,0,,,
Nhà máy Nhiệt điện Duyên Hải 3 (mở rộng),Coal,Construction,2019,Trà Vinh,660.0,,,
Nhà máy Nhiệt điện Hải Dương (BOT),Coal,Construction,2020,Hải Dương,0,,,
Nhà máy Nhiệt điện Long Phú 1,Coal,Construction,2023,Sóc Trăng,0,,,
Nhà máy Nhiệt điện Na Dương 2,Coal,Construction,2024,Lạng Sơn,110.0,,,
Nhà máy Nhiệt điện Nghị Sơn 2,Coal,Construction,2022,Thanh Hóa,0,,,
Nhà máy Nhiệt điện Sông Hậu 1,Coal,Construction,2021,Hậu Giang,0,,,
Nhà máy Nhiệt điện Thái Bình 2,Coal,Construction,2022,Thái Bình,0,,,
Nhà máy Nhiệt điện Vĩnh Tân 4 (mở rộng),Coal,Construction,2019,Bình Thuận,600.0,,,
Nhà máy Nhiệt điện Vũng Áng 3,Coal,Shelved,2024-2025,Hà Tĩnh,0,,,
Nhà máy Nhiệt điện An Khánh 2,Coal,Cancelled,N/A,Thái Nguyên,0,,,
Nhà máy Nhiệt điện Bạc Liêu (Cái Cùng),Coal,Cancelled,N/A,Bạc Liêu,0,,,Switched to gas
Nhà máy Nhiệt điện Bình Định 1-2,Coal,Cancelled,N/A,Bình Định,0,,,
Nhà máy Nhiệt điện Cẩm Phả (Giai đoạn III),Coal,Cancelled,N/A,Quảng Ninh,0,,,
Nhà máy Nhiệt điện Dung Quất 1–2,Coal,Cancelled,N/A,Quảng Ngãi,0,,,Switched to gas
Nhà máy Nhiệt điện Gành Dầu (Phú Quốc),Coal,Cancelled,N/A,Kiên Giang,0,,,Switched to gas
Nhà máy Nhiệt điện Hải Phòng 3 (đơn vị 3-4),Coal,Cancelled,N/A,Hải Phòng,0,,,
Nhà máy Nhiệt điện Hòa Đậu Long Sơn,Coal,Cancelled,N/A,Vũng Tàu,0,,,Switched to gas
Nhà máy Nhiệt điện Kiên Lương 1-2,Coal,Cancelled,N/A,Kiên Giang,0,,,
Nhà máy Nhiệt điện Kiên Lương 3,Coal,Cancelled,N/A,Kiên Giang,0,,,
Nhà máy Nhiệt điện Nam Định 2,Coal,Cancelled,N/A,Nam Định,0,,,
Nhà máy Nhiệt điện Ninh Bình (Mở rộng),Coal,Cancelled,N/A,Ninh Bình,300.0,,,
Nhà máy Nhiệt điện Phú Thọ,Coal,Cancelled,N/A,Phú Thơ,600.0,,,Switched to solid wastes
Nhà máy Nhiệt điện Phú Yên,Coal,Cancelled,N/A,Phú Yên,0,,,Switched to gas
Nhà máy Nhiệt điện Sơn Mỹ 1–6,Coal,Cancelled,N/A,Bình Thuận,0,,,Switched to gas
Nhà máy Nhiệt điện Sông Hậu 3,Coal,Cancelled,N/A,Hậu Giang,0,,,
Nhà máy Nhiệt điện Tân Thành,Coal,Cancelled,N/A,Bà Rịa-Vũng Tàu,0,,,
Nhà máy Nhiệt điện Than An Giang,Coal,Cancelled,N/A,An Giang,2000.0,,,
Nhà máy Nhiệt điện Vân Phong 2,Coal,Cancelled,N/A,Khánh Hòa,0,,,
Nhà máy Nhiệt điện Công Thanh,Coal,Permitted,2024,Thanh Hóa,600.0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Nam Định 1,Coal,Permitted,2024-2025,Nam Định,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Quảng Trạch 1,Coal,Permitted,2022-2023,Quảng Bình,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Quỳnh Lập 1,Coal,Permitted,2026,Nghệ An,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Sông Hậu 2,Coal,Permitted,2024,Hậu Giang,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Vân Phong 1,Coal,Permitted,2023-2024,Khánh Hòa,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Vũng Áng 2,Coal,Permitted,2023-2024,Hà Tĩnh,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện An Khánh - Bắc Giang,Coal,Pre-permit,2023,Bắc Giang,650.0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Cogeneration Đúc Giang - Lào Cai,Coal,Pre-permit,2020,Lào Cai,0,,,
Nhà máy Cogeneration Hải Hà,Coal,Preparation,2019-2030,Quảng Ninh,2100.0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Hải Phòng 3 (đơn vị 1-2),Coal,Pre-permit,2028-2029,Hải Phòng,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Long Phú 2,Coal,Pre-permit,2029-2030,Sóc Trăng,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Quảng Trị 1,Coal,Pre-permit,2026-2027,Quảng Trị,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Vĩnh Tân 3,Coal,Pre-permit,2024-2025,Bình Thuận,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Dung Quất (J-Power) Giai đoạn I-II,Coal,Announced,2028-2030,Quảng Ngãi,0,,,
Nhà máy Nhiệt điện Long An Giai đoạn I,Coal,Announced,N/A,Long An,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Long An Giai đoạn II,Coal,Announced,N/A,Long An,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Long Phú 3,Coal,Announced,N/A,Sóc Trăng,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Quảng Ninh 3,Coal,Announced,N/A,Quảng Ninh,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Quảng Trạch 2,Coal,Announced,2026,Quảng Bình,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Quảng Trị 2,Coal,Announced,2024,Quảng Trị,0,,,
Nhà máy Nhiệt điện Quỳnh Lập 2,Coal,Announced,2027-2028,Nghệ An,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Cogeneration Rang Đông,Coal,Announced,2025,Nam Định,100.0,,,Decision 428/QĐ-TTg annex 1 Table 2
Nhà máy Nhiệt điện Tân Phước 1,Coal,Announced,N/A,Tiền Giang,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Tân Phước 2,Coal,Announced,N/A,Tiền Giang,0,,,57/QĐ-BCDQGĐL-VP
Nhà máy Nhiệt điện Thái Bình 3,Coal,Announced,N/A,Thái Bình,440.0,,,
Nhà máy Nhiệt điện Vũng Áng 3 (Dự án dự phòng),Coal,Announced,N/A,Hà Tĩnh,0,,,Reserve plant for renewable energy integration
Nhà máy điện khí Cà Mau 1&2,Domestic Gas,Operational,2008,Cà Mau,0,,,
Nhà máy điện khí Nhơn Trạch 1,Domestic Gas,Operational,2009,Đồng Nai,450.0,,,
Nhà máy điện khí Nhơn Trạch 2,Domestic Gas,Operational,2011,Đồng Nai,750.0,,,
Nhà máy nhiệt điện Phả Lại (mở rộng),Domestic Gas,Operational,1997,Hải Dương,477.0,,,
Nhà máy nhiệt điện Phả Lại 2.1,Domestic Gas,Operational,1999,Hải Dương,468.0,,,
Nhà máy nhiệt điện Phả Lại 4,Domestic Gas,Operational,2004,Hải Dương,477.0,,,
Nhà máy điện khí Ô Môn,Domestic Gas,Operational,2009-2015,Cần Thơ,0,,,
Nhà máy điện khí Phả Lại 1,Domestic Gas,Operational,1997,Hải Dương,1118.0,,,
Nhà máy điện khí Phả Lại 3,Domestic Gas,Operational,2004,Hải Dương,720.0,,,
Nhà máy điện khí Phả Lại 2.2,Domestic Gas,Operational,2005,Hải Dương,720.0,,,
Nhà máy điện khí Ô Môn III,Domestic Gas,Permitted/Pre-permit,2025,Cần Thơ,750.0,,,MOIT Report 58/BC-CBT annex row I.13
Nhà máy điện khí Ô Môn IV,Domestic Gas,Permitted/Pre-permit,2023,Cần Thơ,750.0,,,MOIT Report 58/BC-CBT annex row I.14
Nhà máy điện khí Dung Quất I,Domestic Gas,Permitted/Pre-permit,2024,Quảng Ngãi,750.0,,,MOIT Report 58/BC-CBT annex row I.19
Nhà máy điện khí Dung Quất III,Domestic Gas,Permitted/Pre-permit,2025,Quảng Ngãi,750.0,,,MOIT Report 58/BC-CBT annex row I.20
Nhà máy điện khí Nhơn Trạch 3&4,Domestic Gas,Permitted/Pre-permit,2023-2024,Đồng Nai,0,,,MOIT Report 58/BC-CBT annex row II.5
"Nhà máy điện khí Miền Trung 1,2",Domestic Gas,Permitted/Pre-permit,2024-2025,Quảng Nam,0,,,MOIT Report 58/BC-CBT annex row II.7
Nhà máy điện khí LNG Long Sơn (Cụm nhiệt điện LNG Miền Nam),Imported LNG,Permitted/Pre-permit,2023,Vũng Tàu,0,,,
Nhà máy điện khí Kiên Giang 1&2,Imported LNG,Announced,After 2030,Kiên Giang,0,,,MOIT Report 58/BC-CBT annex row II.6
Nhà máy điện khí Sơn Mỹ II,Imported LNG,Announced,2026-2028,Bình Thuận,0,,,MOIT Report 58/BC-CBT annex row II.8
Nhà máy điện khí Dung Quất II,Imported LNG,Announced,2026,Quảng Ngãi,750.0,,,MOIT Report 58/BC-CBT annex row IV.12
Nhà máy điện khí Sơn Mỹ,Imported LNG,Announced,2028-2029,Bình Thuận,0,,,MOIT Report 58/BC-CBT annex row IV.15
Nhà máy điện khí Ô Môn II,Imported LNG,Announced,2026,Cần Thơ,750.0,,,MOIT Report 58/BC-CBT annex row VI.3
Nhà máy điện khí Cà Ná LNG,Imported LNG,Announced,N/A,Ninh Thuận,0,,,
Nhà máy điện khí LNG Bạc Liêu,Imported LNG,Announced,N/A,Bạc Liêu,3200.0,,,
Nhà máy điện khí Dung Quất I (Cập nhật),Imported LNG,Announced,2024,Quảng Ngãi,750.0,,,
