name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà Máy Nhiệt Điện Cao Ngạn,Coal,Operational,2015,Thái Nguyên,162.0,,,
Nhà Máy Nhiệt Điện Cẩm Phả 1,Coal,Decommissioned,2005,Quảng Ninh,120.0,,,
Nhà Máy Nhiệt Điện Cẩm Phả 2,Coal,Operational,2011,Quảng Ninh,440.0,,,
Nhà Máy Nhiệt Điện Cẩm Phả 3,Coal,Operational,2016,Quảng Ninh,440.0,,,
Nhà Máy Nhiệt Điện Cẩm Phả 4,Coal,Construction,2027,Quảng Ninh,540.0,,,Original capacity 600 MWe; scaled down in revised PDP8
Nhà Máy Nhiệt Điện Cẩm Phả Mở Rộng,Coal,Operational,2011,Quảng Ninh,300.0,,,Additional unit at Cam Pha site
Nhà Máy Nhiệt Điện Cao Ngạn Mở Rộng,Coal,Planned,2028,Thái Nguyên,600.0,,,
Nhà Máy Nhiệt Điện Đá Bạch,Coal,Operational,2009,Quảng Ninh,1016.0,,,Built for 1200 MWe; scaled to 1016 MWe
Nhà Máy Nhiệt Điện Hải Phòng,Coal,Operational,2011,Hải Phòng,1200.0,,,Built under 2004 BOT contract; 4x300 MWe
Nhà Máy Nhiệt Điện Long Bình,Coal,Operational,2013,Vĩnh Phúc,1200.0,,,Vũng Áng 1 originally proposed; built elsewhere as Long Binh
Nhà Máy Nhiệt Điện Mông Dương 1,Coal,Operational,2015,Quảng Ninh,1080.0,,,4x270 MWe; BOT contract signed 2010
Nhà Máy Nhiệt Điện Mông Dương 2,Coal,Suspended,2021 (originally planned),Quảng Ninh,1200.0,,,JICA loan approved; environmental assessment done; deferred in PDP8
Nhà Máy Nhiệt Điện Ninh Bình,Coal,Operational,1974,Ninh Bình,102.0,,,Unit 2: 32 MWe
Nhà Máy Nhiệt Điện Nghi Sơn 1,Coal,Operational,2011,Thanh Hóa,1200.0,,,3x400 MWe; BOT contract 2006; JICA financing
Nhà Máy Nhiệt Điện Nghi Sơn 2,Coal,Planned,2030 (PDP8),Thanh Hóa,1333.0,,,Samsung exiting; JERA (Japan) leading; PDP8 confirms 2x666.7 MWe
Nhà Máy Nhiệt Điện (Dự án) Phả Lại 1 & 2,Coal,Partially Decommissioned,1981-1982,Bắc Giang,0,,,
Nhà Máy Nhiệt Điện Phả Lại 3&4,Coal,Operational,2001-2002,Bắc Giang,0,,,Originally AES-Vinacomin JV; sold to EVN in 2007 for $1.3B
Nhà Máy Nhiệt Điện Phả Lại Mở Rộng 1,Coal,Suspended,Cancelled (PDP8),Bắc Giang,600.0,,,
Nhà Máy Nhiệt Điện Sông Hậu 1,Coal,Construction,2027,Hậu Giang,1200.0,,,
Nhà Máy Nhiệt Điện Sơn Động 1,Coal,Cancelled,-,Bắc Giang,600.0,,,
Nhà Máy Nhiệt Điện Sông Đà,Hydro,Not applicable,Dà Nẵng,-,0,,,
Nhà Máy Điện Uông Bí 1,Coal,Decommissioned,1973,Quảng Ninh,120.0,,,
Nhà Máy Điện Uông Bí 2,Coal,Decommissioned,1996,Quảng Ninh,300.0,,,
Nhà Máy Điện Uông Bí Mở Rộng 1,Coal,Operational,2012,Quảng Ninh,300.0,,,
Nhà Máy Điện Uông Bí Mở Rộng 2,Coal,Planned,2029 (PDP8),Quảng Ninh,600.0,,,
Nhà Máy Nhiệt Điện Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,1200.0,,,2x600 MWe; BOT contract 2008; JICA loan
Nhà Máy Nhiệt Điện Vũng Áng 2,Coal,Construction,2025,Hà Tĩnh,1200.0,,,JICA financing; 2x600 MWe
Nhà Máy Nhiệt Điện Vĩnh Tân 1,Coal,Operational,2011,Bình Thuận,0,,,
Nhà Máy Nhiệt Điện Vĩnh Tân 2,Coal,Operational,2015,Bình Thuận,0,,,
Nhà Máy Nhiệt Điện Vĩnh Tân 3,Coal,Operational,2021,Bình Thuận,0,,,
Nhà Máy Điện Vĩnh Tân 1.1 (Mở rộng),Coal,Suspended,2023,Cancelled (PDP8),0,,,EVN
Nhà Máy Nhiệt Điện Vĩnh Tân 4,Coal,Construction,2026,Bình Thuận,1090.0,,,
Nhà Máy Điện Vĩnh Tân 4.1 (Mở rộng),Coal,Cancelled,Cancelled (2020),Bình Thuận,660.0,,,
Nhà Máy Nhiệt Điện Vân Phong (Chưa khởi động),Coal,Proposed,-,Khánh Hòa,2900.0,,,Original capacity 3960 MWe proposed; scaled down; controversial coastal location; removed from PDP8
Nhà Máy Nhiệt Điện Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1205.0,,,2x600 + 1x5 MWe; 7 bundles boiler using local lignite; BOT contract 2012
Nhà Máy Nhiệt Điện Duyên Hải 1 Mở Rộng,Coal,Construction,2025,Trà Vinh,1333.0,,,
Nhà Máy Nhiệt Điện Duyên Hải 2,Coal,Under construction,2027,Trà Vinh,0,,,Tractebel + Doosan; PDP8 reduction; originally 1200 MWe
Nhà Máy Nhiệt Điện Duyên Hải 3 & 4,Coal,Planned,2030&D / 2032,D/,0,,,EVN
