match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy Nhiệt điện Mông Dương 13,bac giang,quang ninh,coal,coal,650.0,600.0,7.7,True,False,False,,,48.275862068965516
exact_capacity_diff,An Khánh 1,Nhà máy Nhiệt điện Vĩnh Tân 22,thai nguyen,binh thuan,coal,coal,116.0,600.0,417.2,True,False,False,,,57.14285714285714
exact_capacity_diff,Bà Rịa GT,Nhà máy Nhiệt điện An Khánh,ba ria - vung tau,can tho,gas,unknown,46.0,100.0,117.4,False,True,False,,,47.05882352941176
fuzzy_capacity_diff,Bạc Liêu 1,Nhà máy Nhiệt điện Bạc Liêu 2,bac lieu,bac lieu,coal,unknown,1200.0,600.0,50.0,False,False,True,,,90.0
exact_capacity_diff,Cam Pha 3,Nhà máy Nhiệt điện Duyên Hải 11,quang ninh,tra vinh,coal,coal,440.0,600.0,36.4,True,True,False,,,50.0
fuzzy_capacity_diff,Cao Ngạn,Nhà máy Nhiệt điện Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,50.0,56.1,True,True,True,,,100.0
exact_capacity_diff,Cong Thanh,Nhà máy Nhiệt điện Formosa 12,thanh hoa,ha tinh,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
fuzzy_capacity_diff,Cà Mau I,Nhà máy Nhiệt điện Cà Mau 10,ca mau,ca mau,gas,unknown,771.0,600.0,22.2,False,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Nhà máy Nhiệt điện Cà Mau 20,ca mau,ca mau,gas,unknown,771.0,600.0,22.2,False,False,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhà máy Nhiệt điện Vĩnh Tân 17,quang ninh,binh thuan,coal,coal,340.0,600.0,76.5,True,False,False,,,50.0
exact_capacity_diff,Cẩm Phả 2,Nhà máy Nhiệt điện Duyên Hải 42,quang ninh,tra vinh,coal,coal,340.0,600.0,76.5,True,False,False,,,62.5
exact_capacity_diff,Dong Nai Formosa,Nhà máy Nhiệt điện Bà Rịa,đong nai,ba ria - vung tau,coal,unknown,150.0,150.0,0.0,False,False,False,,,50.0
exact_capacity_diff,Dong Nai Formosa,Nhà máy Nhiệt điện Lạng Sơn,đong nai,lang son,coal,coal,300.0,600.0,100.0,True,True,False,,,45.45454545454546
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy Nhiệt điện Hòn Gai,lao cai,quang ninh,coal,coal,100.0,100.0,0.0,True,False,False,,,40.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Nhà máy Nhiệt điện Sơn Mỹ 6,quang ngai,binh thuan,coal,imported gas,2400.0,2000.0,16.7,False,True,False,,,40.74074074074075
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nhà máy Nhiệt điện Sơn Mỹ 26,quang ngai,binh thuan,coal,imported gas,2000.0,2000.0,0.0,False,True,False,,,40.0
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy Nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1200.0,3.5,True,True,True,,,100.0
fuzzy,Duyen Hai 2,Nhà máy Nhiệt điện Duyên Hải 44,tra vinh,tra vinh,coal,coal,600.0,600.0,0.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhà máy Nhiệt điện Duyên Hải 43,tra vinh,tra vinh,coal,coal,1244.0,600.0,51.8,True,False,True,,,90.9090909090909
exact_capacity_diff,Duyen Hai 3 Extension,Nhà máy Nhiệt điện Vĩnh Tân 15,tra vinh,binh thuan,coal,coal,660.0,600.0,9.1,True,False,False,,,47.61904761904761
fuzzy_capacity_diff,Duyên Hải 2,Nhà máy Nhiệt điện Duyên Hải 13,tra vinh,tra vinh,coal,coal,1200.0,600.0,50.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Formosa HT2,Nhà máy Nhiệt điện Formosa 2,ha tinh,ha tinh,coal,coal,650.0,600.0,7.7,True,True,True,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện Cà Mau 6,ha tinh,ca mau,coal,unknown,450.0,600.0,33.3,False,True,False,,,46.51162790697675
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy Nhiệt điện Duyên Hải 6,ha tinh,tra vinh,coal,coal,450.0,600.0,33.3,True,True,False,,,42.10526315789473
fuzzy,Hai Duong,Nhà máy Nhiệt điện Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
