match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh 1,Điện Bà Rịa (cũ),thai nguyen,ba ria - vung tau,coal,unknown,116.0,110.0,5.2,False,False,False,,,44.44444444444444
exact_capacity_diff,Bà Rịa GT,Nhiệt điện xi măng Hoàng Mai,ba ria - vung tau,nghe an,gas,coal,46.0,30.0,34.8,False,True,False,,,44.44444444444444
exact_capacity_diff,Bạc Liêu 1,Nhiệt điện Công Thanh,bac lieu,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,False,False,,,40.0
fuzzy_capacity_diff,Cao Ngạn,Nhiệt điện Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,110.0,3.5,True,True,True,,,100.0
fuzzy_capacity_diff,Cong Thanh,Nhiệt điện xi măng Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,30.0,95.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,Điện Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,Điện Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Điện Hiệp Hòa,quang ninh,bac giang,coal,oil,340.0,120.0,64.7,False,True,False,,,46.15384615384615
exact_capacity_diff,Dong Nai Formosa,Điện Nhà Bè,đong nai,tp. ho chi minh,coal,unknown,150.0,108.0,28.0,False,False,False,,,50.0
exact_capacity_diff,Dong Nai Formosa,Điện Cát Lái 1,đong nai,tp. ho chi minh,coal,unknown,300.0,300.0,0.0,False,False,False,,,43.47826086956522
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhiệt điện xi măng Hà Tiên,lao cai,kien giang,coal,coal,100.0,30.0,70.0,True,False,False,,,40.816326530612244
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nhiệt điện Sông Hậu 2,quang ngai,hau giang,coal,coal,2000.0,2000.0,0.0,True,False,False,,,51.28205128205128
fuzzy,Duyen Hai 1,Nhiệt điện Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,90.9090909090909
fuzzy,Duyen Hai 3,Nhiệt điện Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,90.9090909090909
exact_capacity_diff,Hai Duong,Nhiệt điện Đồng Nhơn,hai duong,binh đinh,coal,coal,1200.0,1200.0,0.0,True,False,False,,,55.55555555555556
exact_capacity_diff,Hai Ha CHP Phase 1,Điện Phú Quý,quang ninh,binh thuan,coal,unknown,150.0,72.0,52.0,False,False,False,,,42.10526315789473
exact_capacity_diff,Hai Ha CHP Phase 2,Điện Cà Mau 3,quang ninh,ca mau,coal,imported gas,750.0,750.0,0.0,False,True,False,,,41.666666666666664
fuzzy_capacity_diff,Hai Phong 1,Điện tự phát LG Hải Phòng,hai phong,hai phong,coal,unknown,600.0,50.0,91.7,False,True,True,,,90.0
fuzzy,Hai Phong 2,Nhiệt điện Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Hai Phong 3,Nhiệt điện Hải Phòng 2,hai phong,hai phong,coal,coal,1200.0,600.0,50.0,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Hải Phòng,Điện tự phát VinFast Hải Phòng,hai phong,hai phong,gas,unknown,500.0,200.0,60.0,False,False,True,,,100.0
fuzzy,LNG Bạc Liêu,Điện khí LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
fuzzy,LNG Chân Mây,Điện khí LNG Chân Mây,hue,thua thien hue,gas,imported gas,4000.0,4000.0,0.0,False,True,False,,,100.0
fuzzy,LNG Hiệp Phước (phase I),Điện Hiệp Phước 2,tp ho chi minh,tp. ho chi minh,gas,imported gas,1200.0,1200.0,0.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Nhiệt điện Formosa Hà Tĩnh,ha tinh,ha tinh,gas,coal,6000.0,1950.0,67.5,False,False,True,,,100.0
fuzzy,LNG Long An I,Điện Long An 1,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy,LNG Long An II,Điện Long An 2,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Long Sơn,Nhiệt điện Nông Sơn,ba ria - vung tau,quang nam,gas,coal,1200.0,30.0,97.5,False,False,False,,,93.33333333333333
fuzzy_capacity_diff,LNG Long Sơn IV (địa điểm Tây),Điện Long Sơn Petrochemical,ba ria - vung tau,ba ria - vung tau,gas,unknown,3600.0,150.0,95.8,False,True,True,,,90.0
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Điện sức ép Lọc hóa dầu Nghi Sơn,thanh hoa,thanh hoa,gas,unknown,5000.0,420.0,91.6,False,False,True,,,100.0
fuzzy,LNG Nhơn Trạch 3,Điện Nhơn Trạch 5,đong nai,đong nai,gas,imported gas,750.0,750.0,0.0,False,False,True,,,91.66666666666666
fuzzy,LNG Nhơn Trạch 4,Điện Nhơn Trạch 6,đong nai,đong nai,gas,imported gas,750.0,750.0,0.0,False,False,True,,,91.66666666666666
fuzzy,LNG Quảng Ninh 2 (Cẩm Phả),Điện Quảng Ninh LNG,quang ninh,quang ninh,gas,imported gas,1500.0,1500.0,0.0,False,True,True,,,91.66666666666666
fuzzy_capacity_diff,LNG Sơn Mỹ I,Điện Sơn Mỹ 1,binh thuan,binh thuan,gas,imported gas,2250.0,2000.0,11.1,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Sơn Mỹ II,Điện Sơn Mỹ 2,binh thuan,binh thuan,gas,imported gas,2250.0,2000.0,11.1,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Vân Phong (J-Power),Nhiệt điện Vân Phong 2,khanh hoa,khanh hoa,gas,coal,3000.0,2000.0,33.3,False,False,True,,,100.0
exact_capacity_diff,LNG miền Nam,Điện Thị Vải,"hiep phuoc 2, ben tre, mui ke ga, ca mau,",ba ria - vung tau,gas,imported gas,1500.0,1500.0,0.0,False,True,False,,,61.53846153846154
exact_capacity_diff,Lee & Man,Nhiệt điện xi măng Bút Sơn,hau giang,thanh hoa,coal,coal,125.0,30.0,76.0,True,True,False,,,66.66666666666667
fuzzy,Long Phú 1,Nhiệt điện Long Phú 3,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,False,True,,,90.0
fuzzy_capacity_diff,Long Phú 2,Nhiệt điện Long Phú 1,soc trang,soc trang,coal,coal,1320.0,1200.0,9.1,True,False,True,,,90.0
fuzzy_capacity_diff,Long Phú 3,Nhiệt điện Long Phú 2,soc trang,soc trang,coal,coal,1800.0,1200.0,33.3,True,True,True,,,90.0
fuzzy_capacity_diff,Mong Duong 1,Nhiệt điện Mông Dương 1,quang ninh,quang ninh,coal,coal,1080.0,1110.0,2.8,True,True,True,,,100.0
fuzzy_capacity_diff,Mong Duong 2,Nhiệt điện Mông Dương 2,quang ninh,quang ninh,coal,coal,1240.0,1242.0,0.2,True,True,True,,,100.0
exact_capacity_diff,Na Dương 1,Nhiệt điện Na Dương,lang son,lang son,coal,coal,110.0,110.0,0.0,True,True,True,,,88.88888888888889
exact_capacity_diff,Na Dương 2,Nhiệt điện Đức Giang Lào Cai,lang son,lao cai,coal,coal,110.0,60.0,45.5,True,True,False,,,40.0
fuzzy_capacity_diff,Nam Dinh 1,Nhiệt điện Nam Định 1,nam dinh,nam đinh,coal,coal,1200.0,1110.0,7.5,True,False,False,,,90.0
fuzzy,Nghi Son 1,Nhiệt điện Nghi Sơn 1,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
fuzzy,Nghi Son 2,Nhiệt điện Nghi Sơn 2,thanh hoa,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Ninh Binh,Nhiệt điện xi măng INSEE,ninh binh,binh duong,coal,coal,100.0,30.0,70.0,True,False,False,,,55.55555555555556
exact_capacity_diff,Nong Son 1,Nhiệt điện xi măng Hải Vân,quang nam,đa nang,coal,coal,30.0,30.0,0.0,True,True,False,,,40.0
fuzzy_capacity_diff,NĐ Cần Thơ,Điện Cần Thơ,can tho,can tho,unknown,oil,165.0,30.0,81.8,False,True,True,,,94.73684210526316
fuzzy_capacity_diff,NĐ Hiệp Phước,Điện Hiệp Phước 1,tp ho chi minh,tp. ho chi minh,unknown,unknown,310.0,375.0,21.0,True,True,False,,,92.3076923076923
exact_capacity_diff,NĐ LNG miền Bắc,Nhiệt điện xi măng Holcim,"thai binh, nam đinh, nghi son, thanh hoa",kien giang,gas,coal,0.0,30.0,,False,False,False,,,46.666666666666664
fuzzy_capacity_diff,NĐ Thủ Đức,Điện Thủ Đức,tp ho chi minh,tp. ho chi minh,gas,oil,290.0,150.0,48.3,False,True,False,,,94.73684210526316
fuzzy_capacity_diff,Phả Lại 1,Nhiệt điện Phả Lại 1,hai duong,hai duong,coal,coal,440.0,600.0,36.4,True,True,True,,,100.0
fuzzy,Phả Lại 2,Nhiệt điện Phả Lại 2,hai duong,hai duong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Phả Lại 3,Nhiệt điện Cẩm Phả,hai duong,quang ninh,coal,coal,660.0,680.0,3.0,True,False,False,,,50.0
fuzzy,Quang Ninh 3,Nhiệt điện Quảng Ninh,quang ninh,quang ninh,gas,coal,1200.0,1200.0,0.0,False,False,True,,,90.9090909090909
fuzzy_capacity_diff,Quảng Trạch 1,Nhiệt điện Quảng Trạch 2,quang binh,quang binh,coal,coal,1400.0,1200.0,14.3,True,False,True,,,92.3076923076923
fuzzy,Quảng Trạch 2,Nhiệt điện Quảng Trạch 1,quang binh,quang binh,gas,coal,1200.0,1200.0,0.0,False,False,True,,,92.3076923076923
exact_capacity_diff,Quảng Trị 2,Nhiệt điện Kiên Lương 1,quang tri,kien giang,coal,coal,1200.0,1200.0,0.0,True,False,False,,,47.05882352941176
exact_capacity_diff,Son Dong,Nhiệt điện xi măng Nghi Sơn,bac giang,thanh hoa,coal,coal,220.0,30.0,86.4,True,True,False,,,54.54545454545454
fuzzy,Sông Hậu 1,Nhiệt điện Sông Hậu 1,hau giang,hau giang,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
fuzzy,Sông Hậu 2,Nhiệt điện Sông Hậu 3,hau giang,hau giang,coal,coal,2000.0,2000.0,0.0,True,False,True,,,90.0
exact_capacity_diff,TBKHH Bà Rịa 1,Điện tự phát Samsung Bắc Ninh,ba ria - vung tau,bac ninh,gas,unknown,169.0,150.0,11.2,False,True,False,,,50.0
exact_capacity_diff,TBKHH Bà Rịa 2,Điện tự phát Samsung Thái Nguyên,ba ria - vung tau,thai nguyen,gas,unknown,175.0,150.0,14.3,False,False,False,,,37.5
fuzzy_capacity_diff,TBKHH Dung Quất I,Nhiệt điện Hòa Phát Dung Quất,quang ngai,quang ngai,gas,coal,750.0,300.0,60.0,False,False,True,,,90.0
fuzzy_capacity_diff,TBKHH Dung Quất II,Điện sức ép Lọc hóa dầu Dung Quất,quang ngai,quang ngai,gas,unknown,750.0,150.0,80.0,False,False,True,,,90.0
fuzzy_capacity_diff,TBKHH Nhơn Trạch I,Điện Nhơn Trạch 1,đong nai,đong nai,gas,unknown,465.0,450.0,3.2,False,True,True,,,100.0
fuzzy,TBKHH Nhơn Trạch II,Điện Nhơn Trạch 4,đong nai,đong nai,gas,imported gas,750.0,750.0,0.0,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,TBKHH Phú Mỹ 1,Điện Phú Mỹ 1,ba ria - vung tau,ba ria - vung tau,gas,unknown,1140.0,800.0,29.8,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.1,Điện Phú Mỹ 2-1,ba ria - vung tau,ba ria - vung tau,gas,unknown,499.0,450.0,9.8,False,True,True,,,90.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.2,Điện Phú Mỹ 2-2,ba ria - vung tau,ba ria - vung tau,gas,unknown,740.0,450.0,39.2,False,True,True,,,90.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 3,Điện Phú Mỹ 3,ba ria - vung tau,ba ria - vung tau,gas,unknown,740.0,750.0,1.4,False,True,True,,,100.0
fuzzy_capacity_diff,TBKHH Phú Mỹ 4,Điện Phú Mỹ 4,ba ria - vung tau,ba ria - vung tau,gas,unknown,468.0,450.0,3.8,False,True,True,,,100.0
