match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,Nhiệt điện than An Khánh - Bắc Giang,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,An Khánh 1,Nhiệt điện than An Khánh I,thai nguyen,bac giang,coal,coal,116.0,100.0,13.8,True,False,False,,,100.0
exact_capacity_diff,Bà Rịa GT,Nhiệt điện than Nông Sơn,ba ria - vung tau,quang nam,gas,coal,46.0,30.0,34.8,False,True,False,,,44.44444444444444
exact_capacity_diff,Bạc Liêu 1,Nhiệt điện than Vĩnh Tân 1,bac lieu,binh thuan,coal,coal,1200.0,1200.0,0.0,True,False,False,,,42.85714285714286
fuzzy_capacity_diff,Cam Pha 3,Nhiệt điện than Cẩm Phả 3,quang ninh,quang ninh,coal,coal,440.0,0.0,100.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cao Ngạn,Nhiệt điện than Cao Ngạn,thai nguyen,thai nguyen,coal,coal,114.0,115.0,0.9,True,True,True,,,100.0
fuzzy,Cong Thanh,Nhiệt điện than Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cà Mau I,Nhà máy nhiệt điện Vê Dan,ca mau,quang ninh,gas,coal,771.0,72.0,90.7,False,True,False,,,62.5
fuzzy_capacity_diff,Cà Mau II,Nhà máy nhiệt điện Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Nhiệt điện than Cẩm Phả 1,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 2,Nhiệt điện than Cẩm Phả 2,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện than Đồng Nai 6,đong nai,đong nai,coal,coal,150.0,135.0,10.0,True,False,True,,,64.0
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện than Na Dương,đong nai,lang son,coal,coal,300.0,110.0,63.3,True,False,False,,,46.15384615384615
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhiệt điện than Rạng Đông,lao cai,nam đinh,coal,coal,100.0,100.0,0.0,True,True,False,,,35.55555555555555
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Nhiệt điện than An Giang,quang ngai,an giang,coal,coal,2400.0,2000.0,16.7,True,False,False,,,38.095238095238095
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Nhiệt điện than Kiên Lương 3,quang ngai,kien giang,coal,coal,2000.0,2000.0,0.0,True,False,False,,,39.28571428571429
fuzzy,Duyen Hai 1,Nhiệt điện than Duyên Hải 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Nhiệt điện than Duyên Hải 3 Mở rộng,tra vinh,tra vinh,coal,coal,600.0,660.0,10.0,True,True,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 3,Nhiệt điện than Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
exact_capacity_diff,Duyen Hai 3 Extension,Nhiệt điện than Phú Thọ,tra vinh,phu tho,coal,coal,660.0,600.0,9.1,True,False,False,,,50.0
fuzzy,Duyên Hải 2,Nhiệt điện than Duyên Hải 2,tra vinh,tra vinh,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Formosa HT2,Nhiệt điện than Hải Hà 4,ha tinh,quang ninh,coal,coal,650.0,600.0,7.7,True,True,False,,,33.333333333333336
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhà máy nhiệt điện Hòa Phát 2,ha tinh,,coal,unknown,450.0,300.0,33.3,False,True,,,,52.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Nhiệt điện than Sơn Đông,ha tinh,quang ninh,coal,coal,450.0,220.0,51.1,True,False,False,,,43.24324324324324
fuzzy,Hai Duong,Nhiệt điện than Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Nhiệt điện than Formosa Hà Tĩnh #6,quang ninh,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,46.666666666666664
exact_capacity_diff,Hai Ha CHP Phase 2,Nhà máy nhiệt điện TBKHH Kiên Giang II,quang ninh,kien giang,coal,unknown,750.0,750.0,0.0,False,True,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 3,Nhà máy nhiệt điện Vũng Tàu (Bà Rịa),quang ninh,ba ria – vung tau,coal,unknown,600.0,389.0,35.2,False,False,False,,,50.0
exact_capacity_diff,Hai Ha CHP Phase 4,Nhiệt điện than An Khánh II,quang ninh,bac giang,coal,coal,600.0,300.0,50.0,True,False,False,,,50.0
fuzzy,Hai Phong 1,Nhiệt điện than Hải Phòng 2,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
fuzzy,Hai Phong 2,Nhiệt điện than Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,90.9090909090909
fuzzy,Hai Phong 3,Nhiệt điện than Hải Phòng 3,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hải Phòng,Nhiệt điện than Uông Bí mở rộng I,hai phong,quang ninh,gas,coal,500.0,300.0,40.0,False,False,False,,,66.66666666666667
exact_capacity_diff,LNG Bà Rịa 2,Nhiệt điện than Nam Định 2,ba ria - vung tau,nam đinh,gas,coal,1200.0,1200.0,0.0,False,True,False,,,53.333333333333336
fuzzy_capacity_diff,LNG Bình Định,Nhiệt điện than Bình Định 2,binh đinh,binh đinh,gas,coal,5000.0,2000.0,60.0,False,True,True,,,100.0
fuzzy,LNG Bạc Liêu,Nhà máy nhiệt điện LNG Bạc Liêu,bac lieu,bac lieu,gas,imported gas,3200.0,3200.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Chân Mây,Nhiệt điện than Chân Mây,hue,thua thien hue,gas,coal,4000.0,2000.0,50.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Cà Mau 1,Nhà máy nhiệt điện Cà Mau 1,ca mau,ca mau,gas,unknown,1500.0,750.0,50.0,False,True,True,,,100.0
fuzzy,LNG Cà Ná,Nhà máy nhiệt điện LNG Cà Ná,ninh thuan,ninh thuan,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase I),Nhà máy nhiệt điện Hiệp Phước,tp ho chi minh,tp. ho chi minh,gas,oil,1200.0,375.0,68.8,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hiệp Phước (phase II),Nhà máy nhiệt điện LNG Hiệp Phước giai đoạn I,tp ho chi minh,tp. ho chi minh,gas,imported gas,1500.0,1200.0,20.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Nhiệt điện than Formosa Hà Tĩnh #10,ha tinh,ha tinh,gas,coal,6000.0,150.0,97.5,False,False,True,,,100.0
fuzzy,LNG Hải Lăng,Nhà máy nhiệt điện LNG Hải Lăng giai đoạn 1,quang tri,quang tri,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Hải Phòng 2 (Cát Hải),Nhà máy điện tua bin khí BOT Phú Mỹ 3,hai phong,ba ria – vung tau,coal,unknown,1600.0,720.0,55.0,False,True,False,,,54.54545454545454
fuzzy,LNG Long An I,Nhà máy nhiệt điện LNG Long An I,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Long An I phase 2,Nhiệt điện than Hải Hà 2,long an,quang ninh,gas,coal,1500.0,750.0,50.0,False,True,False,,,62.5
fuzzy,LNG Long An II,Nhà máy nhiệt điện LNG Long An II,long an,long an,gas,imported gas,1500.0,1500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Long An II phase 2,Nhiệt điện than Bình Định 1,long an,binh đinh,gas,coal,1500.0,1200.0,20.0,False,True,False,,,47.05882352941176
fuzzy_capacity_diff,LNG Long Sơn,Nhà máy nhiệt điện Long Sơn (hóa dầu),ba ria - vung tau,ba ria – vung tau,gas,unknown,1200.0,225.0,81.2,False,False,False,,,100.0
exact_capacity_diff,LNG Long Sơn IV (địa điểm Tây),Nhiệt điện than Kê Gà,ba ria - vung tau,binh thuan,gas,coal,3600.0,3600.0,0.0,False,False,False,,,40.0
exact_capacity_diff,LNG Mũi Kê Gà 1,Nhiệt điện than Vĩnh Tân 6,binh thuan,binh thuan,gas,coal,1200.0,1200.0,0.0,False,False,True,,,45.45454545454546
exact_capacity_diff,"LNG Mũi Kê Gà 2,3",Nhà máy nhiệt điện Formosa #8,binh thuan,operational,gas,unknown,2400.0,2020.0,15.8,False,False,False,,,38.46153846153846
fuzzy_capacity_diff,LNG Nghi Sơn (Thanh Hóa),Nhà máy nhiệt điện LNG Nghi Sơn,thanh hoa,thanh hoa,gas,imported gas,5000.0,1500.0,70.0,False,True,True,,,100.0
fuzzy,LNG Nhơn Trạch 3,Nhà máy nhiệt điện Nhơn Trạch 2,đong nai,đong nai,gas,unknown,750.0,750.0,0.0,False,False,True,,,91.66666666666666
fuzzy_capacity_diff,LNG Nhơn Trạch 4,Nhà máy nhiệt điện Nhơn Trạch 3 và 4,đong nai,đong nai,gas,imported gas,750.0,1624.0,116.5,False,True,True,,,91.66666666666666
exact_capacity_diff,LNG Phong Điền – Huế,Nhiệt điện than Sông Hậu 2,hue,hau giang,gas,coal,3000.0,2000.0,33.3,False,False,False,,,55.172413793103445
fuzzy_capacity_diff,LNG Phú Mỹ 3.1,Nhà máy nhiệt điện Phú Mỹ 2.1,ba ria - vung tau,ba ria – vung tau,gas,unknown,850.0,900.0,5.9,False,False,False,,,90.0
