match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhiệt điện An Khánh,bac giang,bac giang,coal,unknown,650.0,650.0,0.0,False,False,True,,,59.25925925925925
fuzzy_capacity_diff,An Khánh 1,Nhiệt điện An Khánh 2,thai nguyen,bac giang,coal,coal,116.0,150.0,29.3,True,False,False,,,90.0
exact_capacity_diff,Bà Rịa GT,Nhiệt điện Cần Thơ,ba ria - vung tau,can tho,gas,coal,46.0,33.0,28.3,False,False,False,,,47.05882352941176
exact_capacity_diff,Bạc Liêu 1,Nhiệt điện Thanh Hóa,bac lieu,thanh hoa,coal,coal,1200.0,1200.0,0.0,True,False,False,,,40.0
exact_capacity_diff,Cam Pha 3,Nhiệt điện Hòa Phát 2,quang ninh,hai duong,coal,unknown,440.0,300.0,31.8,False,False,False,,,70.58823529411764
exact_capacity_diff,Cao Ngạn,Nhiệt điện Na Dương,thai nguyen,lang son,coal,unknown,114.0,111.0,2.6,False,True,False,,,54.54545454545454
fuzzy,Cong Thanh,Nhiệt điện Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
fuzzy_capacity_diff,Cà Mau I,NMĐ Cà Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cà Mau II,NMĐ Cà Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 1,Nhiệt điện Uông Bí,quang ninh,quang ninh,coal,coal,340.0,105.0,69.1,True,True,True,,,26.66666666666667
exact_capacity_diff,Cẩm Phả 2,Nhiệt điện Uông Bí mở rộng II,quang ninh,quang ninh,coal,coal,340.0,330.0,2.9,True,True,True,,,44.44444444444444
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện Cần Thơ,đong nai,can tho,coal,coal,150.0,150.0,0.0,True,False,False,,,40.0
exact_capacity_diff,Dong Nai Formosa,Nhiệt điện Hải Hà 1-4,đong nai,quang ninh,coal,unknown,300.0,300.0,0.0,False,False,False,,,42.85714285714286
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhiệt điện Bourbon,lao cai,tp.hcm,coal,oil,100.0,24.0,76.0,False,False,False,,,30.303030303030297
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Nhiệt điện Nam Định 2,quang ngai,nam đinh,coal,coal,2400.0,2000.0,16.7,True,True,False,,,38.095238095238095
