name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Uông Bí 1,Coal,Decommissioned,1975-1980,Quảng Ninh,105.0,,,Original plant decommissioned; Uong Bi Extension continues
Uông Bí mở rộng II,Coal,Operational,2013,Quảng Ninh,330.0,,,Two 165MW units
Phả Lại 1,Coal,Operational,1984-1987,Hải Phòng,440.0,,,Four 110MW units; originally EVN JSC
Phả Lại 2,Coal,Operational,2001-2002,Hải Phòng,600.0,,,Two 300MW units; originally EVN JSC
Ninh Bình,Coal,Decommissioned,1975-1980,Ninh Binh,100.0,,,Retired
Hải Phòng 1,Coal,Operational,2011-2012,Hải Phòng,600.0,,,Two 300MW units
Quảng Ninh 1,Coal,Operational,2009-2010,Quảng Ninh,600.0,,,Two 300MW units
Quảng Ninh 2,Coal,Operational,2014-2015,Quảng Ninh,600.0,,,Two 300MW units
Na Dương,Coal (domestic),Operational,2005-2006,Lạng Sơn,111.0,,,Two 55MW units
Cao Nhân,Coal (domestic),Operational,2014-2015,Thái Nguyên,115.0,,,One 115MW unit
Cẩm Phả,Coal,Operational,2010-2012,Quảng Ninh,600.0,,,One 600MW unit
Sơn Động,Coal,Operational,2010-2011,Quảng Ninh,220.0,,,Two 110MW units
Formosa Hà Tĩnh,Coal,Operational,2015-2018,Hà Tĩnh,650.0,,,Cogeneration for steel plant; multiple phases
Thủ Đức dầu,Oil,Decommissioned,1975-1980,TP.HCM,165.0,,,Retired 2020
Cần Thơ dầu,Oil,Decommissioned,2000-2005,Cần Thơ,33.0,,,Retired 2020
Ô Môn I,Oil,Decommissioned,2007-2009,Cần Thơ,330.0,,,Retired; converting to gas
Hiệp Phước,Oil,Operational,2010,TP.HCM,375.0,,,Open-cycle gas turbine; originally oil
Bourbon,Oil,Operational,2001,Bà Rịa-Vũng Tàu,24.0,,,Industrial backup
Phú Mỹ 1,Gas,Operational,1995-2000,Bà Rịa-Vũng Tàu,1090.0,,,Four units
Phú Mỹ 2.1,Gas,Operational,1997-2005,Bà Rịa-Vũng Tàu,900.0,,,Three 300MW units
Phú Mỹ 4,Gas,Operational,2004-2005,Bà Rịa-Vũng Tàu,450.0,,,Two 225MW units
Thủ Đức khí,Gas,Operational,1990-1995,TP.HCM,128.0,,,Two 64MW units
Cần Thơ khí,Gas,Operational,2008-2010,Cần Thơ,150.0,,,Two 75MW units
Bà Rịa,Gas,Operational,1999-2001,Bà Rịa-Vũng Tàu,389.0,,,Two units
Nhơn Trạch 1,Gas,Operational,2009-2010,Đồng Nai,465.0,,,One 465MW unit
Nhơn Trạch 2,Gas,Operational,2011-2012,Đồng Nai,750.0,,,One 750MW unit
Cà Mau 1,Gas,Operational,2007-2008,Cà Mau,750.0,,,One 750MW unit; Cogeneration for fertilizer plant
Cà Mau 2,Gas,Operational,2007-2008,Cà Mau,750.0,,,One 750MW unit; Cogeneration for fertilizer plant
Phú Mỹ 2.2 BOT,Gas,Operational,2010-2012,Bà Rịa-Vũng Tàu,740.0,,,BOT contract
Phú Mỹ 3 BOT,Gas,Operational,2010-2012,Bà Rịa-Vũng Tàu,740.0,,,BOT contract
Vê Dan,Gas,Operational,2008-2010,Bà Rịa-Vũng Tàu,72.0,,,Two 36MW units
Đạm Phú Mỹ,Gas,Operational,2004-2005,Bà Rịa-Vũng Tàu,21.0,,,Industrial cogeneration
Nhà máy diesel EVN,Diesel,Operational,2000-2010,Multiple,285.0,,,Multiple distributed units
Amata,Diesel,Operational,2007,Đồng Nai,14.0,,,Industrial park backup
Sông Tranh 2,Coal,Operational,2010-2011,Quảng Ngãi,190.0,,,Two 95MW units
An Khê - Kanak,Coal,Operational,2009-2010,Gia Lai,173.0,,,Two units
Dong Nai 3,Coal,Operational,2010-2011,Đồng Nai,180.0,,,Two 90MW units
Dong Nai 4,Coal,Operational,2012-2014,Đồng Nai,340.0,,,Two 170MW units
