match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Nhà máy điện An Khánh,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,57.14285714285714
exact_capacity_diff,An Khánh 1,Thác Bà,thai nguyen,tuyen quang,coal,unknown,116.0,120.0,3.4,False,True,False,,,46.15384615384615
exact_capacity_diff,Bà Rịa GT,Nhà máy điện sinh khối An Khê,ba ria - vung tau,quang ngai,gas,unknown,46.0,55.0,19.6,False,True,False,,,47.05882352941176
fuzzy_capacity_diff,Bạc Liêu 1,LNG Bạc Liêu,bac lieu,bac lieu,coal,unknown,1200.0,3200.0,166.7,False,False,True,,,100.0
fuzzy,Cam Pha 3,Nhà máy điện Cẩm Phả 3,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,False,True,,,100.0
exact_capacity_diff,Cao Ngạn,Cao Nhân,thai nguyen,thai nguyen,coal,unknown,114.0,115.0,0.9,False,True,True,,,87.5
fuzzy,Cong Thanh,Nhà máy điện Công Thanh,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Cà Mau 1,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
exact,Cà Mau II,Cà Mau 2,ca mau,ca mau,gas,gas,771.0,750.0,2.7,True,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Cẩm Phả,quang ninh,quang ninh,coal,coal,340.0,600.0,76.5,True,True,True,,,100.0
exact_capacity_diff,Cẩm Phả 2,Báo Vàng,quang ninh,quang tri,coal,gas,340.0,340.0,0.0,False,False,False,,,40.0
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 3,đong nai,đong nai,coal,coal,150.0,180.0,20.0,True,False,True,,,94.73684210526316
fuzzy_capacity_diff,Dong Nai Formosa,Dong Nai 4,đong nai,đong nai,coal,coal,300.0,340.0,13.3,True,False,True,,,94.73684210526316
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Nhà máy điện đồng phát Đức Giang,lao cai,lang son,coal,unknown,100.0,100.0,0.0,False,False,False,,,44.44444444444444
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Sơn Mỹ II,quang ngai,ba ria - vung tau,coal,unknown,2400.0,2250.0,6.2,False,True,False,,,50.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Kèn Bầu,quang ngai,quang tri,coal,gas,2000.0,2000.0,0.0,False,True,False,,,42.85714285714286
fuzzy_capacity_diff,Duyen Hai 1,Nhà máy điện Duyên Hải II,tra vinh,tra vinh,coal,coal,1244.0,1320.0,6.1,True,False,True,,,90.9090909090909
fuzzy_capacity_diff,Duyen Hai 2,Duyên Hải 3 mở rộng,tra vinh,tra vinh,coal,coal,600.0,660.0,10.0,True,True,True,,,95.23809523809523
exact,Duyen Hai 3,Duyên Hải 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 3 Extension,Duyên Hải 1,tra vinh,tra vinh,coal,coal,660.0,1244.0,88.5,True,True,True,,,95.23809523809523
exact,Duyên Hải 2,Duyên Hải II,tra vinh,tra vinh,coal,coal,1200.0,1320.0,10.0,True,False,True,,,100.0
fuzzy,Formosa HT2,Formosa Hà Tĩnh,ha tinh,ha tinh,coal,coal,650.0,650.0,0.0,True,False,True,,,90.0
exact_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,Hòa Bình mở rộng,ha tinh,hoa binh,coal,unknown,450.0,480.0,6.7,False,False,False,,,68.96551724137932
fuzzy_capacity_diff,Ha Tinh Formosa Plastics Steel Complex,LNG Hà Tĩnh,ha tinh,ha tinh,coal,unknown,450.0,6000.0,1233.3,False,True,True,,,100.0
fuzzy,Hai Duong,Nhà máy điện Hải Dương,hai duong,hai duong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hai Ha CHP Phase 1,Formosa Hà Tĩnh #2,quang ninh,ha tinh,coal,coal,150.0,150.0,0.0,True,False,False,,,48.275862068965516
exact_capacity_diff,Hai Ha CHP Phase 2,Thủ Đức khí thế hệ mới,quang ninh,tp.hcm,coal,gas,750.0,750.0,0.0,False,False,False,,,51.61290322580645
exact_capacity_diff,Hai Ha CHP Phase 3,Vĩnh Tân 4 mở rộng,quang ninh,binh thuan,coal,coal,600.0,600.0,0.0,True,False,False,,,37.5
exact_capacity_diff,Hai Ha CHP Phase 4,Nhà máy điện Thăng Long,quang ninh,thai nguyen,coal,coal,600.0,600.0,0.0,True,False,False,,,50.0
exact,Hai Phong 1,Hải Phòng 1,hai phong,hai phong,coal,coal,600.0,600.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hai Phong 2,Đôn Duong,hai phong,quang nam,coal,gas,600.0,600.0,0.0,False,False,False,,,47.05882352941176
exact,Hai Phong 3,Hải Phòng III,hai phong,hai phong,coal,coal,1200.0,1200.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Hải Phòng,Hòa Bình mở rộng,hai phong,hoa binh,gas,unknown,500.0,480.0,4.0,False,False,False,,,57.14285714285714
exact,LNG Bà Rịa 2,Bà Rịa 2,ba ria - vung tau,ba ria - vung tau,gas,unknown,1200.0,1200.0,0.0,False,True,True,,,100.0
exact,LNG Bình Định,LNG Bình Định,binh đinh,binh đinh,gas,unknown,5000.0,5000.0,0.0,False,True,True,,,100.0
exact,LNG Bạc Liêu,LNG Bạc Liêu,bac lieu,bac lieu,gas,unknown,3200.0,3200.0,0.0,False,False,True,,,100.0
exact,LNG Bến Tre,LNG Bến Tre,ben tre,ben tre,gas,unknown,3000.0,3000.0,0.0,False,True,True,,,100.0
exact,LNG Chân Mây,LNG Chân Mây,hue,thua thien hue,gas,unknown,4000.0,4000.0,0.0,False,True,False,,,100.0
exact_capacity_diff,LNG Cà Mau 1,Lô B,ca mau,ca mau,gas,gas,1500.0,1500.0,0.0,True,False,True,,,33.333333333333336
fuzzy_capacity_diff,"LNG Cà Mau 2,3",LNG Cà Mau,ca mau,ca mau,gas,unknown,3000.0,4500.0,50.0,False,True,True,,,100.0
exact,LNG Cà Ná,LNG Cà Ná,ninh thuan,ninh thuan,gas,unknown,1500.0,1500.0,0.0,False,False,True,,,100.0
fuzzy_capacity_diff,LNG Cà Ná II+III,LNG Cà Ná,ninh thuan,ninh thuan,gas,unknown,4500.0,1500.0,66.7,False,False,True,,,100.0
fuzzy,LNG Cái Mép Hạ,LNG Cái Mép,ba ria - vung tau,ba ria - vung tau,gas,unknown,6000.0,6000.0,0.0,False,True,True,,,100.0
exact,LNG Hiệp Phước (phase I),LNG Hiệp Phước,tp ho chi minh,tp.hcm,gas,oil,1200.0,1200.0,0.0,False,False,False,,,100.0
exact,LNG Hiệp Phước (phase II),LNG Hiệp Phước,tp ho chi minh,tp.hcm,gas,oil,1500.0,1200.0,20.0,False,False,False,,,100.0
fuzzy_capacity_diff,LNG Hà Tĩnh,Formosa Hà Tĩnh #6-7,ha tinh,ha tinh,gas,coal,6000.0,300.0,95.0,False,True,True,,,100.0
exact,LNG Hải Lăng,LNG Hải Lăng,quang tri,quang tri,gas,unknown,1500.0,1500.0,0.0,False,False,True,,,100.0
exact,LNG Hải Lăng (2 and 3),LNG Hải Lăng,quang tri,quang tri,gas,unknown,4500.0,4500.0,0.0,False,False,True,,,100.0
exact_capacity_diff,LNG Hải Phòng 1 (Tiên Lãng),LNG Tân Phước,hai phong,tien giang,coal,unknown,4500.0,4500.0,0.0,False,False,False,,,62.5
