match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
fuzzy,An Khánh - Bac Giang,An Khanh Power Plant,bac giang,bac giang,coal,coal,650.0,650.0,0.0,True,False,True,,,100.0
exact_capacity_diff,An Khánh 1,Da Nhim Expansion,thai nguyen,lam đong,coal,coal,116.0,100.0,13.8,True,False,False,,,55.55555555555556
exact_capacity_diff,Bà Rịa GT,An Khe Sugar Cogen,ba ria - vung tau,binh đinh,gas,unknown,46.0,55.0,19.6,False,True,False,,,47.05882352941176
exact,Cam Pha 3,Cam Pha 3,quang ninh,quang ninh,coal,coal,440.0,440.0,0.0,True,True,True,,,100.0
exact_capacity_diff,Cao Ngạn,Duc Giang Cogen,thai nguyen,hai phong,coal,coal,114.0,100.0,12.3,True,False,False,,,62.5
exact,Cong Thanh,Cong Thanh Power Plant,thanh hoa,thanh hoa,coal,coal,600.0,600.0,0.0,True,False,True,,,100.0
exact,Cà Mau I,Ca Mau 1,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
exact,Cà Mau II,Ca Mau 2,ca mau,ca mau,gas,unknown,771.0,750.0,2.7,False,True,True,,,100.0
fuzzy_capacity_diff,Cẩm Phả 1,Cam Pha Power Plant,quang ninh,quang ninh,coal,coal,340.0,600.0,76.5,True,True,True,,,100.0
exact,Cẩm Phả 2,Cam Pha 2,quang ninh,quang ninh,coal,coal,340.0,300.0,11.8,True,True,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Formosa Dong Nai Cogen,đong nai,đong nai,coal,coal,150.0,150.0,0.0,True,False,True,,,66.66666666666667
fuzzy_capacity_diff,Dong Nai Formosa,LNG Dong Nai,đong nai,đong nai,coal,imported gas,300.0,3000.0,900.0,False,True,True,,,100.0
exact_capacity_diff,Duc Giang - Lao Cai Chemical,Formosa Dong Nai Gas Cogen,lao cai,đong nai,coal,unknown,100.0,100.0,0.0,False,False,False,,,41.666666666666664
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase I,Sông Hậu III,quang ngai,hau giang,coal,coal,2400.0,2000.0,16.7,True,True,False,,,60.0
exact_capacity_diff,Dung Quat Special Economic Zone (J-Power) Phase II,Binh Dinh 3,quang ngai,binh đinh,coal,coal,2000.0,2000.0,0.0,True,True,False,,,38.095238095238095
exact,Duyen Hai 1,Duyen Hai 1,tra vinh,tra vinh,coal,coal,1244.0,1244.0,0.0,True,True,True,,,100.0
fuzzy_capacity_diff,Duyen Hai 2,Duyen Hai III Expansion,tra vinh,tra vinh,coal,coal,600.0,660.0,10.0,True,True,True,,,95.23809523809523
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,tra vinh,coal,coal,1244.0,1245.0,0.1,True,True,True,,,100.0
