name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
An Khanh 1,Coal,Operating,2015,Thai Nguyen,120.0,,,
Cam Pha Phase I-II,Coal,Operating,2011,Quang Ninh,680.0,,,
Cao Ngan,Coal,Operating,2006,Thai Nguyen,115.0,,,
Dong Nai Formosa Unit 1–2,Coal,Operating,2004,Dong Nai,300.0,,,
Dong Nai Formosa Unit 3,Coal,Operating,2018,Dong Nai,150.0,,,
Duyen Hai 1,Coal,Operating,2015,Tra Vinh,1245.0,,,
Duyen Hai 3,Coal,Operating,2017,Tra Vinh,1245.0,,,
Formosa Ha Tinh,Coal,Operating,2015,Ha Tinh,650.0,,,
Formosa Ha Tinh Phase 2,Coal,Operating,2020,Ha Tinh,650.0,,,
Hai Phong 1–2,Coal,Operating,2011-2014,Hai Phong,1200.0,,,
Lee & Man,Coal,Operating,2018,Hau Giang,125.0,,,
Mao Khe,Coal,Operating,2013,Quang Ninh,440.0,,,
Mong Duong 1,Coal,Operating,2015,Quang Ninh,1120.0,,,
Mong Duong 2,Coal,Operating,2015,Quang Ninh,1245.0,,,
Na Duong 1,Coal,Operating,2005,Lang Son,110.0,,,
Nghi Son 1,Coal,Operating,2013-2014,Thanh Hoa,600.0,,,
Ninh Binh,Coal,Operating,1976,Ninh Binh,100.0,,,
Nong Son 1,Coal,Operating,2015,Quang Nam,30.0,,,
Pha Lai 1,Coal,Operating,1986,Hai Duong,440.0,,,
Pha Lai 2,Coal,Operating,2001,Hai Duong,600.0,,,
Quang Ninh 1–2,Coal,Operating,2009-2014,Quang Ninh,1200.0,,,
Son Dong,Coal,Operating,2009,Bac Giang,220.0,,,
Thai Binh 1,Coal,Operating,2018,Thai Binh,600.0,,,
Thang Long (Le Loi),Coal,Operating,2017-2018,Quang Ninh,620.0,,,
Uong Bi I extension,Coal,Operating,2009,Quang Ninh,300.0,,,
Uong Bi I,Coal,Retired,1975-1976,Quang Ninh,105.0,,,
Uong Bi II extension,Coal,Operating,2014,Quang Ninh,330.0,,,
Vedan Vietnam Cogeneration,Coal,Operating,2015,Dong Nai,60.0,,,
Vinh Tan 1,Coal,Operating,2018-2019,Binh Thuan,1240.0,,,
Vinh Tan 2,Coal,Operating,2014,Binh Thuan,1245.0,,,
Vinh Tan 4,Coal,Operating,2017-2018,Binh Thuan,1200.0,,,
Vung Ang 1,Coal,Operating,2014-2015,Ha Tinh,1200.0,,,
Ca Mau 1&2 gas power plant,Local Natural Gas,Operating,2008,Ca Mau,1500.0,,,
Nhon Trach 1 gas power plant,Local Natural Gas,Operating,2009,Dong Nai,450.0,,,
Nhon Trach 2 Combined Cycle Gas Turbine Plant,Local Natural Gas,Operating,2011,Dong Nai,750.0,,,
Phu My 2.1,Local Natural Gas,Operating,1997,Vung Tau,477.0,,,
Ba Ria,Local Natural Gas,Operating,1992-2002,Vung Tau,340.0,,,
Phu My 2.1 extension,Local Natural Gas,Operating,1999,Vung Tau,468.0,,,
Phu My 4,Local Natural Gas,Operating,2004,Vung Tau,477.0,,,
O Mon,Local Natural Gas,Operating,2009-2015,Can Tho,660.0,,,
Phu My 1,Local Natural Gas,Operating,1997,Vung Tau,1118.0,,,
Phu My 3,Local Natural Gas,Operating,2004,Vung Tau,720.0,,,
Phu My 2.2,Local Natural Gas,Operating,2005,Vung Tau,720.0,,,
Duyen Hai 2,Coal,Construction,2021,Tra Vinh,1200.0,,,
Duyen Hai 3 Extension,Coal,Construction,2019,Tra Vinh,660.0,,,
Hai Duong (Hai Duong BOT plant),Coal,Construction,2020,Hai Duong,1200.0,,,
Long Phu 1,Coal,Construction,2023,Soc Trang,1200.0,,,
Na Duong 2,Coal,Construction,2024,Lang Son,110.0,,,
Nghi Son 2,Coal,Construction,2022,Thanh Hoa,1200.0,,,
Song Hau 1,Coal,Construction,2021,Hau Giang,1200.0,,,
Thai Binh 2,Coal,Construction,2022,Thai Binh,1200.0,,,
Vinh Tan 4 extension,Coal,Construction,2019,Binh Thuan,600.0,,,
Vung Ang 3,Coal,Shelved,2024-2025,Ha Tinh,1200.0,,,
Cong Thanh,Coal,Permitted,2024,Thanh Hoa,600.0,,,
Nam Dinh 1,Coal,Permitted,2024-2025,Nam Dinh,1200.0,,,
Quang Trach 1,Coal,Permitted,2022-2023,Quang Binh,1200.0,,,
Quynh Lap 1,Coal,Permitted,2026,Nghe An,1200.0,,,
Song Hau 2,Coal,Permitted,2024,Hau Giang,2000.0,,,
Van Phong 1,Coal,Permitted,2023-2024,Khanh Hoa,1320.0,,,
Vung Ang 2,Coal,Permitted,2023-2024,Ha Tinh,1200.0,,,
An Khanh - Bac Giang (Luc Nam),Coal,Pre-permit,2023,Bac Giang,650.0,,,
Duc Giang - Lao Cai Chemical,Coal,Pre-permit,2020,Lao Cai,100.0,,,
Hai Ha CHP 1-4,Coal,Preparation,2019-2030,Quang Ninh,2100.0,,,
Hai Phong 3 Unit 1–2,Coal,Pre-permit,2028-2029,Hai Phong,1200.0,,,
Long Phu 2,Coal,Pre-permit,2029-2030,Soc Trang,1320.0,,,
Quang Tri 1,Coal,Pre-permit,2026-2027,Quang Tri,1320.0,,,
Vinh Tan 3,Coal,Pre-permit,2024-2025,Binh Thuan,1980.0,,,
O Mon III Combined Cycle Gas Turbine Plant,Local Natural Gas,Permitted/pre-permit,2025,Can Tho,750.0,,,
O Mon IV Combined Cycle Gas Turbine Plant,Local Natural Gas,Permitted/pre-permit,2023,Can Tho,750.0,,,
Dung Quat I Combined Cycle Gas Turbine Plant,Local Natural Gas,Permitted/pre-permit,2024,Quang Ngai,750.0,,,
DungQuat III Combined Cycle Gas Turbine Plant,Local Natural Gas,Permitted/pre-permit,2025,Quang Ngai,750.0,,,
Nhon Trach 3&4 Combined Cycle Gas Turbine Plant,Imported LNG,Under Construction,2024-2025,Dong Nai,1624.0,,,
Mien Trung 1,Quang Nam,1500,Permitted/pre-permit,2 Combined Cycle Gas Turbine Plant,0,,,
